男女・年,西暦(年),15歳以上人口（千人）,15歳以上人口／労働力人口（千人）,15歳以上人口／労働力人口／就業者数（千人）,15歳以上人口／労働力人口／就業者数／従業者数（千人）,15歳以上人口／労働力人口／就業者数／従業者数／主に仕事（千人）,15歳以上人口／労働力人口／就業者数／従業者数／家事などのかたわらに仕事（千人）,15歳以上人口／労働力人口／就業者数／従業者数／通学のかたわらに仕事（千人）,15歳以上人口／労働力人口／就業者数／休業者数（千人）,15歳以上人口／労働力人口／就業者数／自営業主数（千人）,15歳以上人口／労働力人口／就業者数／家族従業者数（千人）,15歳以上人口／労働力人口／就業者数／雇用者数（千人）,15歳以上人口／労働力人口／就業者数／雇用者数／うち常雇（千人）,15歳以上人口／労働力人口／完全失業者数（千人）,15歳以上人口／非労働力人口（千人）,15歳以上人口／非労働力人口／家事（千人）,15歳以上人口／非労働力人口／通学（千人）,15歳以上人口／非労働力人口／その他（千人）,労働力人口比率（％、ポイント）,就業率（％、ポイント）,完全失業率（％、ポイント）
実数／男女計／平成13年平均,2001,10426,6511,6175,6065,5215,678,172,110,565,180,5405,4690,336,3905,1810,856,1240,62.4,…,5.2
実数／男女計／平成14年平均,2002,10725,6702,6330,6217,5342,705,170,113,576,186,5540,4788,372,4013,1787,871,1356,62.5,…,5.6
実数／男女計／平成15年平均,2003,10814,6724,6385,6267,5381,696,190,118,595,180,5581,4824,339,4082,1855,887,1340,62.2,…,5
実数／男女計／平成16年平均,2004,10875,6714,6379,6265,5405,689,172,114,590,171,5590,4777,335,4151,1839,884,1428,61.7,…,5
実数／男女計／平成17年平均,2005,10946,6772,6453,6333,5410,737,186,120,611,158,5647,4819,320,4162,1805,852,1504,61.9,…,4.7
実数／男女計／平成18年平均,2006,11026,6844,6557,6432,5482,758,192,125,577,157,5781,4961,286,4175,1758,868,1548,62.1,…,4.2
実数／男女計／平成19年平均,2007,11277,7105,6832,6697,5723,763,211,135,577,143,6067,5221,273,4163,1790,782,1592,63,…,3.8
実数／男女計／平成20年平均,2008,11337,7158,6885,6747,5791,754,202,138,567,126,6156,5329,273,4176,1784,779,1612,63.1,60.7,3.8
実数／男女計／平成21年平均,2009,11373,7115,6781,6611,5683,745,183,170,587,119,6036,5200,334,4252,1717,798,1737,62.6,59.6,4.7
実数／男女計／平成22年平均,2010,11388,7117,6728,6566,5616,762,188,163,571,119,5995,5160,389,4263,1745,794,1724,62.5,59.1,5.5
実数／男女計／平成23年平均,2011,11427,7136,6795,6637,5696,780,162,157,566,118,6072,5267,341,4287,1786,819,1683,62.4,59.5,4.8
実数／男／平成13年平均,2001,5119,3924,3717,3661,3535,36,89,56,413,28,3261,3017,207,1191,30,464,697,76.7,…,5.3
実数／男／平成14年平均,2002,5317,4054,3827,3769,3633,41,94,58,425,33,3354,3082,227,1257,31,470,756,76.2,…,5.6
実数／男／平成15年平均,2003,5358,4059,3860,3798,3667,32,99,62,439,32,3375,3104,199,1295,29,488,778,75.8,…,4.9
実数／男／平成16年平均,2004,5382,4022,3820,3761,3632,36,93,59,445,28,3330,3028,202,1355,39,482,833,74.7,…,5
実数／男／平成17年平均,2005,5412,4031,3840,3777,3626,50,101,63,444,33,3342,3034,191,1375,40,471,864,74.5,…,4.7
実数／男／平成18年平均,2006,5449,4054,3879,3811,3659,54,98,68,429,33,3393,3091,175,1392,45,478,869,74.4,…,4.3
実数／男／平成19年平均,2007,5594,4252,4093,4028,3859,53,116,64,427,27,3616,3302,159,1337,54,427,856,76,…,3.7
実数／男／平成20年平均,2008,5622,4274,4118,4046,3887,47,111,72,414,21,3661,3354,156,1346,50,426,870,76,73.2,3.6
実数／男／平成21年平均,2009,5637,4197,4011,3931,3786,57,88,80,417,19,3555,3261,186,1436,49,454,934,74.5,71.2,4.4
実数／男／平成22年平均,2010,5635,4179,3941,3871,3713,61,97,70,399,21,3498,3192,238,1451,54,452,945,74.2,69.9,5.7
実数／男／平成23年平均,2011,5649,4189,3984,3913,3776,56,81,71,410,18,3537,3245,205,1457,64,445,948,74.2,70.5,4.9
実数／女／平成13年平均,2001,5306,2588,2458,2404,1680,642,83,54,152,152,2145,1673,129,2714,1780,392,543,48.8,…,5
実数／女／平成14年平均,2002,5408,2648,2503,2448,1708,664,76,55,151,153,2186,1706,145,2755,1755,401,600,49,…,5.5
実数／女／平成15年平均,2003,5457,2665,2525,2468,1714,663,91,56,157,148,2206,1720,140,2787,1825,400,562,48.8,…,5.3
実数／女／平成16年平均,2004,5493,2692,2559,2505,1773,653,78,55,145,143,2260,1749,133,2797,1800,401,595,49,…,4.9
実数／女／平成17年平均,2005,5534,2741,2613,2556,1784,687,85,57,168,125,2306,1785,129,2787,1766,381,640,49.5,…,4.7
実数／女／平成18年平均,2006,5577,2790,2678,2621,1824,704,94,57,148,124,2388,1870,112,2783,1713,390,680,50,…,4
実数／女／平成19年平均,2007,5684,2853,2740,2669,1864,710,95,71,150,117,2451,1918,114,2826,1736,355,735,50.2,…,4
実数／女／平成20年平均,2008,5715,2884,2767,2701,1903,707,91,66,153,105,2494,1975,117,2829,1734,353,742,50.5,48.4,4.1
実数／女／平成21年平均,2009,5736,2917,2770,2680,1897,688,95,90,170,100,2481,1939,147,2816,1669,344,804,50.9,48.3,5
実数／女／平成22年平均,2010,5753,2938,2787,2694,1903,700,91,93,172,98,2497,1968,151,2811,1691,342,779,51.1,48.4,5.1
実数／女／平成23年平均,2011,5778,2947,2811,2724,1919,724,81,87,157,100,2535,2022,137,2830,1722,374,734,51,48.7,4.6
対前年増減数／男女計／平成13年平均,2001,46,-13,-21,-39,-30,3,-11,18,-33,-8,19,-12,8,63,-8,-34,106,-0.5,…,0.2
対前年増減数／男女計／平成14年平均,2002,299,191,155,152,127,27,-2,3,11,6,135,98,36,108,-23,15,116,0.1,…,0.4
対前年増減数／男女計／平成15年平均,2003,89,22,55,50,39,-9,20,5,19,-6,41,36,-33,69,68,16,-16,-0.3,…,-0.6
対前年増減数／男女計／平成16年平均,2004,61,-10,-6,-2,24,-7,-18,-4,-5,-9,9,-47,-4,69,-16,-3,88,-0.5,…,0
対前年増減数／男女計／平成17年平均,2005,71,58,74,68,5,48,14,6,21,-13,57,42,-15,11,-34,-32,76,0.2,…,-0.3
対前年増減数／男女計／平成18年平均,2006,80,72,104,99,72,21,6,5,-34,-1,134,142,-34,13,-47,16,44,0.2,…,-0.5
対前年増減数／男女計／平成19年平均,2007,251,261,275,265,241,5,19,10,0,-14,286,260,-13,-12,32,-86,44,0.9,…,-0.4
対前年増減数／男女計／平成20年平均,2008,60,53,53,50,68,-9,-9,3,-10,-17,89,108,0,13,-6,-3,20,0.1,…,0
対前年増減数／男女計／平成21年平均,2009,36,-43,-104,-136,-108,-9,-19,32,20,-7,-120,-129,61,76,-67,19,125,-0.5,-1.1,0.9
対前年増減数／男女計／平成22年平均,2010,15,2,-53,-45,-67,17,5,-7,-16,0,-41,-40,55,11,28,-4,-13,-0.1,-0.5,0.8
対前年増減数／男女計／平成23年平均,2011,39,19,67,71,80,18,-26,-6,-5,-1,77,107,-48,24,41,25,-41,-0.1,0.4,-0.7
対前年増減数／男／平成13年平均,2001,6,-21,-32,-36,-32,3,-8,4,-16,-5,-11,-16,11,32,-1,-13,46,-0.5,…,0.3
対前年増減数／男／平成14年平均,2002,198,130,110,108,98,5,5,2,12,5,93,65,20,66,1,6,59,-0.5,…,0.3
対前年増減数／男／平成15年平均,2003,41,5,33,29,34,-9,5,4,14,-1,21,22,-28,38,-2,18,22,-0.4,…,-0.7
対前年増減数／男／平成16年平均,2004,24,-37,-40,-37,-35,4,-6,-3,6,-4,-45,-76,3,60,10,-6,55,-1.1,…,0.1
対前年増減数／男／平成17年平均,2005,30,9,20,16,-6,14,8,4,-1,5,12,6,-11,20,1,-11,31,-0.2,…,-0.3
