区分,男女計／実数（千人、％）,男女計／前年同期（千人、％）,男女計／対前年同期／増減（千人、ポイント）,男女計／対前年同期／増減率（％）,男／実数（千人、％）,男／前年同期（千人、％）,男／対前年同期／増減（千人、ポイント）,男／対前年同期／増減率（％）,女／実数（千人、％）,女／前年同期（千人、％）,女／対前年同期／増減（千人、ポイント）,女／対前年同期／増減率（％）
15歳以上人口,11426,11394,32,0.3,5649,5638,11,0.2,5777,5756,21,0.4
〔就業状態〕／労働力人口,7032,7062,-30,-0.4,4139,4166,-27,-0.6,2893,2896,-3,-0.1
〔就業状態〕／労働力人口／就業者数,6678,6656,22,0.3,3934,3939,-5,-0.1,2744,2717,27,1
〔就業状態〕／労働力人口／就業者数／自営業主数,555,540,15,2.8,396,383,13,3.4,159,158,1,0.6
〔就業状態〕／労働力人口／就業者数／家族従業者数,114,119,-5,-4.2,17,25,-8,-32,97,94,3,3.2
〔就業状態〕／労働力人口／就業者数／雇用者数,5969,5957,12,0.2,3501,3514,-13,-0.4,2468,2443,25,1
〔就業状態〕／労働力人口／就業者数／雇用者数／うち常雇,5155,5084,71,1.4,3199,3179,20,0.6,1956,1905,51,2.7
〔就業状態〕／労働力人口／完全失業者数,354,406,-52,-12.8,205,227,-22,-9.7,149,179,-30,-16.8
〔就業状態〕／非労働力人口,4391,4323,68,1.6,1507,1469,38,2.6,2884,2854,30,1.1
〔就業者の活動状況別内訳〕／就業者数（再掲）,6678,6656,22,0.3,3934,3939,-5,-0.1,2744,2717,27,1
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数,6494,6488,6,0.1,3850,3863,-13,-0.3,2644,2625,19,0.7
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／主に仕事,5603,5604,-1,0,3724,3720,4,0.1,1879,1883,-4,-0.2
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／家事などのかたわらに仕事,747,717,30,4.2,47,59,-12,-20.3,700,658,42,6.4
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／通学のかたわらに仕事,144,167,-23,-13.8,79,83,-4,-4.8,65,84,-19,-22.6
〔就業者の活動状況別内訳〕／就業者数（再掲）／休業者数,184,168,16,9.5,83,76,7,9.2,101,92,9,9.8
〔就業者の主な産業別内訳〕／建設業,420,394,26,6.6,344,344,0,0,76,50,26,52
〔就業者の主な産業別内訳〕／製造業,740,753,-13,-1.7,520,514,6,1.2,220,239,-19,-7.9
〔就業者の主な産業別内訳〕／情報通信業,594,582,12,2.1,420,436,-16,-3.7,174,146,28,19.2
〔就業者の主な産業別内訳〕／運輸業，郵便業,351,402,-51,-12.7,298,343,-45,-13.1,53,58,-5,-8.6
〔就業者の主な産業別内訳〕／卸売業，小売業,1138,1074,64,6,590,588,2,0.3,548,487,61,12.5
〔就業者の主な産業別内訳〕／金融業，保険業,286,296,-10,-3.4,152,157,-5,-3.2,134,139,-5,-3.6
〔就業者の主な産業別内訳〕／不動産業，物品賃貸業,215,201,14,7,135,118,17,14.4,79,84,-5,-6
〔就業者の主な産業別内訳〕／学術研究，専門・技術サービス業,375,362,13,3.6,257,236,21,8.9,118,125,-7,-5.6
〔就業者の主な産業別内訳〕／宿泊業，飲食サービス業,470,485,-15,-3.1,225,234,-9,-3.8,245,251,-6,-2.4
〔就業者の主な産業別内訳〕／生活関連サービス業，娯楽業,274,277,-3,-1.1,134,123,11,8.9,140,154,-14,-9.1
〔就業者の主な産業別内訳〕／教育，学習支援業,300,322,-22,-6.8,140,145,-5,-3.4,160,178,-18,-10.1
〔就業者の主な産業別内訳〕／医療，福祉,574,607,-33,-5.4,148,176,-28,-15.9,427,431,-4,-0.9
〔就業者の主な産業別内訳〕／サービス業（他に分類されないもの）,591,568,23,4,335,297,38,12.8,255,271,-16,-5.9
〔雇用者の主な産業別内訳〕／建設業,350,324,26,8,285,279,6,2.2,66,45,21,46.7
〔雇用者の主な産業別内訳〕／製造業,701,719,-18,-2.5,499,496,3,0.6,202,223,-21,-9.4
〔雇用者の主な産業別内訳〕／情報通信業,571,566,5,0.9,403,425,-22,-5.2,168,140,28,20
〔雇用者の主な産業別内訳〕／運輸業，郵便業,322,374,-52,-13.9,272,319,-47,-14.7,50,56,-6,-10.7
〔雇用者の主な産業別内訳〕／卸売業，小売業,1046,976,70,7.2,541,522,19,3.6,505,454,51,11.2
〔雇用者の主な産業別内訳〕／金融業，保険業,284,290,-6,-2.1,151,154,-3,-1.9,134,136,-2,-1.5
〔雇用者の主な産業別内訳〕／不動産業，物品賃貸業,177,166,11,6.6,117,104,13,12.5,59,63,-4,-6.3
〔雇用者の主な産業別内訳〕／学術研究，専門・技術サービス業,266,264,2,0.8,176,172,4,2.3,90,92,-2,-2.2
〔雇用者の主な産業別内訳〕／宿泊業，飲食サービス業,384,402,-18,-4.5,184,196,-12,-6.1,201,205,-4,-2
〔雇用者の主な産業別内訳〕／生活関連サービス業，娯楽業,210,213,-3,-1.4,100,91,9,9.9,110,123,-13,-10.6
〔雇用者の主な産業別内訳〕／教育，学習支援業,257,278,-21,-7.6,129,130,-1,-0.8,128,149,-21,-14.1
〔雇用者の主な産業別内訳〕／医療，福祉,549,566,-17,-3,131,151,-20,-13.2,418,415,3,0.7
〔雇用者の主な産業別内訳〕／サービス業（他に分類されないもの）,559,539,20,3.7,316,277,39,14.1,243,262,-19,-7.3
〔非農林業雇用者の従業者規模別内訳〕／総数,5964,5946,18,0.3,3497,3507,-10,-0.3,2467,2439,28,1.1
〔非農林業雇用者の従業者規模別内訳〕／総数／１～29人規模,1670,1577,93,5.9,972,897,75,8.4,698,680,18,2.6
〔非農林業雇用者の従業者規模別内訳〕／総数／30～499人規模,1929,1942,-13,-0.7,1099,1123,-24,-2.1,830,819,11,1.3
〔非農林業雇用者の従業者規模別内訳〕／総数／500人以上規模,1944,2043,-99,-4.8,1196,1275,-79,-6.2,748,768,-20,-2.6
〔完全失業率（年齢階級別）(%)〕／総数,5,5.7,-0.7,,5,5.4,-0.4,,5.2,6.2,-1,
〔完全失業率（年齢階級別）(%)〕／総数／15～24歳,7.6,8,-0.4,,9.2,7.4,1.8,,6.6,8.6,-2,
〔完全失業率（年齢階級別）(%)〕／総数／25～34歳,6.2,7.1,-0.9,,6.3,7.2,-0.9,,6.2,7.1,-0.9,
〔完全失業率（年齢階級別）(%)〕／総数／35～44歳,4.8,4.3,0.5,,3.9,3.5,0.4,,6,5.6,0.4,
〔完全失業率（年齢階級別）(%)〕／総数／45～54歳,4.3,5.7,-1.4,,3.6,4.3,-0.7,,5.3,7.7,-2.4,
〔完全失業率（年齢階級別）(%)〕／総数／55～64歳,5.2,5.9,-0.7,,6.2,7.1,-0.9,,3.5,4.1,-0.6,
〔完全失業率（年齢階級別）(%)〕／総数／65歳以上,2.3,4.2,-1.9,,3.2,5.1,-1.9,,0.9,2.8,-1.9,
〔労働力人口比率(%)〕／総数,61.5,62,-0.5,,73.3,73.9,-0.6,,50.1,50.3,-0.2,
,,,,,,,,,,,,
東京の労働力統計データ（平成23年７～９月期平均）,,,,,,,,,,,,
第１表　就業状態別15歳以上人口、産業別就業者数及び完全失業者数,,,,,,,,,,,,
平成23年７～９月期平均,,,,,,,,,,,,
注1)15歳以上人口及び就業者数には、不詳を含む。,,,,,,,,,,,,
注2)非農林業雇用者の従業者規模別内訳の総数には、官公・従業者規模不詳を含むため、規模別内訳を積み上げても、総数と一致しない。,,,,,,,,,,,,
