年・期,西暦(年),四半期,建設業（千人）,製造業（千人）,情報通信業（千人）,運輸業，郵便業（千人）,卸売業，小売業（千人）,金融業，保険業（千人）,不動産業，物品賃貸業（千人）,学術研究，専門･技術ｻｰﾋﾞｽ業（千人）,宿泊業，飲食ｻｰﾋﾞｽ業（千人）,生活関連ｻｰﾋﾞｽ業，娯楽業（千人）,教育，学習支援業（千人）,医療，福祉（千人）,ｻｰﾋﾞｽ業（他に分類されないもの）（千人）
実数／男女計／平成21年平均,2009,,392,766,539,337,1050,263,175,273,404,212,285,507,552
実数／男女計／平成22年平均,2010,,349,715,576,353,1014,261,170,287,410,204,288,531,545
実数／男女計／平成23年平均,2011,,357,707,549,330,1047,268,194,287,381,211,289,551,571
実数／男女計／平成21年７～９月平均,2009,07～09,378,735,506,350,1021,271,189,265,415,216,272,552,546
実数／男女計／平成21年10～12月平均,2009,10～12,398,715,565,374,1021,244,148,297,383,208,304,510,561
実数／男女計／平成22年１～３月平均,2010,01～03,392,708,566,368,1072,236,173,301,381,185,287,518,521
実数／男女計／平成22年４～６月平均,2010,04～06,332,720,575,302,979,277,168,286,454,209,282,520,542
実数／男女計／平成22年７～９月平均,2010,07～09,324,719,566,374,976,290,166,264,402,213,278,566,539
実数／男女計／平成22年10～12月平均,2010,10～12,346,711,595,366,1028,239,173,297,405,210,305,519,577
実数／男女計／平成23年１～３月平均,2011,01～03,367,691,521,362,1077,245,182,282,395,215,289,568,552
実数／男女計／平成23年４～６月平均,2011,04～06,351,734,510,322,1057,288,218,300,348,192,277,535,596
実数／男女計／平成23年７～９月平均,2011,07～09,350,701,571,322,1046,284,177,266,384,210,257,549,559
実数／男女計／平成23年10～12月平均,2011,10～12,361,700,592,313,1008,254,198,300,398,226,334,550,577
実数／男／平成21年平均,2009,,328,566,399,261,558,140,110,171,191,93,136,127,284
実数／男／平成22年平均,2010,,298,513,428,272,531,129,107,179,195,90,137,137,281
実数／男／平成23年平均,2011,,293,495,392,263,534,140,130,187,173,99,135,148,309
実数／男／平成21年７～９月平均,2009,07～09,317,536,379,302,543,142,123,168,202,96,117,140,279
実数／男／平成21年10～12月平均,2009,10～12,346,541,422,248,524,137,86,184,179,97,158,125,281
実数／男／平成22年１～３月平均,2010,01～03,339,530,411,265,572,111,101,179,166,75,137,147,270
実数／男／平成22年４～６月平均,2010,04～06,275,516,433,247,498,141,105,175,228,92,128,125,280
実数／男／平成22年７～９月平均,2010,07～09,279,496,425,319,522,154,104,172,196,91,130,151,277
実数／男／平成22年10～12月平均,2010,10～12,300,509,443,257,533,109,119,191,188,100,156,124,297
実数／男／平成23年１～３月平均,2011,01～03,301,498,380,270,534,125,122,174,147,95,131,168,306
実数／男／平成23年４～６月平均,2011,04～06,289,507,356,258,544,156,148,202,165,97,122,138,309
実数／男／平成23年７～９月平均,2011,07～09,285,499,403,272,541,151,117,176,184,100,129,131,316
実数／男／平成23年10～12月平均,2011,10～12,298,475,429,254,515,128,132,197,197,105,160,154,307
実数／女／平成21年平均,2009,,63,200,141,75,493,124,65,102,214,119,150,380,268
実数／女／平成22年平均,2010,,51,202,148,81,483,132,63,108,216,115,151,394,264
実数／女／平成23年平均,2011,,64,212,157,66,513,128,64,100,208,112,154,403,262
実数／女／平成21年７～９月平均,2009,07～09,61,198,127,49,478,129,66,97,212,120,156,412,267
実数／女／平成21年10～12月平均,2009,10～12,53,174,143,126,497,107,62,113,204,111,145,386,280
実数／女／平成22年１～３月平均,2010,01～03,53,178,155,103,500,126,72,122,215,110,151,371,251
実数／女／平成22年４～６月平均,2010,04～06,58,204,142,55,481,136,63,110,226,116,154,395,261
実数／女／平成22年７～９月平均,2010,07～09,45,223,140,56,454,136,63,92,205,123,149,415,262
実数／女／平成22年10～12月平均,2010,10～12,46,202,153,109,495,130,54,107,217,109,149,395,280
実数／女／平成23年１～３月平均,2011,01～03,66,194,141,92,543,121,61,108,248,120,158,400,246
実数／女／平成23年４～６月平均,2011,04～06,62,227,154,63,513,132,70,98,183,95,155,398,287
実数／女／平成23年７～９月平均,2011,07～09,66,202,168,50,505,134,59,90,201,110,128,418,243
実数／女／平成23年10～12月平均,2011,10～12,64,225,163,59,493,126,65,103,201,121,174,396,271
対前年・前年同期増減数／男女計／平成21年平均,2009,,-27,-45,27,32,-44,-9,-15,-4,1,4,13,9,-46
対前年・前年同期増減数／男女計／平成22年平均,2010,,-43,-51,37,16,-36,-2,-5,14,6,-8,3,24,-7
対前年・前年同期増減数／男女計／平成23年平均,2011,,8,-8,-27,-23,33,7,24,0,-29,7,1,20,26
対前年・前年同期増減数／男女計／平成21年７～９月平均,2009,07～09,-41,-52,-18,52,-27,-13,-5,22,9,-1,1,12,-65
対前年・前年同期増減数／男女計／平成21年10～12月平均,2009,10～12,-44,-97,13,83,-27,4,-32,-38,-12,-19,44,-23,-59
対前年・前年同期増減数／男女計／平成22年１～３月平均,2010,01～03,-18,-143,-11,44,-10,-21,-13,36,-2,-20,30,57,-30
対前年・前年同期増減数／男女計／平成22年４～６月平均,2010,04～06,-48,-42,65,4,-98,-5,-9,22,18,-10,-26,15,-7
対前年・前年同期増減数／男女計／平成22年７～９月平均,2010,07～09,-54,-43,56,76,-101,8,-11,0,-34,-6,-30,61,-10
対前年・前年同期増減数／男女計／平成22年10～12月平均,2010,10～12,-52,-4,30,-8,7,-5,25,0,22,2,1,9,16
対前年・前年同期増減数／男女計／平成23年１～３月平均,2011,01～03,-25,-17,-45,-6,5,9,9,-19,14,30,2,50,31
対前年・前年同期増減数／男女計／平成23年４～６月平均,2011,04～06,19,14,-65,20,78,11,50,14,-106,-17,-5,15,54
対前年・前年同期増減数／男女計／平成23年７～９月平均,2011,07～09,26,-18,5,-52,70,-6,11,2,-18,-3,-21,-17,20
対前年・前年同期増減数／男女計／平成23年10～12月平均,2011,10～12,15,-11,-3,-53,-20,15,25,3,-7,16,29,31,0
対前年・前年同期増減数／男／平成21年平均,2009,,-24,-33,21,14,-30,-9,-8,-1,2,-2,12,6,-43
対前年・前年同期増減数／男／平成22年平均,2010,,-30,-53,29,11,-27,-11,-3,8,4,-3,1,10,-3
対前年・前年同期増減数／男／平成23年平均,2011,,-5,-18,-36,-9,3,11,23,8,-22,9,-2,11,28
対前年・前年同期増減数／男／平成21年７～９月平均,2009,07～09,-39,-49,-19,56,-16,-11,-3,22,13,-1,3,-1,-66
対前年・前年同期増減数／男／平成21年10～12月平均,2009,10～12,-28,-64,30,12,-59,7,-27,-4,-21,-7,39,-13,-41
対前年・前年同期増減数／男／平成22年１～３月平均,2010,01～03,-3,-99,-5,5,-21,-21,-17,16,-5,-5,18,24,-11
対前年・前年同期増減数／男／平成22年４～６月平均,2010,04～06,-34,-40,55,13,-72,-6,-7,5,18,-7,-21,3,-15
対前年・前年同期増減数／男／平成22年７～９月平均,2010,07～09,-38,-40,46,17,-21,12,-19,4,-6,-5,13,11,-2
対前年・前年同期増減数／男／平成22年10～12月平均,2010,10～12,-46,-32,21,9,9,-28,33,7,9,3,-2,-1,16
対前年・前年同期増減数／男／平成23年１～３月平均,2011,01～03,-38,-32,-31,5,-38,14,21,-5,-19,20,-6,21,36
対前年・前年同期増減数／男／平成23年４～６月平均,2011,04～06,14,-9,-77,11,46,15,43,27,-63,5,-6,13,29
対前年・前年同期増減数／男／平成23年７～９月平均,2011,07～09,6,3,-22,-47,19,-3,13,4,-12,9,-1,-20,39
対前年・前年同期増減数／男／平成23年10～12月平均,2011,10～12,-2,-34,-14,-3,-18,19,13,6,9,5,4,30,10
対前年・前年同期増減数／女／平成21年平均,2009,,-4,-12,7,17,-12,2,-6,-4,0,6,2,3,-3
対前年・前年同期増減数／女／平成22年平均,2010,,-12,2,7,6,-10,8,-2,6,2,-4,1,14,-4
対前年・前年同期増減数／女／平成23年平均,2011,,13,10,9,-15,30,-4,1,-8,-8,-3,3,9,-2
対前年・前年同期増減数／女／平成21年７～９月平均,2009,07～09,-1,-4,1,-3,-10,-2,-2,0,-5,0,-1,13,1
対前年・前年同期増減数／女／平成21年10～12月平均,2009,10～12,-15,-33,-18,71,31,-3,-5,-34,9,-12,5,-8,-18
対前年・前年同期増減数／女／平成22年１～３月平均,2010,01～03,-14,-45,-6,39,12,2,4,19,2,-16,13,33,-19
対前年・前年同期増減数／女／平成22年４～６月平均,2010,04～06,-14,-2,11,-8,-26,1,-1,16,0,-4,-5,12,7
対前年・前年同期増減数／女／平成22年７～９月平均,2010,07～09,-16,25,13,7,-24,7,-3,-5,-7,3,-7,3,-5
対前年・前年同期増減数／女／平成22年10～12月平均,2010,10～12,-7,28,10,-17,-2,23,-8,-6,13,-2,4,9,0
対前年・前年同期増減数／女／平成23年１～３月平均,2011,01～03,13,16,-14,-11,43,-5,-11,-14,33,10,7,29,-5
対前年・前年同期増減数／女／平成23年４～６月平均,2011,04～06,4,23,12,8,32,-4,7,-12,-43,-21,1,3,26
対前年・前年同期増減数／女／平成23年７～９月平均,2011,07～09,21,-21,28,-6,51,-2,-4,-2,-4,-13,-21,3,-19
対前年・前年同期増減数／女／平成23年10～12月平均,2011,10～12,18,23,10,-50,-2,-4,11,-4,-16,12,25,1,-9
,,,,,,,,,,,,,,,
東京の労働力統計データ（平成23年10～12月平均）,,,,,,,,,,,,,,,
第５表　主な産業別雇用者数 ,,,,,,,,,,,,,,,
