区分,男女計／実数（千人、％）,男女計／前年同期（千人、％）,男女計／対前年同期／増減（千人、ポイント）,男女計／対前年同期／増減率（％）,男／実数（千人、％）,男／前年同期（千人、％）,男／対前年同期／増減（千人、ポイント）,男／対前年同期／増減率（％）,女／実数（千人、％）,女／前年同期（千人、％）,女／対前年同期／増減（千人、ポイント）,女／対前年同期／増減率（％）
15歳以上人口,11436,11388,48,0.4,5653,5634,19,0.3,5783,5754,29,0.5
〔就業状態〕／労働力人口,7238,7172,66,0.9,4265,4188,77,1.8,2973,2984,-11,-0.4
〔就業状態〕／労働力人口／就業者数,6881,6721,160,2.4,4054,3896,158,4.1,2827,2825,2,0.1
〔就業状態〕／労働力人口／就業者数／自営業主数,584,592,-8,-1.4,429,401,28,7,155,192,-37,-19.3
〔就業状態〕／労働力人口／就業者数／家族従業者数,133,120,13,10.8,22,22,0,0,111,98,13,13.3
〔就業状態〕／労働力人口／就業者数／雇用者数,6118,5957,161,2.7,3582,3448,134,3.9,2536,2509,27,1.1
〔就業状態〕／労働力人口／就業者数／雇用者数／うち常雇,5322,5093,229,4.5,3301,3131,170,5.4,2020,1962,58,3
〔就業状態〕／労働力人口／完全失業者数,356,451,-95,-21.1,211,292,-81,-27.7,146,159,-13,-8.2
〔就業状態〕／非労働力人口,4194,4205,-11,-0.3,1385,1438,-53,-3.7,2809,2767,42,1.5
〔就業者の活動状況別内訳〕／就業者数（再掲）,6881,6721,160,2.4,4054,3896,158,4.1,2827,2825,2,0.1
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数,6764,6582,182,2.8,3996,3833,163,4.3,2768,2749,19,0.7
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／主に仕事,5786,5560,226,4.1,3863,3666,197,5.4,1922,1894,28,1.5
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／家事などのかたわらに仕事,834,807,27,3.3,55,55,0,0,779,752,27,3.6
