男女・年,西暦(年),建設業（千人）,製造業（千人）,情報通信業（千人）,運輸業，郵便業（千人）,卸売業，小売業（千人）,金融業，保険業（千人）,不動産業，物品賃貸業（千人）,学術研究，専門･技術ｻｰﾋﾞｽ業（千人）,宿泊業，飲食ｻｰﾋﾞｽ業（千人）,生活関連ｻｰﾋﾞｽ業，娯楽業（千人）,教育，学習支援業（千人）,医療，福祉（千人）,ｻｰﾋﾞｽ業（他に分類されないもの）（千人）,その他（左記以外のもの）（千人）
実数／男女計／平成20年平均,2008,494,866,538,334,1193,275,217,380,483,271,302,536,643,354
実数／男女計／平成21年平均,2009,463,808,561,363,1151,268,208,387,496,275,321,554,594,330
実数／男女計／平成22年平均,2010,417,756,598,384,1118,265,203,396,487,265,329,583,582,346
実数／男女計／平成23年平均,2011,428,747,574,364,1146,270,229,395,455,275,326,590,608,386
実数／男／平成20年平均,2008,420,633,397,276,643,151,133,241,232,126,128,143,358,236
実数／男／平成21年平均,2009,395,589,414,286,617,143,126,244,237,124,143,157,313,223
実数／男／平成22年平均,2010,360,537,444,301,592,130,123,250,233,118,147,166,306,232
実数／男／平成23年平均,2011,356,519,411,296,586,142,147,264,212,132,144,172,334,272
実数／女／平成20年平均,2008,74,233,141,59,550,124,84,139,251,145,173,393,286,117
実数／女／平成21年平均,2009,68,219,147,77,534,125,82,143,259,152,178,397,281,106
実数／女／平成22年平均,2010,56,219,154,83,525,134,80,146,254,147,181,416,276,114
実数／女／平成23年平均,2011,72,228,164,68,560,128,82,131,243,143,183,418,274,115
対前年増減数／男女計／平成21年平均,2009,-31,-58,23,29,-42,-7,-9,7,13,4,19,18,-49,-24
対前年増減数／男女計／平成22年平均,2010,-46,-52,37,21,-33,-3,-5,9,-9,-10,8,29,-12,16
対前年増減数／男女計／平成23年平均,2011,11,-9,-24,-20,28,5,26,-1,-32,10,-3,7,26,40
対前年増減数／男／平成21年平均,2009,-25,-44,17,10,-26,-8,-7,3,5,-2,15,14,-45,-13
対前年増減数／男／平成22年平均,2010,-35,-52,30,15,-25,-13,-3,6,-4,-6,4,9,-7,9
対前年増減数／男／平成23年平均,2011,-4,-18,-33,-5,-6,12,24,14,-21,14,-3,6,28,40
対前年増減数／女／平成21年平均,2009,-6,-14,6,18,-16,1,-2,4,8,7,5,4,-5,-11
対前年増減数／女／平成22年平均,2010,-12,0,7,6,-9,9,-2,3,-5,-5,3,19,-5,8
対前年増減数／女／平成23年平均,2011,16,9,10,-15,35,-6,2,-15,-11,-4,2,2,-2,1
,,,,,,,,,,,,,,,
東京の労働力統計データ（平成23年平均）,,,,,,,,,,,,,,,
第４表　主な産業別就業者数,,,,,,,,,,,,,,,
