区分,男女計／実数（千人、％）,男女計／前年（千人、％）,男女計／対前年／増減数（千人、ポイント）,男女計／対前年／増減率（％）,男／実数（千人、％）,男／前年（千人、％）,男／対前年／増減数（千人、ポイント）,男／対前年／増減率（％）,女／実数（千人、％）,女／前年（千人、％）,女／対前年／増減数（千人、ポイント）,女／対前年／増減率（％）
15歳以上人口,11427,11388,39,0.3,5649,5635,14,0.2,5778,5753,25,0.4
〔就業状態〕／労働力人口,7136,7117,19,0.3,4189,4179,10,0.2,2947,2938,9,0.3
〔就業状態〕／労働力人口／就業者数,6795,6728,67,1,3984,3941,43,1.1,2811,2787,24,0.9
〔就業状態〕／労働力人口／就業者数／自営業主数,566,571,-5,-0.9,410,399,11,2.8,157,172,-15,-8.7
〔就業状態〕／労働力人口／就業者数／家族従業者数,118,119,-1,-0.8,18,21,-3,-14.3,100,98,2,2
〔就業状態〕／労働力人口／就業者数／雇用者数,6072,5995,77,1.3,3537,3498,39,1.1,2535,2497,38,1.5
〔就業状態〕／労働力人口／就業者数／雇用者数／うち常雇,5267,5160,107,2.1,3245,3192,53,1.7,2022,1968,54,2.7
〔就業状態〕／労働力人口／完全失業者数,341,389,-48,-12.3,205,238,-33,-13.9,137,151,-14,-9.3
〔就業状態〕／非労働力人口,4287,4263,24,0.6,1457,1451,6,0.4,2830,2811,19,0.7
〔就業者の活動状態別内訳〕／就業者数（再掲）,6795,6728,67,1,3984,3941,43,1.1,2811,2787,24,0.9
〔就業者の活動状態別内訳〕／就業者数（再掲）／従業者数,6637,6566,71,1.1,3913,3871,42,1.1,2724,2694,30,1.1
〔就業者の活動状態別内訳〕／就業者数（再掲）／従業者数／主に仕事,5696,5616,80,1.4,3776,3713,63,1.7,1919,1903,16,0.8
〔就業者の活動状態別内訳〕／就業者数（再掲）／従業者数／家事などのかたわらに仕事,780,762,18,2.4,56,61,-5,-8.2,724,700,24,3.4
〔就業者の活動状態別内訳〕／就業者数（再掲）／従業者数／通学のかたわらに仕事,162,188,-26,-13.8,81,97,-16,-16.5,81,91,-10,-11
〔就業者の活動状態別内訳〕／就業者数（再掲）／休業者数,157,163,-6,-3.7,71,70,1,1.4,87,93,-6,-6.5
