全国地方公共団体コード,ID,地方公共団体名,地区名,ゴミの品目,ゴミの品目_カナ,ゴミの品目_英字,分別区分,注意点,備考,粗大ごみ回収料金
132241,132241GMLT001461,多摩市,全域,24時間風呂,24ジカンブロ,24-hour bath,粗大ごみ,,,
132241,132241GMLT000004,多摩市,全域,アイスの棒【木】,アイスノボウ,Ice cream stick [wood].,燃やせるごみ,,,
132241,132241GMLT000005,多摩市,全域,アイスの棒【プラスチック・きれい】,アイスノボウ,"Ice cream sticks [plastic, clean",プラスチック,,軽く洗って、汚れを落とし、水を切ってください,
132241,132241GMLT000001,多摩市,全域,アイスの容器【紙】,アイスノヨウキ,Container for ice cream [paper,燃やせるごみ,,,
132241,132241GMLT000002,多摩市,全域,アイスの容器【プラスチック・汚い】,アイスノヨウキ,"Ice cream containers [plastic, dirty].",燃やせるごみ,,,
132241,132241GMLT000003,多摩市,全域,アイスの容器【プラスチック・きれい】,アイスノヨウキ,"Ice cream containers [plastic, clean",プラスチック,,軽く洗って、汚れを落とし、水を切ってください,
132241,132241GMLT000006,多摩市,全域,アイスピック【金属】,アイスピック,Ice picks [metal,燃やせないごみ,,紙や布に包み「危険物有」と表示してください,
132241,132241GMLT000007,多摩市,全域,アイスまくら,アイスマクラ,Ice pillow,燃やせるごみ,,,
132241,132241GMLT000008,多摩市,全域,アイロン,アイロン,Clothes Iron,小型家電・金属類,,,
132241,132241GMLT000009,多摩市,全域,アイロン台,アイロンダイ,Ironing board,粗大ごみ,,指定袋に入るものは燃やせるごみで出してください,
132241,132241GMLT000010,多摩市,全域,赤ちゃん用体重計,アカチャンヨウタイジュウケイ,Baby scales,小型家電・金属類,,「長さ60cm以下、重量5kg未満」に該当しないものは粗大ごみになります,
132241,132241GMLT000011,多摩市,全域,空き缶【飲料・食料用・きれい】,アキカン,"Empty cans [for beverage and food, clean].",缶・ペットボトル,,軽く洗って、汚れを落とし、水を切ってください,
132241,132241GMLT000012,多摩市,全域,空き缶【飲料・食料用・汚れている】,アキカン,"Empty cans [for beverages, food, dirty",小型家電・金属類,,,
132241,132241GMLT000013,多摩市,全域,空き缶【飲料・食料用以外のもの】,アキカン,Empty cans [other than for beverages and food].,小型家電・金属類,,中身は空にしてフタをあけて出してください,
132241,132241GMLT000014,多摩市,全域,空きびん【飲料・食料用のもの・きれい】,アキビン,"Empty bottles [for beverages and food, clean",びん,,フタをはずし、軽く洗って水を切ってください,
132241,132241GMLT000015,多摩市,全域,空きびん【飲料・食料用のもの・汚れている】,アキビン,"Empty bottles [for beverages and food, dirty",燃やせないごみ,,,
132241,132241GMLT000016,多摩市,全域,空きびん【飲料・食料用のもの・割れている】,アキビン,"Empty bottles [for beverages and food, broken].",燃やせないごみ,,紙や布に包み「危険物有」と表示してください,
132241,132241GMLT000017,多摩市,全域,空きびん【飲料・食料用以外のもの】,アキビン,Empty bottles [other than for beverages and food,燃やせないごみ,,,
132241,132241GMLT000018,多摩市,全域,アクリル板【プラスチック】,アクリルバン,Acrylic sheet [Plastic,プラスチック,,汚れているものは燃やせるごみで出してください,
132241,132241GMLT000019,多摩市,全域,アコーディオン（楽器）,アコーディオン,Accordion (instrument),燃やせるごみ,,指定袋に入らないものや重量5㎏以上のものは粗大ごみになります,
132241,132241GMLT000020,多摩市,全域,アコーディオンカーテン,アコーディオンカーテン,Accordion curtain,粗大ごみ,,,
132241,132241GMLT000021,多摩市,全域,アシスト付き自転車,アシストツキジテンシャ,Assistive Bicycles,粗大ごみ,,バッテリーははずして有害性ごみへ出してください,
132241,132241GMLT000022,多摩市,全域,足ふきマット,アシフキマット,Place mat for wiping one's feet,燃やせるごみ,,,
132241,132241GMLT000023,多摩市,全域,足ぶみミシン,アシブミミシン,Staple sewing machine,粗大ごみ,,,
