名称,所在地,緯度,経度,電話
旭丘地域集会所,旭丘1-58-10,35.73483566,139.6741149,03-3950-4842
小竹地域集会所,小竹町1-63-2,35.73880803,139.673283,03-3554-3100
中村地域集会所,中村南2-23-12,35.72979064,139.6427374,03-3999-9560
向山地域集会所,向山4-21-12,35.74356609,139.6386443,03-3999-9696
北町地域集会所,北町8-28-10,35.7677138,139.6496694,03-3550-7719
土支田地域集会所,土支田2-40-21,35.76422676,139.6116565,03-3978-8190
南田中地域集会所,南田中2-18-36,35.73323779,139.6168312,03-3997-5700
高野台地域集会所,高野台3-28-11,35.74568797,139.6118997,03-5372-1277
谷原地域集会所,谷原5-6-7,35.75139364,139.6129654,03-3997-5673
三原台地域集会所,三原台3-13-17,35.75394173,139.5993835,03-3925-4790
石神井台みどり地域集会所,石神井台2-13-6,35.73650162,139.5920057,03-5393-5200
石神井台地域集会所,石神井台4-5-14,35.73170991,139.5858009,03-3594-1203
東大泉地域集会所,東大泉7-27-51,35.74351993,139.5804011,03-3923-3037
大泉町地域集会所,大泉町4-35-17,35.76382693,139.5957559,03-5387-5490
大泉学園町地域集会所,大泉学園町6-20-36,35.77135188,139.5832047,03-5387-6315
上石神井北地域集会所,上石神井2-36-18,35.72918517,139.5923619,03-5991-3600
関町地域集会所,関町南4-22-1,35.72137756,139.5677346,03-5991-0555
桜台地域集会所,桜台1-22-9,35.73904828,139.6666694,03-3993-6699
早宮地域集会所,早宮1-44-19,35.75416892,139.6588223,03-3994-6977
春日町地域集会所,春日町5-30-1,35.75054596,139.6393741,03-3990-4680
土支田中央地域集会所,土支田2-32-8,35.76336931,139.6136286,03-3924-1990
旭町地域集会所,旭町3-11-6,35.77433553,139.62495,03-3939-0374
田柄地域集会所,田柄2-6-22,35.76357866,139.6447282,03-3939-6735
上石神井南地域集会所,上石神井1-6-16,35.72524443,139.5924607,03-3920-0620
東大泉中央地域集会所,東大泉3-18-9,35.75151227,139.5866892,03-3922-1260
南大泉地域集会所,南大泉5-26-19,35.75124273,139.5735666,03-3922-1130
大泉北地域集会所,大泉学園町4-21-1,35.76560167,139.5883671,03-3922-0191
練馬高野台駅前地域集会所,高野台1-7-29,35.74092922,139.6162403,03-3995-2457
豊玉地域集会所,豊玉中4-13-6,35.732588,139.650536,03-3991-7857
