年・期,西暦(年),四半期,男女計／１５歳以上人口（千人）,男女計／１５歳以上人口／労働力人口（千人）,男女計／１５歳以上人口／労働力人口／就業者数（千人）,男女計／１５歳以上人口／労働力人口／完全失業者数（千人）,男女計／１５歳以上人口／非労働力人口（千人）,男女計／労働力人口比率（％、ポイント）,男女計／完全失業率（％、ポイント）,男／１５歳以上人口（千人）,男／１５歳以上人口／労働力人口（千人）,男／１５歳以上人口／労働力人口／就業者数（千人）,男／１５歳以上人口／労働力人口／完全失業者数（千人）,男／１５歳以上人口／非労働力人口（千人）,男／労働力人口比率（％、ポイント）,男／完全失業率（％、ポイント）,女／１５歳以上人口（千人）,女／１５歳以上人口／労働力人口（千人）,女／１５歳以上人口／労働力人口／就業者数（千人）,女／１５歳以上人口／労働力人口／完全失業者数（千人）,女／１５歳以上人口／非労働力人口（千人）,女／労働力人口比率（％、ポイント）,女／完全失業率（％、ポイント）
実数／平成20年平均,2008,,11337,7158,6885,273,4176,63.1,3.8,5622,4274,4118,156,1346,76,3.6,5715,2884,2767,117,2829,50.5,4.1
実数／平成21年平均,2009,,11373,7115,6781,334,4252,62.6,4.7,5637,4197,4011,186,1436,74.5,4.4,5736,2917,2770,147,2816,50.9,5
実数／平成22年平均,2010,,11388,7117,6728,389,4263,62.5,5.5,5635,4179,3941,238,1451,74.2,5.7,5753,2938,2787,151,2811,51.1,5.1
実数／平成23年平均,2011,,11694,7420,7062,358,4270,63.5,4.8,5756,4336,4122,214,1418,75.3,4.9,5938,3084,2940,144,2853,51.9,4.7
実数／平成24年平均,2012,,11730,7406,7070,336,4321,63.1,4.5,5768,4328,4130,198,1439,75,4.6,5962,3078,2940,138,2883,51.6,4.5
実数／平成25年平均,2013,,11776,7475,7163,312,4294,63.5,4.2,5787,4315,4130,185,1468,74.6,4.3,5989,3160,3033,127,2826,52.8,4
実数／平成26年平均,2014,,11840,7599,7312,287,4236,64.2,3.8,5815,4353,4183,170,1459,74.9,3.9,6026,3247,3129,117,2776,53.9,3.6
実数／平成21年４～６月平均,2009,04～06,11377,7177,6832,345,4193,63.1,4.8,5642,4226,4028,197,1412,74.9,4.7,5736,2951,2803,148,2782,51.4,5
実数／平成21年７～９月平均,2009,07～09,11385,7144,6774,370,4237,62.7,5.2,5642,4216,4012,204,1422,74.7,4.8,5743,2928,2762,166,2814,51,5.7
実数／平成21年10～12月平均,2009,10～12,11385,7092,6749,343,4293,62.3,4.8,5640,4161,3963,198,1479,73.8,4.8,5745,2931,2786,145,2814,51,4.9
実数／平成22年１～３月平均,2010,01～03,11364,7097,6745,352,4261,62.5,5,5628,4192,3969,223,1431,74.5,5.3,5736,2905,2776,129,2830,50.6,4.4
実数／平成22年４～６月平均,2010,04～06,11388,7172,6721,451,4205,63,6.3,5634,4188,3896,292,1438,74.3,7,5754,2984,2825,159,2767,51.9,5.3
実数／平成22年７～９月平均,2010,07～09,11394,7062,6656,406,4323,62,5.7,5638,4166,3939,227,1469,73.9,5.4,5756,2896,2717,179,2854,50.3,6.2
実数／平成22年10～12月平均,2010,10～12,11405,7137,6791,345,4262,62.6,4.8,5642,4170,3961,209,1467,73.9,5,5764,2967,2831,136,2795,51.5,4.6
実数／平成23年１～３月平均,2011,01～03,11682,7458,7102,356,4216,63.8,4.8,5751,4326,4113,213,1421,75.2,4.9,5932,3133,2989,144,2795,52.8,4.6
実数／平成23年４～６月平均,2011,04～06,11706,7526,7153,373,4177,64.3,5,5762,4415,4195,220,1345,76.6,5,5944,3111,2958,153,2832,52.3,4.9
実数／平成23年７～９月平均,2011,07～09,11692,7318,6946,372,4371,62.6,5.1,5756,4285,4071,215,1468,74.4,5,5936,3033,2875,158,2903,51.1,5.2
実数／平成23年10～12月平均,2011,10～12,11697,7379,7047,332,4317,63.1,4.5,5757,4319,4109,210,1437,75,4.9,5940,3060,2938,122,2881,51.5,4
実数／平成24年１～３月平均,2012,01～03,11703,7395,7071,323,4306,63.2,4.4,5758,4291,4085,207,1466,74.5,4.8,5945,3104,2987,117,2840,52.2,3.8
実数／平成24年４～６月平均,2012,04～06,11733,7497,7135,362,4232,63.9,4.8,5770,4434,4233,202,1333,76.8,4.6,5963,3063,2903,160,2899,51.4,5.2
実数／平成24年７～９月平均,2012,07～09,11738,7397,7044,353,4340,63,4.8,5771,4301,4091,210,1469,74.5,4.9,5967,3097,2953,143,2870,51.9,4.6
