区分,男女計／実数（千人、％）,男女計／前年同期（千人、％）,男女計／対前年同期／増減数（千人、ポイント）,男女計／対前年同期／増減率（％）,男／実数（千人、％）,男／前年同期（千人、％）,男／対前年同期／増減数（千人、ポイント）,男／対前年同期／増減率（％）,女／実数（千人、％）,女／前年同期（千人、％）,女／対前年同期／増減数（千人、ポイント）,女／対前年同期／増減率（％）
15歳以上人口,11854,11788,66,0.6,5820,5793,27,0.5,6033,5995,38,0.6
〔就業状態〕／労働力人口,7540,7418,122,1.6,4338,4281,57,1.3,3202,3137,65,2.1
〔就業状態〕／労働力人口／就業者数,7240,7102,138,1.9,4172,4091,81,2,3068,3011,57,1.9
〔就業状態〕／労働力人口／就業者数／自営業主数,545,570,-25,-4.4,395,403,-8,-2,150,167,-17,-10.2
〔就業状態〕／労働力人口／就業者数／家族従業者数,91,97,-6,-6.2,13,19,-6,-31.6,78,78,0,0
〔就業状態〕／労働力人口／就業者数／雇用者数,6568,6408,160,2.5,3745,3656,89,2.4,2823,2752,71,2.6
〔就業状態〕／労働力人口／就業者数／雇用者数／うち正規の職員・従業員,3884,3742,142,3.8,2562,2502,60,2.4,1322,1239,83,6.7
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員,2135,2115,20,0.9,775,745,30,4,1360,1370,-10,-0.7
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員／うちパート・アルバイト,1343,1383,-40,-2.9,383,390,-7,-1.8,960,992,-32,-3.2
〔就業状態〕／労働力人口／就業者数／雇用者数／うち常雇,6104,5906,198,3.4,3549,3437,112,3.3,2555,2469,86,3.5
〔就業状態〕／労働力人口／完全失業者数,300,316,-16,-5.1,166,190,-24,-12.6,134,126,8,6.3
〔就業状態〕／非労働力人口,4308,4364,-56,-1.3,1478,1510,-32,-2.1,2830,2854,-24,-0.8
〔就業者の活動状況別内訳〕／就業者数（再掲）,7240,7102,138,1.9,4172,4091,81,2,3068,3011,57,1.9
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数,7052,6907,145,2.1,4093,4004,89,2.2,2959,2902,57,2
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／主に仕事,6131,5944,187,3.1,3923,3855,68,1.8,2208,2089,119,5.7
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／通学のかたわらに仕事,195,171,24,14,105,86,19,22.1,91,85,6,7.1
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／家事などのかたわらに仕事,725,792,-67,-8.5,65,64,1,1.6,660,728,-68,-9.3
〔就業者の活動状況別内訳〕／就業者数（再掲）／休業者数,188,195,-7,-3.6,79,87,-8,-9.2,109,109,0,0
〔就業者の主な産業別内訳〕／建設業,434,361,73,20.2,352,305,47,15.4,82,57,25,43.9
〔就業者の主な産業別内訳〕／製造業,708,729,-21,-2.9,487,523,-36,-6.9,221,205,16,7.8
〔就業者の主な産業別内訳〕／情報通信業,696,674,22,3.3,492,482,10,2.1,204,193,11,5.7
