年・期,西暦(年),四半期,建設業（千人）,製造業（千人）,情報通信業（千人）,運輸業，郵便業（千人）,卸売業，小売業（千人）,金融業，保険業（千人）,不動産業，物品賃貸業（千人）,学術研究，専門･技術ｻｰﾋﾞｽ業（千人）,宿泊業，飲食ｻｰﾋﾞｽ業（千人）,生活関連ｻｰﾋﾞｽ業，娯楽業（千人）,教育，学習支援業（千人）,医療，福祉（千人）,ｻｰﾋﾞｽ業（他に分類されないもの）（千人）
実数／男女計／平成23年平均,2011,,440,771,603,374,1192,283,235,408,478,289,340,615,626
実数／男女計／平成24年平均,2012,,441,751,594,345,1170,277,235,416,502,281,329,640,655
実数／男女計／平成25年平均,2013,,413,734,637,385,1196,283,218,436,507,267,364,701,555
実数／男女計／平成23年10～12月平均,2011,10～12,436,759,651,346,1143,268,231,429,491,311,374,616,644
実数／男女計／平成24年１～３月平均,2012,01～03,427,732,596,340,1219,276,239,400,499,280,326,684,681
実数／男女計／平成24年４～６月平均,2012,04～06,463,765,565,363,1171,277,242,406,482,264,347,611,647
実数／男女計／平成24年７～９月平均,2012,07～09,439,712,623,339,1204,252,235,442,527,299,293,634,648
実数／男女計／平成24年10～12月平均,2012,10～12,436,794,593,339,1087,302,222,416,498,280,348,632,646
実数／男女計／平成25年１～３月平均,2013,01～03,435,713,582,377,1176,314,231,400,516,253,371,723,564
実数／男女計／平成25年４～６月平均,2013,04～06,467,719,640,403,1148,282,239,467,502,290,395,668,544
実数／男女計／平成25年７～９月平均,2013,07～09,361,729,674,374,1237,258,204,461,507,253,351,707,521
実数／男女計／平成25年10～12月平均,2013,10～12,388,778,651,388,1225,277,198,417,504,272,338,707,592
実数／男女計／平成26年１～３月平均,2014,01～03,433,782,619,376,1240,280,231,440,470,286,389,724,496
実数／男／平成23年平均,2011,,365,533,429,304,606,147,150,271,223,137,149,178,342
実数／男／平成24年平均,2012,,368,542,426,279,595,148,152,268,228,133,145,190,360
実数／男／平成25年平均,2013,,348,541,450,315,593,137,131,275,234,116,166,205,331
実数／男／平成23年10～12月平均,2011,10～12,363,510,472,282,584,134,149,287,247,142,168,187,348
実数／男／平成24年１～３月平均,2012,01～03,349,532,436,272,616,147,151,244,216,147,138,208,378
実数／男／平成24年４～６月平均,2012,04～06,397,553,399,299,602,151,164,274,221,129,152,180,329
実数／男／平成24年７～９月平均,2012,07～09,362,519,436,271,629,132,150,288,242,132,132,181,359
実数／男／平成24年10～12月平均,2012,10～12,363,564,435,273,534,161,141,264,234,122,157,189,376
実数／男／平成25年１～３月平均,2013,01～03,362,529,400,300,598,158,135,250,255,123,166,208,349
実数／男／平成25年４～６月平均,2013,04～06,400,562,454,349,546,135,151,313,234,124,163,184,307
実数／男／平成25年７～９月平均,2013,07～09,305,523,482,299,625,124,119,294,242,108,178,203,304
実数／男／平成25年10～12月平均,2013,10～12,327,549,464,313,602,132,120,244,206,109,156,225,363
実数／男／平成26年１～３月平均,2014,01～03,366,557,442,307,635,151,141,268,201,129,176,198,295
実数／女／平成23年平均,2011,,75,237,174,70,587,136,85,138,255,152,191,437,283
実数／女／平成24年平均,2012,,73,208,168,66,575,129,83,148,274,148,184,451,295
