区分,男女計／実数（千人、％）,男女計／前年同期（千人、％）,男女計／対前年同期／増減数（千人、ポイント）,男女計／対前年同期／増減率（％）,男／実数（千人、％）,男／前年同期（千人、％）,男／対前年同期／増減数（千人、ポイント）,男／対前年同期／増減率（％）,女／実数（千人、％）,女／前年同期（千人、％）,女／対前年同期／増減数（千人、ポイント）,女／対前年同期／増減率（％）
15歳以上人口,11801,11744,57,0.5,5797,5772,25,0.4,6004,5971,33,0.6
〔就業状態〕／労働力人口,7518,7419,99,1.3,4324,4316,8,0.2,3193,3103,90,2.9
〔就業状態〕／労働力人口／就業者数,7244,7091,153,2.2,4167,4105,62,1.5,3077,2986,91,3
〔就業状態〕／労働力人口／就業者数／自営業主数,553,578,-25,-4.3,378,433,-55,-12.7,175,146,29,19.9
〔就業状態〕／労働力人口／就業者数／家族従業者数,103,127,-24,-18.9,18,22,-4,-18.2,85,105,-20,-19
〔就業状態〕／労働力人口／就業者数／雇用者数,6551,6342,209,3.3,3751,3631,120,3.3,2801,2711,90,3.3
〔就業状態〕／労働力人口／就業者数／雇用者数／うち正規の職員・従業員,3732,3750,-18,-0.5,2522,2460,62,2.5,1210,1290,-80,-6.2
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員,2268,2092,176,8.4,797,776,21,2.7,1472,1316,156,11.9
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員／うちパート・アルバイト,1441,1335,106,7.9,405,390,15,3.8,1036,945,91,9.6
〔就業状態〕／労働力人口／就業者数／雇用者数／うち常雇,6041,5796,245,4.2,3541,3395,146,4.3,2500,2401,99,4.1
〔就業状態〕／労働力人口／完全失業者数,274,328,-54,-16.5,158,210,-52,-24.8,116,117,-1,-0.9
〔就業状態〕／非労働力人口,4280,4316,-36,-0.8,1470,1451,19,1.3,2810,2865,-55,-1.9
〔就業者の活動状況別内訳〕／就業者数（再掲）,7244,7091,153,2.2,4167,4105,62,1.5,3077,2986,91,3
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数,7021,6905,116,1.7,4092,4037,55,1.4,2929,2869,60,2.1
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／主に仕事,6035,5970,65,1.1,3933,3888,45,1.2,2102,2081,21,1
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／通学のかたわらに仕事,195,182,13,7.1,97,88,9,10.2,98,94,4,4.3
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／家事などのかたわらに仕事,790,754,36,4.8,62,60,2,3.3,728,693,35,5.1
〔就業者の活動状況別内訳〕／就業者数（再掲）／休業者数,223,186,37,19.9,74,69,5,7.2,149,117,32,27.4
〔就業者の主な産業別内訳〕／建設業,433,435,-2,-0.5,366,362,4,1.1,68,73,-5,-6.8
〔就業者の主な産業別内訳〕／製造業,782,713,69,9.7,557,529,28,5.3,225,183,42,23
〔就業者の主な産業別内訳〕／情報通信業,619,582,37,6.4,442,400,42,10.5,177,182,-5,-2.7
〔就業者の主な産業別内訳〕／運輸業，郵便業,376,377,-1,-0.3,307,300,7,2.3,69,77,-8,-10.4
〔就業者の主な産業別内訳〕／卸売業，小売業,1240,1176,64,5.4,635,598,37,6.2,605,577,28,4.9
〔就業者の主な産業別内訳〕／金融業，保険業,280,314,-34,-10.8,151,158,-7,-4.4,130,156,-26,-16.7
〔就業者の主な産業別内訳〕／不動産業，物品賃貸業,231,231,0,0,141,135,6,4.4,90,95,-5,-5.3
〔就業者の主な産業別内訳〕／学術研究，専門・技術サービス業,440,400,40,10,268,250,18,7.2,172,150,22,14.7
〔就業者の主な産業別内訳〕／宿泊業，飲食サービス業,470,516,-46,-8.9,201,255,-54,-21.2,269,261,8,3.1
〔就業者の主な産業別内訳〕／生活関連サービス業，娯楽業,286,253,33,13,129,123,6,4.9,156,131,25,19.1
〔就業者の主な産業別内訳〕／教育，学習支援業,389,371,18,4.9,176,166,10,6,213,205,8,3.9
〔就業者の主な産業別内訳〕／医療，福祉,724,723,1,0.1,198,208,-10,-4.8,527,515,12,2.3
〔就業者の主な産業別内訳〕／サービス業（他に分類されないもの）,496,564,-68,-12.1,295,349,-54,-15.5,201,215,-14,-6.5
〔雇用者の主な産業別内訳〕／建設業,379,373,6,1.6,315,308,7,2.3,64,65,-1,-1.5
〔雇用者の主な産業別内訳〕／製造業,737,663,74,11.2,533,493,40,8.1,204,170,34,20
〔雇用者の主な産業別内訳〕／情報通信業,590,554,36,6.5,421,381,40,10.5,169,172,-3,-1.7
〔雇用者の主な産業別内訳〕／運輸業，郵便業,348,345,3,0.9,281,271,10,3.7,67,74,-7,-9.5
〔雇用者の主な産業別内訳〕／卸売業，小売業,1154,1082,72,6.7,586,544,42,7.7,568,538,30,5.6
〔雇用者の主な産業別内訳〕／金融業，保険業,280,312,-32,-10.3,150,157,-7,-4.5,130,156,-26,-16.7
〔雇用者の主な産業別内訳〕／不動産業，物品賃貸業,208,189,19,10.1,126,115,11,9.6,82,74,8,10.8
〔雇用者の主な産業別内訳〕／学術研究，専門・技術サービス業,320,287,33,11.5,193,167,26,15.6,127,119,8,6.7
〔雇用者の主な産業別内訳〕／宿泊業，飲食サービス業,384,423,-39,-9.2,158,198,-40,-20.2,226,225,1,0.4
〔雇用者の主な産業別内訳〕／生活関連サービス業，娯楽業,225,191,34,17.8,103,96,7,7.3,123,95,28,29.5
〔雇用者の主な産業別内訳〕／教育，学習支援業,356,340,16,4.7,169,158,11,7,187,183,4,2.2
〔雇用者の主な産業別内訳〕／医療，福祉,689,686,3,0.4,177,186,-9,-4.8,512,500,12,2.4
〔雇用者の主な産業別内訳〕／サービス業（他に分類されないもの）,457,519,-62,-11.9,267,314,-47,-15,190,205,-15,-7.3
〔非農林業雇用者の従業者規模別内訳〕／総数,6545,6333,212,3.3,3747,3624,123,3.4,2798,2710,88,3.2
〔非農林業雇用者の従業者規模別内訳〕／総数／１～29人規模,1754,1723,31,1.8,984,995,-11,-1.1,769,727,42,5.8
〔非農林業雇用者の従業者規模別内訳〕／総数／30～499人規模,1995,1999,-4,-0.2,1111,1075,36,3.3,884,925,-41,-4.4
〔非農林業雇用者の従業者規模別内訳〕／総数／500人以上規模,2249,2103,146,6.9,1354,1270,84,6.6,895,834,61,7.3
〔完全失業率（年齢階級別）(%)〕／総数,3.6,4.4,-0.8,-,3.7,4.9,-1.2,-,3.6,3.8,-0.2,-
〔完全失業率（年齢階級別）(%)〕／総数／15～24歳,6.4,5.9,0.5,-,6.3,7.4,-1.1,-,6.5,4.4,2.1,-
