年・期,西暦(年),四半期,建設業（千人）,製造業（千人）,情報通信業（千人）,運輸業，郵便業（千人）,卸売業，小売業（千人）,金融業，保険業（千人）,不動産業，物品賃貸業（千人）,学術研究，専門･技術ｻｰﾋﾞｽ業（千人）,宿泊業，飲食ｻｰﾋﾞｽ業（千人）,生活関連ｻｰﾋﾞｽ業，娯楽業（千人）,教育，学習支援業（千人）,医療，福祉（千人）,ｻｰﾋﾞｽ業（他に分類されないもの）（千人）
実数／男女計／平成24年平均,2012,,372,713,565,319,1082,274,197,304,428,221,298,604,611
実数／男女計／平成25年平均,2013,,348,694,602,353,1114,279,187,319,428,207,330,662,510
実数／男女計／平成26年平均,2014,,392,690,653,360,1155,254,210,317,416,217,339,672,492
実数／男女計／平成24年７～９月平均,2012,07～09,366,677,595,317,1117,251,194,321,445,239,263,595,616
実数／男女計／平成24年10～12月平均,2012,10～12,364,762,562,307,1012,300,192,301,435,221,314,604,596
実数／男女計／平成25年１～３月平均,2013,01～03,373,663,554,345,1082,312,189,287,423,191,340,686,519
実数／男女計／平成25年４～６月平均,2013,04～06,387,685,602,373,1063,276,206,358,410,229,353,623,499
実数／男女計／平成25年７～９月平均,2013,07～09,303,691,638,342,1161,254,178,325,435,202,321,659,483
実数／男女計／平成25年10～12月平均,2013,10～12,330,737,613,354,1150,273,174,307,445,207,306,680,537
実数／男女計／平成26年１～３月平均,2014,01～03,379,737,590,348,1154,280,208,320,384,225,356,689,457
実数／男女計／平成26年４～６月平均,2014,04～06,422,707,699,389,1109,235,210,296,407,241,354,663,478
実数／男女計／平成26年７～９月平均,2014,07～09,375,670,662,350,1186,261,201,319,442,207,342,618,503
実数／男女計／平成26年10～12月平均,2014,10～12,392,647,660,352,1170,242,222,332,432,194,304,719,531
実数／男／平成24年平均,2012,,305,515,406,254,546,145,132,185,191,104,139,166,331
実数／男／平成25年平均,2013,,288,512,424,286,549,135,114,195,189,92,157,180,300
実数／男／平成26年平均,2014,,318,495,463,293,578,128,130,197,179,92,159,169,285
実数／男／平成24年７～９月平均,2012,07～09,297,494,418,253,581,131,129,200,203,104,127,157,337
実数／男／平成24年10～12月平均,2012,10～12,296,544,410,242,492,158,126,182,208,98,150,168,340
実数／男／平成25年１～３月平均,2013,01～03,308,493,381,271,544,157,115,167,198,96,158,186,314
実数／男／平成25年４～６月平均,2013,04～06,326,535,428,321,498,130,131,241,177,101,153,161,286
実数／男／平成25年７～９月平均,2013,07～09,249,497,456,269,590,123,103,202,201,86,171,173,281
実数／男／平成25年10～12月平均,2013,10～12,271,523,432,282,563,131,108,171,182,83,147,201,322
実数／男／平成26年１～３月平均,2014,01～03,315,533,421,281,586,150,126,193,158,103,169,177,267
実数／男／平成26年４～６月平均,2014,04～06,346,515,497,318,547,119,129,192,159,98,151,153,284
実数／男／平成26年７～９月平均,2014,07～09,296,467,466,289,612,120,132,209,208,84,170,153,282
実数／男／平成26年10～12月平均,2014,10～12,314,463,468,285,568,124,132,195,189,84,146,192,309
実数／女／平成24年平均,2012,,67,198,159,65,536,128,65,119,237,117,159,438,280
実数／女／平成25年平均,2013,,60,182,177,67,565,144,72,124,239,116,173,482,209
実数／女／平成26年平均,2014,,74,196,190,66,576,126,81,119,238,125,180,503,207
実数／女／平成24年７～９月平均,2012,07～09,69,183,177,64,536,120,65,121,242,135,136,438,279
実数／女／平成24年10～12月平均,2012,10～12,68,218,152,65,520,142,65,118,228,123,165,436,256
実数／女／平成25年１～３月平均,2013,01～03,65,170,172,74,538,156,74,119,225,95,183,500,205
実数／女／平成25年４～６月平均,2013,04～06,61,151,174,52,565,146,75,117,233,128,200,462,214
実数／女／平成25年７～９月平均,2013,07～09,54,193,182,72,571,132,74,124,234,116,150,486,203
実数／女／平成25年10～12月平均,2013,10～12,59,214,180,72,587,142,66,136,263,124,159,478,215
実数／女／平成26年１～３月平均,2014,01～03,64,204,169,67,568,130,82,127,226,123,187,512,190
実数／女／平成26年４～６月平均,2014,04～06,76,191,202,71,562,116,81,104,248,143,203,509,194
実数／女／平成26年７～９月平均,2014,07～09,79,203,196,61,574,141,70,110,233,123,172,465,222
実数／女／平成26年10～12月平均,2014,10～12,78,185,192,67,601,118,91,137,244,109,158,527,221
対前年・対前年同期増減数／男女計／平成24年平均,2012,,4,-17,-12,-21,-11,-7,-3,5,25,-2,-3,28,22
対前年・対前年同期増減数／男女計／平成25年平均,2013,,-24,-19,37,34,32,5,-10,15,0,-14,32,58,-101
対前年・対前年同期増減数／男女計／平成26年平均,2014,,44,-4,51,7,41,-25,23,-2,-12,10,9,10,-18
対前年・対前年同期増減数／男女計／平成24年７～９月平均,2012,07～09,6,-48,-6,-16,21,-48,11,45,38,17,-6,22,41
対前年・対前年同期増減数／男女計／平成24年10～12月平均,2012,10～12,-9,37,-59,-19,-39,34,-11,-13,15,-20,-34,28,1
対前年・対前年同期増減数／男女計／平成25年１～３月平均,2013,01～03,10,-17,-13,27,-37,41,-1,-8,-12,-20,42,53,-108
対前年・対前年同期増減数／男女計／平成25年４～６月平均,2013,04～06,-8,-49,66,40,-17,2,-7,58,11,16,35,39,-107
対前年・対前年同期増減数／男女計／平成25年７～９月平均,2013,07～09,-63,14,43,25,44,3,-16,4,-10,-37,58,64,-133
対前年・対前年同期増減数／男女計／平成25年10～12月平均,2013,10～12,-34,-25,51,47,138,-27,-18,6,10,-14,-8,76,-59
対前年・対前年同期増減数／男女計／平成26年１～３月平均,2014,01～03,6,74,36,3,72,-32,19,33,-39,34,16,3,-62
対前年・対前年同期増減数／男女計／平成26年４～６月平均,2014,04～06,35,22,97,16,46,-41,4,-62,-3,12,1,40,-21
対前年・対前年同期増減数／男女計／平成26年７～９月平均,2014,07～09,72,-21,24,8,25,7,23,-6,7,5,21,-41,20
対前年・対前年同期増減数／男女計／平成26年10～12月平均,2014,10～12,62,-90,47,-2,20,-31,48,25,-13,-13,-2,39,-6
対前年・対前年同期増減数／男／平成24年平均,2012,,4,6,-4,-18,-8,0,-1,-9,7,0,-1,13,14
対前年・対前年同期増減数／男／平成25年平均,2013,,-17,-3,18,32,3,-10,-18,10,-2,-12,18,14,-31
対前年・対前年同期増減数／男／平成26年平均,2014,,30,-17,39,7,29,-7,16,2,-10,0,2,-11,-15
対前年・対前年同期増減数／男／平成24年７～９月平均,2012,07～09,5,-20,-4,-27,16,-26,9,18,9,-1,-8,21,13
対前年・対前年同期増減数／男／平成24年10～12月平均,2012,10～12,-11,54,-38,-20,-43,25,-10,-23,-2,-13,-15,8,25
対前年・対前年同期増減数／男／平成25年１～３月平均,2013,01～03,16,-1,-36,20,-17,12,-9,1,19,-16,26,13,-27
対前年・対前年同期増減数／男／平成25年４～６月平均,2013,04～06,-8,6,48,52,-53,-18,-19,49,2,-1,7,-4,-19
対前年・対前年同期増減数／男／平成25年７～９月平均,2013,07～09,-48,3,38,16,9,-8,-26,2,-2,-18,44,16,-56
対前年・対前年同期増減数／男／平成25年10～12月平均,2013,10～12,-25,-21,22,40,71,-27,-18,-11,-26,-15,-3,33,-18
対前年・対前年同期増減数／男／平成26年１～３月平均,2014,01～03,7,40,40,10,42,-7,11,26,-40,7,11,-9,-47
対前年・対前年同期増減数／男／平成26年４～６月平均,2014,04～06,20,-20,69,-3,49,-11,-2,-49,-18,-3,-2,-8,-2
対前年・対前年同期増減数／男／平成26年７～９月平均,2014,07～09,47,-30,10,20,22,-3,29,7,7,-2,-1,-20,1
対前年・対前年同期増減数／男／平成26年10～12月平均,2014,10～12,43,-60,36,3,5,-7,24,24,7,1,-1,-9,-13
対前年・対前年同期増減数／女／平成24年平均,2012,,0,-23,-8,-3,-3,-8,-1,14,17,-2,-2,16,9
対前年・対前年同期増減数／女／平成25年平均,2013,,-7,-16,18,2,29,16,7,5,2,-1,14,44,-71
対前年・対前年同期増減数／女／平成26年平均,2014,,14,14,13,-1,11,-18,9,-5,-1,9,7,21,-2
対前年・対前年同期増減数／女／平成24年７～９月平均,2012,07～09,1,-28,-2,12,5,-22,3,27,29,18,3,1,28
対前年・対前年同期増減数／女／平成24年10～12月平均,2012,10～12,2,-17,-21,1,5,8,-2,9,17,-7,-18,20,-24
対前年・対前年同期増減数／女／平成25年１～３月平均,2013,01～03,-6,-16,22,7,-20,30,9,-10,-30,-4,17,40,-81
対前年・対前年同期増減数／女／平成25年４～６月平均,2013,04～06,-1,-54,18,-12,36,20,12,9,9,17,28,43,-87
対前年・対前年同期増減数／女／平成25年７～９月平均,2013,07～09,-15,10,5,8,35,12,9,3,-8,-19,14,48,-76
対前年・対前年同期増減数／女／平成25年10～12月平均,2013,10～12,-9,-4,28,7,67,0,1,18,35,1,-6,42,-41
対前年・対前年同期増減数／女／平成26年１～３月平均,2014,01～03,-1,34,-3,-7,30,-26,8,8,1,28,4,12,-15
対前年・対前年同期増減数／女／平成26年４～６月平均,2014,04～06,15,40,28,19,-3,-30,6,-13,15,15,3,47,-20
対前年・対前年同期増減数／女／平成26年７～９月平均,2014,07～09,25,10,14,-11,3,9,-4,-14,-1,7,22,-21,19
対前年・対前年同期増減数／女／平成26年10～12月平均,2014,10～12,19,-29,12,-5,14,-24,25,1,-19,-15,-1,49,6
,,,,,,,,,,,,,,,
東京の労働力統計データ（平成26年10～12月平均）,,,,,,,,,,,,,,,
第５表　主な産業別雇用者数 ,,,,,,,,,,,,,,,
