年・期,西暦(年),四半期,建設業（千人）,製造業（千人）,情報通信業（千人）,運輸業，郵便業（千人）,卸売業，小売業（千人）,金融業，保険業（千人）,不動産業，物品賃貸業（千人）,学術研究，専門･技術ｻｰﾋﾞｽ業（千人）,宿泊業，飲食ｻｰﾋﾞｽ業（千人）,生活関連ｻｰﾋﾞｽ業，娯楽業（千人）,教育，学習支援業（千人）,医療，福祉（千人）,ｻｰﾋﾞｽ業（他に分類されないもの）（千人）
実数／男女計／平成23年平均,2011,,368,730,577,340,1093,281,200,299,403,223,301,576,589
実数／男女計／平成24年平均,2012,,372,713,565,319,1082,274,197,304,428,221,298,604,611
実数／男女計／平成25年平均,2013,,348,694,602,353,1114,279,187,319,428,207,330,662,510
実数／男女計／平成24年１～３月平均,2012,01～03,363,680,567,318,1119,271,190,295,435,211,298,633,627
実数／男女計／平成24年４～６月平均,2012,04～06,395,734,536,333,1080,274,213,300,399,213,318,584,606
実数／男女計／平成24年７～９月平均,2012,07～09,366,677,595,317,1117,251,194,321,445,239,263,595,616
実数／男女計／平成24年10～12月平均,2012,10～12,364,762,562,307,1012,300,192,301,435,221,314,604,596
実数／男女計／平成25年１～３月平均,2013,01～03,373,663,554,345,1082,312,189,287,423,191,340,686,519
実数／男女計／平成25年４～６月平均,2013,04～06,387,685,602,373,1063,276,206,358,410,229,353,623,499
実数／男女計／平成25年７～９月平均,2013,07～09,303,691,638,342,1161,254,178,325,435,202,321,659,483
実数／男女計／平成25年10～12月平均,2013,10～12,330,737,613,354,1150,273,174,307,445,207,306,680,537
実数／男女計／平成26年１～３月平均,2014,01～03,379,737,590,348,1154,280,208,320,384,225,356,689,457
実数／男女計／平成26年４～６月平均,2014,04～06,422,707,699,389,1109,235,210,296,407,241,354,663,478
実数／男／平成23年平均,2011,,301,509,410,272,554,145,133,194,184,104,140,153,317
実数／男／平成24年平均,2012,,305,515,406,254,546,145,132,185,191,104,139,166,331
実数／男／平成25年平均,2013,,288,512,424,286,549,135,114,195,189,92,157,180,300
実数／男／平成24年１～３月平均,2012,01～03,292,494,417,251,561,145,124,166,179,112,132,173,341
実数／男／平成24年４～６月平均,2012,04～06,334,529,380,269,551,148,150,192,175,102,146,165,305
実数／男／平成24年７～９月平均,2012,07～09,297,494,418,253,581,131,129,200,203,104,127,157,337
