区分,男女計／実数（千人、％）,男女計／前年同期（千人、％）,男女計／対前年同期／増減数（千人、ポイント）,男女計／対前年同期／増減率（％）,男／実数（千人、％）,男／前年同期（千人、％）,男／対前年同期／増減数（千人、ポイント）,男／対前年同期／増減率（％）,女／実数（千人、％）,女／前年同期（千人、％）,女／対前年同期／増減数（千人、ポイント）,女／対前年同期／増減率（％）
15歳以上人口,11860,11794,66,0.6,5823,5794,29,0.5,6037,5999,38,0.6
〔就業状態〕／労働力人口,7626,7496,130,1.7,4358,4274,84,2,3268,3222,46,1.4
〔就業状態〕／労働力人口／就業者数,7341,7208,133,1.8,4177,4112,65,1.6,3164,3096,68,2.2
〔就業状態〕／労働力人口／就業者数／自営業主数,564,550,14,2.5,391,390,1,0.3,173,160,13,8.1
〔就業状態〕／労働力人口／就業者数／家族従業者数,92,100,-8,-8,18,20,-2,-10,74,80,-6,-7.5
〔就業状態〕／労働力人口／就業者数／雇用者数,6628,6507,121,1.9,3736,3676,60,1.6,2892,2832,60,2.1
〔就業状態〕／労働力人口／就業者数／雇用者数／うち正規の職員・従業員,3819,3705,114,3.1,2528,2475,53,2.1,1290,1230,60,4.9
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員,2267,2268,-1,0,793,775,18,2.3,1474,1493,-19,-1.3
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員／うちパート・アルバイト,1459,1483,-24,-1.6,390,394,-4,-1,1069,1089,-20,-1.8
〔就業状態〕／労働力人口／就業者数／雇用者数／うち常雇,6178,6000,178,3,3562,3480,82,2.4,2617,2520,97,3.8
〔就業状態〕／労働力人口／完全失業者数,285,288,-3,-1,181,162,19,11.7,104,126,-22,-17.5
〔就業状態〕／非労働力人口,4229,4293,-64,-1.5,1464,1517,-53,-3.5,2764,2777,-13,-0.5
〔就業者の活動状況別内訳〕／就業者数（再掲）,7341,7208,133,1.8,4177,4112,65,1.6,3164,3096,68,2.2
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数,7152,7057,95,1.3,4101,4054,47,1.2,3051,3004,47,1.6
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／主に仕事,6049,6010,39,0.6,3911,3879,32,0.8,2137,2131,6,0.3
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／通学のかたわらに仕事,233,208,25,12,112,107,5,4.7,121,100,21,21
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／家事などのかたわらに仕事,870,840,30,3.6,78,67,11,16.4,793,773,20,2.6
〔就業者の活動状況別内訳〕／就業者数（再掲）／休業者数,188,150,38,25.3,75,58,17,29.3,113,92,21,22.8
〔就業者の主な産業別内訳〕／建設業,441,388,53,13.7,359,327,32,9.8,83,61,22,36.1
〔就業者の主な産業別内訳〕／製造業,702,778,-76,-9.8,490,549,-59,-10.7,211,229,-18,-7.9
〔就業者の主な産業別内訳〕／情報通信業,693,651,42,6.5,494,464,30,6.5,199,188,11,5.9
〔就業者の主な産業別内訳〕／運輸業，郵便業,383,388,-5,-1.3,314,313,1,0.3,69,74,-5,-6.8
〔就業者の主な産業別内訳〕／卸売業，小売業,1256,1225,31,2.5,621,602,19,3.2,635,623,12,1.9
〔就業者の主な産業別内訳〕／金融業，保険業,244,277,-33,-11.9,125,132,-7,-5.3,120,145,-25,-17.2
〔就業者の主な産業別内訳〕／不動産業，物品賃貸業,246,198,48,24.2,148,120,28,23.3,98,78,20,25.6
〔就業者の主な産業別内訳〕／学術研究，専門・技術サービス業,449,417,32,7.7,273,244,29,11.9,176,173,3,1.7
〔就業者の主な産業別内訳〕／宿泊業，飲食サービス業,486,504,-18,-3.6,214,206,8,3.9,272,298,-26,-8.7
〔就業者の主な産業別内訳〕／生活関連サービス業，娯楽業,258,272,-14,-5.1,115,109,6,5.5,143,163,-20,-12.3
〔就業者の主な産業別内訳〕／教育，学習支援業,330,338,-8,-2.4,153,156,-3,-1.9,177,182,-5,-2.7
〔就業者の主な産業別内訳〕／医療，福祉,760,707,53,7.5,219,225,-6,-2.7,541,482,59,12.2
〔就業者の主な産業別内訳〕／サービス業（他に分類されないもの）,584,592,-8,-1.4,344,363,-19,-5.2,240,229,11,4.8
〔雇用者の主な産業別内訳〕／建設業,392,330,62,18.8,314,271,43,15.9,78,59,19,32.2
〔雇用者の主な産業別内訳〕／製造業,647,737,-90,-12.2,463,523,-60,-11.5,185,214,-29,-13.6
〔雇用者の主な産業別内訳〕／情報通信業,660,613,47,7.7,468,432,36,8.3,192,180,12,6.7
〔雇用者の主な産業別内訳〕／運輸業，郵便業,352,354,-2,-0.6,285,282,3,1.1,67,72,-5,-6.9
〔雇用者の主な産業別内訳〕／卸売業，小売業,1170,1150,20,1.7,568,563,5,0.9,601,587,14,2.4
〔雇用者の主な産業別内訳〕／金融業，保険業,242,273,-31,-11.4,124,131,-7,-5.3,118,142,-24,-16.9
〔雇用者の主な産業別内訳〕／不動産業，物品賃貸業,222,174,48,27.6,132,108,24,22.2,91,66,25,37.9
