区分,男女計／実数（千人、％）,男女計／前年（千人、％）,男女計／対前年／増減数（千人、ポイント）,男女計／対前年／増減率（％）,男／実数（千人、％）,男／前年（千人、％）,男／対前年／増減数（千人、ポイント）,男／対前年／増減率（％）,女／実数（千人、％）,女／前年（千人、％）,女／対前年／増減数（千人、ポイント）,女／対前年／増減率（％）
15歳以上人口,11840,11776,64,0.5,5815,5787,28,0.5,6026,5989,37,0.6
〔就業状態〕／労働力人口,7599,7475,124,1.7,4353,4315,38,0.9,3247,3160,87,2.8
〔就業状態〕／労働力人口／就業者数,7312,7163,149,2.1,4183,4130,53,1.3,3129,3033,96,3.2
〔就業状態〕／労働力人口／就業者数／自営業主数,571,578,-7,-1.2,396,414,-18,-4.3,174,164,10,6.1
〔就業状態〕／労働力人口／就業者数／家族従業者数,102,111,-9,-8.1,18,22,-4,-18.2,84,90,-6,-6.7
〔就業状態〕／労働力人口／就業者数／雇用者数,6594,6432,162,2.5,3745,3674,71,1.9,2849,2757,92,3.3
〔就業状態〕／労働力人口／就業者数／雇用者数／うち正規の職員・従業員,3820,3742,78,2.1,2538,2502,36,1.4,1282,1240,42,3.4
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員,2228,2164,64,3,787,764,23,3,1441,1400,41,2.9
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員／うちパート・アルバイト,1404,1391,13,0.9,389,387,2,0.5,1015,1004,11,1.1
〔就業状態〕／労働力人口／就業者数／雇用者数／うち常雇,6117,5923,194,3.3,3551,3462,89,2.6,2565,2461,104,4.2
〔就業状態〕／労働力人口／完全失業者数,287,312,-25,-8,170,185,-15,-8.1,117,127,-10,-7.9
〔就業状態〕／非労働力人口,4236,4294,-58,-1.4,1459,1468,-9,-0.6,2776,2826,-50,-1.8
〔就業者の活動状態別内訳〕／就業者数（再掲）,7312,7163,149,2.1,4183,4130,53,1.3,3129,3033,96,3.2
〔就業者の活動状態別内訳〕／就業者数（再掲）／従業者数,7117,6992,125,1.8,4112,4060,52,1.3,3005,2932,73,2.5
〔就業者の活動状態別内訳〕／就業者数（再掲）／従業者数／主に仕事,6110,6011,99,1.6,3947,3905,42,1.1,2163,2106,57,2.7
〔就業者の活動状態別内訳〕／就業者数（再掲）／従業者数／通学のかたわらに仕事,202,182,20,11,100,90,10,11.1,102,92,10,10.9
〔就業者の活動状態別内訳〕／就業者数（再掲）／従業者数／家事などのかたわらに仕事,805,798,7,0.9,65,64,1,1.6,740,733,7,1
〔就業者の活動状態別内訳〕／就業者数（再掲）／休業者数,195,172,23,13.4,71,70,1,1.4,124,101,23,22.8
〔就業者の主な産業別内訳〕／建設業,455,413,42,10.2,375,348,27,7.8,79,64,15,23.4
〔就業者の主な産業別内訳〕／製造業,733,734,-1,-0.1,518,541,-23,-4.3,215,194,21,10.8
〔就業者の主な産業別内訳〕／情報通信業,686,637,49,7.7,488,450,38,8.4,198,187,11,5.9
〔就業者の主な産業別内訳〕／運輸業，郵便業,388,385,3,0.8,320,315,5,1.6,69,70,-1,-1.4
〔就業者の主な産業別内訳〕／卸売業，小売業,1235,1196,39,3.3,624,593,31,5.2,611,603,8,1.3
〔就業者の主な産業別内訳〕／金融業，保険業,257,283,-26,-9.2,129,137,-8,-5.8,128,145,-17,-11.7
〔就業者の主な産業別内訳〕／不動産業，物品賃貸業,238,218,20,9.2,147,131,16,12.2,91,87,4,4.6
