男女・年,西暦(年),専門的・技術的職業従事者（千人）,事務従事者（千人）,販売従事者（千人）,サービス職業従事者（千人）,生産工程従事者（千人）,運搬・清掃・包装等従事者（千人）,その他（左記以外のもの）（千人）
実数／男女計／平成24年平均,2012,1439,1750,1140,863,555,376,946
実数／男女計／平成25年平均,2013,1487,1811,1082,876,564,399,943
実数／男女計／平成26年平均,2014,1578,1851,1106,883,553,393,946
実数／男／平成24年平均,2012,882,713,707,343,407,232,846
実数／男／平成25年平均,2013,911,735,647,352,412,244,829
実数／男／平成26年平均,2014,957,757,668,344,390,242,825
実数／女／平成24年平均,2012,557,1037,433,521,148,144,101
実数／女／平成25年平均,2013,576,1076,435,524,152,155,115
実数／女／平成26年平均,2014,621,1095,438,539,163,151,123
対前年増減数／男女計／平成25年平均,2013,48,61,-58,13,9,23,-3
対前年増減数／男女計／平成26年平均,2014,91,40,24,7,-11,-6,3
対前年増減数／男／平成25年平均,2013,29,22,-60,9,5,12,-17
対前年増減数／男／平成26年平均,2014,46,22,21,-8,-22,-2,-4
対前年増減数／女／平成25年平均,2013,19,39,2,3,4,11,14
対前年増減数／女／平成26年平均,2014,45,19,3,15,11,-4,8
,,,,,,,,
東京の労働力統計データ（平成26年平均）,,,,,,,,
第６表　主な職業別就業者数,,,,,,,,
"注)日本標準職業分類（平成21年12月改定）に基づく職業別で、結果表章を行っている。その他(左記以外のもの）
には、[管理的職業従事者」「保安職業従事者」「農林漁業従事者」「輸送・機械運転従事者」「建設・採掘
従事者」及び「分類不能の職業」が含まれている。",,,,,,,,
