"年月[西暦]","調査項目","設問","調査回答者の属性種別","調査回答者の属性","調査数[人]","関心がある[人]","まあ関心がある[人]","あまり関心がない[人]","関心がない[人]","わからない[人]","無回答[人]"
"202003","区政全般","Q3. あなたは、港区政に関心がありますか。（１つ選択）","全体",,"658","206","271","123","19","36","3"
"202003","区政全般","Q3. あなたは、港区政に関心がありますか。（１つ選択）","性・年代別","男性（計）","248","82","94","50","9","11","2"
"202003","区政全般","Q3. あなたは、港区政に関心がありますか。（１つ選択）","性・年代別","男性 18～29歳","23","4","8","8","3","0","0"
"202003","区政全般","Q3. あなたは、港区政に関心がありますか。（１つ選択）","性・年代別","男性 30～39歳","35","8","12","10","1","3","1"
"202003","区政全般","Q3. あなたは、港区政に関心がありますか。（１つ選択）","性・年代別","男性 40～49歳","41","15","21","4","1","0","0"
"202003","区政全般","Q3. あなたは、港区政に関心がありますか。（１つ選択）","性・年代別","男性 50～59歳","49","16","20","11","2","0","0"
"202003","区政全般","Q3. あなたは、港区政に関心がありますか。（１つ選択）","性・年代別","男性 60～69歳","39","15","15","7","0","2","0"
"202003","区政全般","Q3. あなたは、港区政に関心がありますか。（１つ選択）","性・年代別","男性 70歳以上","60","24","17","10","2","6","1"
"202003","区政全般","Q3. あなたは、港区政に関心がありますか。（１つ選択）","性・年代別","男性 無回答","1","0","1","0","0","0","0"
"202003","区政全般","Q3. あなたは、港区政に関心がありますか。（１つ選択）","性・年代別","女性（計）","400","117","175","73","10","24","1"
"202003","区政全般","Q3. あなたは、港区政に関心がありますか。（１つ選択）","性・年代別","女性 18～29歳","28","3","9","13","2","1","0"
"202003","区政全般","Q3. あなたは、港区政に関心がありますか。（１つ選択）","性・年代別","女性 30～39歳","65","16","33","13","3","0","0"
"202003","区政全般","Q3. あなたは、港区政に関心がありますか。（１つ選択）","性・年代別","女性 40～49歳","95","23","40","22","2","8","0"
"202003","区政全般","Q3. あなたは、港区政に関心がありますか。（１つ選択）","性・年代別","女性 50～59歳","82","23","39","14","0","6","0"
"202003","区政全般","Q3. あなたは、港区政に関心がありますか。（１つ選択）","性・年代別","女性 60～69歳","55","23","22","4","2","4","0"
"202003","区政全般","Q3. あなたは、港区政に関心がありますか。（１つ選択）","性・年代別","女性 70歳以上","75","29","32","7","1","5","1"
"202003","区政全般","Q3. あなたは、港区政に関心がありますか。（１つ選択）","性・年代別","女性 無回答","0","0","0","0","0","0","0"
"202003","区政全般","Q3. あなたは、港区政に関心がありますか。（１つ選択）","性・年代別","無回答","10","7","2","0","0","1","0"
"202003","区政全般","Q3. あなたは、港区政に関心がありますか。（１つ選択）","職業別","自営業主・家族従業","92","29","40","12","4","7","0"
"202003","区政全般","Q3. あなたは、港区政に関心がありますか。（１つ選択）","職業別","会社員・団体職員・公務員","280","87","113","65","5","8","2"
"202003","区政全般","Q3. あなたは、港区政に関心がありますか。（１つ選択）","職業別","アルバイト・パートタイマー","58","14","26","9","3","6","0"
"202003","区政全般","Q3. あなたは、港区政に関心がありますか。（１つ選択）","職業別","家事専業","94","25","48","15","2","4","0"
"202003","区政全般","Q3. あなたは、港区政に関心がありますか。（１つ選択）","職業別","学生","20","2","8","5","4","1","0"
"202003","区政全般","Q3. あなたは、港区政に関心がありますか。（１つ選択）","職業別","無職","83","31","26","15","0","10","1"
"202003","区政全般","Q3. あなたは、港区政に関心がありますか。（１つ選択）","職業別","その他","26","15","8","2","1","0","0"
"202003","区政全般","Q3. あなたは、港区政に関心がありますか。（１つ選択）","職業別","無回答","5","3","2","0","0","0","0"
"202003","区政全般","Q3. あなたは、港区政に関心がありますか。（１つ選択）","居住地区別","芝地区","107","33","49","15","3","6","1"
"202003","区政全般","Q3. あなたは、港区政に関心がありますか。（１つ選択）","居住地区別","麻布地区","140","38","57","28","7","9","1"
"202003","区政全般","Q3. あなたは、港区政に関心がありますか。（１つ選択）","居住地区別","赤坂地区","88","25","36","19","1","6","1"
"202003","区政全般","Q3. あなたは、港区政に関心がありますか。（１つ選択）","居住地区別","高輪地区","155","55","58","27","7","8","0"
"202003","区政全般","Q3. あなたは、港区政に関心がありますか。（１つ選択）","居住地区別","芝浦港南地区","164","54","69","34","1","6","0"
"202003","区政全般","Q3. あなたは、港区政に関心がありますか。（１つ選択）","居住地区別","無回答","4","1","2","0","0","1","0"
