"年度[西暦]","款","当初予算 金額[千円]","当初予算 構成比[%]","最終補正後 金額[千円]","最終補正後 構成比[%]"
"2018","総務費","508270","2.1","508270","2.1"
"2018","保険給付費","13891149","57.4","13891149","56.5"
"2018","国民健康保険事業費納付金","9463715","39.1","9463715","38.5"
"2018","共同事業拠出金","2","0.0","2","0.0"
"2018","保健事業費","182535","0.8","182535","0.7"
"2018","諸支出金","75505","0.3","451047","1.8"
"2018","予備費","100000","0.4","100000","0.4"
"2018","歳出合計","24221176","100","24596718","100"
"2019","総務費","678688","2.8",,
"2019","保険給付費","13672998","56.3",,
"2019","国民健康保険事業費納付金","9567907","39.4",,
"2019","共同事業拠出金","1","0.0",,
"2019","保健事業費","182802","0.8",,
"2019","諸支出金","92726","0.4",,
"2019","予備費","100000","0.4",,
"2019","歳出合計","24295122","100",,

"令和元年度港区行政資料集　国民健康保険事業会計歳出予算","Ver201903",,,,
