11　港　湾　厚　生　施　設,,,,,,
　11-（3）港湾労働者宿泊施設、住宅,,,,,,
,名称,所在地,構造,定員等,設置者,運営者
,港湾労働者,港区海岸三丁目9番40号,"鉄筋コンクリート造20階建のうち
1～7階部分",223,東京都,（一財）東京港湾福利厚生協会
,第一宿泊所,03-３４５６-１１８０,,人,,
,港湾労働者,港区海岸三丁目21番1号,鉄筋コンクリート造5階建,100,東京都,（一財）東京港湾福利厚生協会
,第三宿泊所,03-３４５４-２６０８,,人,,
,港湾労働者,港区港南五丁目2番13号,鉄筋コンクリート造4階建,88,東京都,（一財）東京港湾福利厚生協会
,品川宿泊所,03-３４７２-５３０１,,人,,
,東京港湾福利厚生センター,港区海岸三丁目9番5号,"鉄筋コンクリート造9階建のうち
3～7階部分",100,（一財）東京港湾福利厚生協会,（一財）東京港湾福利厚生協会
,,03-６４３５-２６５２,,人,,
,辰巳港湾住宅,江東区辰巳二丁目1番,鉄筋コンクリート造7階建　　8棟,412,（一財）東京港湾福利厚生協会,（一財）東京港湾福利厚生協会
,,03-３５２１-５２２０,,世帯,,
