（輸入）,, 5-(2)外貿コンテナ貨物主要国別表（累計上位20位）,,,,(単位：トン）
,,当月,前年比,1月以降累計,前年比,構成比
総計,,"2,788,339",96.1%,"34,507,158",98.0%,100.0%
1,中国,"1,194,871",94.5%,"14,926,907",97.6%,43.3%
,(香港),"114,936",76.6%,"1,582,569",82.6%,4.6%
2,アメリカ,"292,016",86.7%,"3,844,505",91.9%,11.1%
3,タイ,"174,930",82.1%,"2,268,321",93.3%,6.6%
4,ベトナム,"199,971",112.0%,"2,202,636",109.4%,6.4%
5,台湾,"118,959",98.9%,"1,593,721",109.3%,4.6%
6,韓国,"104,466",91.4%,"1,346,460",98.2%,3.9%
7,シンガポール,"107,774",126.5%,"1,187,394",106.4%,3.4%
8,カナダ,"90,146",92.3%,"1,175,983",92.9%,3.4%
9,マレーシア,"95,931",124.7%,"1,024,186",111.0%,3.0%
10,インドネシア,"73,805",99.6%,"888,828",101.3%,2.6%
11,フィリピン,"43,527",78.2%,"566,092",83.3%,1.6%
12,ドイツ,"48,515",97.2%,"554,245",96.7%,1.6%
13,オランダ,"47,637",104.0%,"484,866",94.4%,1.4%
14,フランス,"26,623",104.0%,"327,399",101.5%,0.9%
15,チリ,"18,235",67.1%,"287,177",77.2%,0.8%
16,ニュージーランド,"15,494",130.8%,"217,370",95.4%,0.6%
17,イタリア,"17,915",161.6%,"182,567",107.6%,0.5%
18,イギリス,"15,953",99.9%,"164,508",98.5%,0.5%
19,メキシコ,"9,955",101.0%,"135,067",73.9%,0.4%
20,ブラジル,"10,619",103.4%,"131,014",127.0%,0.4%
,その他,"80,997",104.5%,"997,912",103.6%,2.9%
