 2-(5)カーフェリー輸送状況,,,,,,（単位：隻、総トン、トン、台、人）,
,,,合計,,九州,,
,,,当月,1月以降累計,当月,1月以降累計,
入港船舶,隻数,,30,349,30,349,
,総トン数,,"379,080","4,409,964","379,080","4,409,964",
取扱貨物,計,計,"886,235","10,734,800","886,235","10,734,800",
,,出荷,"443,695","5,566,510","443,695","5,566,510",
,,入荷,"442,540","5,168,290","442,540","5,168,290",
取　扱　台　数,バ　ス,計,8,124,8,124,
,,出荷,2,51,2,51,
,,入荷,6,73,6,73,
,トラック,計,"8,001","97,484","8,001","97,484",
,,出荷,"4,029","50,999","4,029","50,999",
,,入荷,"3,972","46,485","3,972","46,485",
,乗用車,計,"3,917","60,118","3,917","60,118",
,,出荷,"2,242","35,650","2,242","35,650",
,,入荷,"1,675","24,468","1,675","24,468",
乗降人員,計,,"3,300","42,421","3,300","42,421",
,乗船,,"2,124","22,891","2,124","22,891",
,降船,,"1,176","19,530","1,176","19,530",
,,,,,,,
（注）カーフェリー（自動車航送船）による貨物量は車両区分別に台数を調整し,,,,,,,
　　　所定の換算トンをかけて算出しています。,,,,,,,
　　　�9,,,
千葉県,"8,365","2,682","5,683",599,"5,505","2,083",178,,,
千葉,"8,365","2,682","5,683",599,"5,505","2,083",178,,,
東京都,"8,048","8,048",-,"5,706",-,"2,342",-,,,
大島（元町）,"4,567","4,567",-,"3,210",-,"1,357",-,,,
大島（波浮）,177,177,-,125,-,52,-,,,
新島,"1,085","1,085",-,727,-,358,-,,,
神津島,652,652,-,497,-,155,-,,,
利島,366,366,-,223,-,143,-,,,
式根島諸港,217,217,-,140,-,77,-,,,
小笠原（二見）,984,984,-,784,-,200,-,,,
神奈川県,"95,847","30,676","65,171","16,115","63,772","14,561","1,399",,,
川崎,"2,794","1,854",940,449,798,"1,405",142,,,
横浜,"93,053","28,822","64,231","15,666","62,974","13,156","1,257",,,
静岡県,"46,026","18,940","27,086","8,383","26,979","10,557",107,,,
清水,"34,965","18,504","16,461","8,009","16,354","10,495",107,,,
御前崎,"11,061",436,"10,625",374,"10,625",62,-,,,
愛知県,"68,369","14,249","54,120","4,304","54,081","9,945",39,,,
三河,540,371,169,371,169,-,-,,,
名古屋,"67,829","13,878","53,951","3,933","53,912","9,945",39,,,
三重県,"17,317",709,"16,608",96,"16,529",613,79,,,
