 4-(1)入港コンテナ船及びコンテナ貨物係留施設別表,,,,,,,,,,,,,（単位：隻、総トン、トン）
係留施設,入港コンテナ船,,,,,,コ ン テ ナ 取 扱 貨 物 量,,,,,,
,合計,,外航,,内航,,合計,外貿,,,内貿,,
,隻数,総トン数,隻数,総トン数,隻数,総トン数,,計,輸出,輸入,計,移出,移入
合計,713,"13,057,756",428,"10,999,947",285,"2,057,809","4,214,190","3,960,971","1,172,632","2,788,339","253,219","136,175","117,044"
,95.3%,96.9%,97.5%,96.3%,92.2%,100.3%,98.9%,98.4%,104.4%,96.1%,108.1%,106.8%,109.6%
,"8,449","153,934,887","4,961","128,869,194","3,488","25,065,693","49,554,877","46,662,211","12,155,053","34,507,158","2,892,666","1,595,660","1,297,006"
,98.4%,99.6%,96.9%,98.6%,100.5%,104.6%,97.2%,97.2%,95.2%,98.0%,97.2%,90.8%,106.4%
品川岸壁,145,"1,676,385",80,"795,127",65,"881,258","330,721","330,721","65,821","264,900",-,-,-
,98.0%,103.0%,103.9%,103.7%,91.5%,102.3%,95.7%,95.7%,87.0%,98.1%,-,-,-
,"1,659","18,666,955",890,"8,944,276",769,"9,722,679","4,046,974","4,041,341","765,915","3,275,426","5,633",-,"5,633"
,96.0%,98.0%,95.1%,96.2%,97.0%,99.7%,91.9%,91.8%,78.0%,95.8%,"80,471.4%",-,-
10号西岸壁,61,"655,495",-,-,61,"655,495","37,908",-,-,-,"37,908","24,413","13,495"
,98.4%,100.9%,-,-,98.4%,100.9%,100.8%,-,-,-,100.8%,98.0%,106.3%
,804,"8,849,697",-,-,804,"8,849,697","471,493",-,-,-,"471,493","318,515","152,978"
,110.3%,114.8%,-,-,110.3%,114.8%,96.8%,-,-,-,96.8%,94.3%,102.3%
青海コンテナふ頭（公共）,112,"1,508,967",88,"1,477,318",24,"31,649","757,598","733,168","160,651","572,517","24,430","11,048","13,382"
,86.2%,87.0%,93.6%,86.4%,66.7%,125.7%,92.5%,91.8%,89.9%,92.3%,119.9%,106.1%,134.3%
,"1,290","17,870,243","1,010","17,582,385",280,"287,858","8,845,895","8,632,958","1,618,426","7,014,532","212,937","126,783","86,154"
,88.3%,95.3%,95.4%,95.3%,69.7%,97.7%,94.2%,93.5%,91.7%,94.0%,128.9%,130.3%,126.9%
青海コンテナふ頭(埠頭㈱),70,"2,108,287",66,"2,104,034",4,"4,253","570,267","558,577","157,289","401,288","11,690","10,590","1,100"
,90.9%,101.8%,95.7%,101.8%,50.0%,89.7%,94.4%,94.7%,129.8%,85.7%,81.5%,97.9%,31.2%
,833,"23,301,744",769,"23,246,092",64,"55,652","6,841,954","6,671,121","1,529,226","5,141,895","170,833","147,716","23,117"
,98.5%,97.8%,97.0%,97.7%,120.8%,143.0%,95.6%,94.7%,101.5%,92.9%,153.0%,143.2%,271.6%
お台場ライナーふ頭,10,"85,605",2,"39,553",8,"46,052","1,530","1,530",213,"1,317",-,-,-
,62.5%,91.4%,200.0%,121.5%,53.3%,75.4%,67.5%,67.5%,-,58.1%,-,-,-
,181,"1,180,248",12,"365,063",169,"815,185","22,612","22,612","3,075","19,537",-,-,-
,89.2%,93.0%,85.7%,84.9%,89.4%,97.1%,104.4%,104.4%,"1,366.7%",91.1%,-,-,-
大井コンテナふ頭,257,"6,415,773",168,"6,319,608",89,"96,165","2,270,162","2,174,292","748,808","1,425,484","95,870","36,829","59,041"
,101.2%,96.1%,97.7%,96.5%,108.5%,76.4%,103.1%,102.8%,104.7%,101.8%,111.9%,106.5%,115.5%
,"2,971","76,555,436","1,968","75,255,134","1,003","1,300,302","26,200,712","25,115,361","7,757,943","17,357,418","1,085,351","413,289","672,062"
,101.1%,99.5%,96.7%,99.4%,111.1%,102.8%,99.0%,99.6%,96.6%,101.0%,87.1%,66.0%,108.5%
その他,58,"607,244",24,"264,307",34,"342,937","246,004","162,683","39,850","122,833","83,321","53,295","30,026"
,95.1%,97.8%,92.3%,89.0%,97.1%,105.8%,98.7%,94.0%,122.3%,87.5%,109.3%,113.9%,101.8%
,711,"7,510,564",312,"3,476,244",399,"4,034,320","3,125,237","2,178,818","480,468","1,698,350","946,419","589,357","357,062"
,104.6%,105.9%,111.4%,114.5%,99.8%,99.4%,102.9%,105.2%,100.0%,106.7%,97.9%,99.4%,95.6%
,,,,,,,,,,,,,
上段： 当月，　下段： １月以降累計，　各下段： 対前年比％,,,,,,,,,,,,,
