（輸出）,, 5-(1)外貿貨物主要国別表（累計上位20位）,,,,(単位：トン）
,,当月,前年比,1月以降累計,前年比,構成比
総計,,"1,233,963",105.4%,"12,734,630",95.8%,100.0%
1,アメリカ,"288,845",103.4%,"3,073,694",108.2%,24.1%
2,中国,"243,097",75.3%,"3,000,122",81.8%,23.6%
,(香港),"45,505",110.1%,"426,018",88.1%,3.3%
3,ベトナム,"166,800",286.6%,"1,115,073",148.2%,8.8%
4,タイ,"69,447",107.3%,"810,604",90.2%,6.4%
5,台湾,"80,099",119.9%,"642,677",90.1%,5.0%
6,韓国,"42,947",81.3%,"637,181",95.6%,5.0%
7,オランダ,"47,986",73.1%,"494,377",89.0%,3.9%
8,マレーシア,"40,828",97.1%,"424,171",80.7%,3.3%
9,インドネシア,"31,962",99.5%,"409,037",94.4%,3.2%
10,インド,"34,584",107.5%,"361,374",101.4%,2.8%
11,ドイツ,"24,854",97.6%,"240,284",97.3%,1.9%
12,フィリピン,"18,543",88.6%,"234,510",91.0%,1.8%
13,シンガポール,"23,610",112.8%,"225,107",93.3%,1.8%
14,イギリス,"13,949",105.0%,"147,959",87.7%,1.2%
15,カナダ,"9,628",131.2%,"129,805",89.0%,1.0%
16,ロシア,"14,639",181.7%,"96,524",107.1%,0.8%
17,バングラディシュ,"20,368","1,189.7%","81,581",247.6%,0.6%
18,ブラジル,"7,612",126.1%,"69,620",96.8%,0.5%
19,アラブ首長国,"6,101",145.2%,"67,025",101.6%,0.5%
20,フランス,"7,501",109.2%,"57,940",84.3%,0.5%
,その他,"40,563",103.1%,"415,965",84.8%,3.3%
,,,,,,
