（輸出）,, 5-(2)外貿コンテナ貨物主要国別表（累計上位20位）,,,,(単位：トン）
,,当月,前年比,1月以降累計,前年比,構成比
総計,,"1,172,632",104.4%,"12,155,053",95.2%,100.0%
1,アメリカ,"288,845",103.4%,"3,073,694",108.2%,25.3%
2,中国,"242,739",77.3%,"2,993,922",82.7%,24.6%
,(香港),"45,505",110.1%,"426,018",89.1%,3.5%
3,ベトナム,"133,938",290.0%,"837,763",150.2%,6.9%
4,タイ,"69,447",107.3%,"810,604",91.2%,6.7%
5,台湾,"72,020",127.9%,"597,950",95.7%,4.9%
6,オランダ,"47,986",73.1%,"494,377",89.0%,4.1%
7,韓国,"38,948",100.7%,"438,905",87.7%,3.6%
8,マレーシア,"40,828",97.1%,"424,171",80.7%,3.5%
9,インドネシア,"31,962",100.5%,"409,037",94.5%,3.4%
10,インド,"34,584",107.5%,"361,374",101.4%,3.0%
11,ドイツ,"24,854",97.6%,"240,284",97.3%,2.0%
12,フィリピン,"18,260",94.3%,"228,226",93.6%,1.9%
13,シンガポール,"23,610",112.8%,"225,107",93.3%,1.9%
14,イギリス,"13,949",105.0%,"147,959",87.7%,1.2%
15,カナダ,"9,628",131.2%,"129,805",89.0%,1.1%
16,ロシア,"14,639",181.7%,"96,524",108.3%,0.8%
17,ブラジル,"7,612",126.1%,"69,620",96.8%,0.6%
18,アラブ首長国,"6,101",145.2%,"67,025",101.6%,0.6%
19,フランス,"7,501",109.2%,"57,940",84.3%,0.5%
20,オーストラリア,"4,900",108.5%,"51,998",98.8%,0.4%
,その他,"40,281",110.2%,"398,768",84.7%,3.3%
,,,,,,
