 4-(4)コンテナ取扱個数係留施設別表,,,,,,,,,,,,,,(単位：ＴＥＵ）
係留施設,合計,,外貿,,,,,,内貿,,,,,
,,,計,,輸出,,輸入,,計,,移出,,移入,
,実入,空,実入,空,実入,空,実入,空,実入,空,実入,空,実入,空
合計,"305,090","129,514","281,088","109,304","89,489","108,172","191,599","1,132","24,002","20,210","11,023","18,509","12,979","1,701"
,99.0%,98.3%,98.5%,96.0%,104.2%,95.6%,96.0%,166.5%,105.8%,113.2%,103.2%,112.9%,108.1%,117.6%
,"3,586,732","1,420,332","3,310,653","1,202,988","934,522","1,194,461","2,376,131","8,527","276,079","217,344","130,443","195,829","145,636","21,515"
,97.1%,100.4%,97.0%,104.0%,96.0%,104.4%,97.4%,68.5%,98.9%,84.3%,88.7%,83.0%,110.4%,98.2%
品川岸壁,"23,362","17,140","23,362","15,315","5,133","15,237","18,229",78,-,"1,825",-,"1,821",-,4
,96.1%,94.8%,96.1%,97.3%,87.4%,97.3%,98.8%,94.0%,-,78.0%,-,81.5%,-,3.8%
,"290,319","190,880","289,608","161,188","60,015","160,058","229,593","1,130",711,"29,692",-,"29,344",711,348
,94.2%,108.9%,94.0%,110.9%,81.2%,111.4%,98.0%,67.6%,-,99.1%,-,99.7%,-,65.7%
10号西岸壁,"3,706",426,-,-,-,-,-,-,"3,706",426,"2,210",-,"1,496",426
,99.7%,98.2%,-,-,-,-,-,-,99.7%,98.2%,100.0%,-,99.4%,98.2%
,"46,206","8,072",-,-,-,-,-,-,"46,206","8,072","28,325",39,"17,881","8,033"
,96.9%,132.3%,-,-,-,-,-,-,96.9%,132.3%,94.7%,-,100.7%,131.7%
青海コンテナふ頭（公共）,"53,692","28,851","51,402","24,590","12,059","24,230","39,343",360,"2,290","4,261",958,"4,211","1,332",50
,90.8%,97.9%,90.5%,101.9%,89.4%,101.0%,90.8%,241.6%,97.9%,79.8%,76.6%,80.3%,122.2%,51.0%
,"642,304","316,402","618,139","258,792","128,710","256,554","489,429","2,238","24,165","57,610","13,426","56,622","10,739",988
,94.8%,87.3%,94.0%,88.1%,94.3%,88.3%,94.0%,70.3%,121.5%,83.8%,121.8%,86.1%,121.1%,33.3%
青海コンテナふ頭(埠頭㈱),"39,801","21,949","39,362","18,925","12,035","18,913","27,327",12,439,"3,024",389,"3,024",50,-
,95.9%,90.2%,96.6%,81.9%,127.9%,82.0%,87.2%,25.5%,57.2%,251.0%,75.8%,251.0%,19.6%,-
