 1-(4)海上出入貨物航路別表,,,,,,,,,,,,(単位：トン）
航路別,合計,,,,,,コンテナ船計,,,,,
,当月,,,1月以降累計,,,当月,,,1月以降累計,,
,計,出貨,入貨,計,出貨,入貨,計,出貨,入貨,計,出貨,入貨
合計,"7,258,417","2,460,396","4,798,021","87,803,626","27,787,494","60,016,132","4,878,867","1,702,756","3,176,111","59,538,245","19,419,369","40,118,876"
外航計,"4,101,623","1,233,963","2,867,660","48,492,882","12,734,630","35,758,252","4,010,178","1,173,764","2,836,414","47,234,742","12,170,085","35,064,657"
外航定期計,"4,016,575","1,173,764","2,842,811","47,245,619","12,171,065","35,074,554","4,010,178","1,173,764","2,836,414","47,234,742","12,170,085","35,064,657"
世界一周,-,-,-,-,-,-,-,-,-,-,-,-
北米西岸(メキシコ含む),"335,408","65,606","269,802","5,495,472","1,462,131","4,033,341","335,408","65,606","269,802","5,495,472","1,462,131","4,033,341"
北米東岸(カリビア海含む),"124,443","55,974","68,469","1,573,910","684,349","889,561","124,443","55,974","68,469","1,573,905","684,344","889,561"
北欧・地中海,"538,035","303,838","234,197","4,350,021","2,280,125","2,069,896","538,035","303,838","234,197","4,350,021","2,280,125","2,069,896"
南米西岸,"32,573","3,765","28,808","463,836","58,240","405,596","32,573","3,765","28,808","463,836","58,240","405,596"
南米東岸,-,-,-,-,-,-,-,-,-,-,-,-
南米東岸･南ア経由,-,-,-,-,-,-,-,-,-,-,-,-
アフリカ,-,-,-,-,-,-,-,-,-,-,-,-
オセアニア,"16,754","2,608","14,146","267,742","35,272","232,470","16,754","2,608","14,146","267,742","35,272","232,470"
印パ･ペルシャ･ベンガル,-,-,-,-,-,-,-,-,-,-,-,-
東南アジア,"1,794,154","536,891","1,257,263","20,599,141","5,203,879","15,395,262","1,794,154","536,891","1,257,263","20,599,141","5,203,879","15,395,262"
台湾,-,-,-,-,-,-,-,-,-,-,-,-
韓国,"132,818","37,872","94,946","1,760,398","464,607","1,295,791","132,818","37,872","94,946","1,755,923","463,632","1,292,291"
中国(香港含む),"1,042,390","167,210","875,180","12,735,099","1,982,462","10,752,637","1,035,993","167,210","868,783","12,728,702","1,982,462","10,746,240"
ナホトカ,-,-,-,-,-,-,-,-,-,-,-,-
外航不定期,"85,048","60,199","24,849","1,247,263","563,565","683,698",-,-,-,-,-,-
内航計,"3,156,794","1,226,433","1,930,361","39,310,744","15,052,864","24,257,880","868,689","528,992","339,697","12,303,503","7,249,284","5,054,219"
内航定期計,"1,809,579","986,850","822,729","23,557,799","12,998,604","10,559,195","852,663","514,423","338,240","12,122,144","7,091,672","5,030,472"
北海道,"289,276","155,749","133,527","4,248,840","2,387,924","1,860,916","289,276","155,749","133,527","4,248,840","2,387,924","1,860,916"
東北,"39,767","17,275","22,492","402,735","214,343","188,392","39,767","17,275","22,492","402,735","214,343","188,392"
関東,"63,611","23,756","39,855","619,011","283,735","335,276",130,130,-,"1,226",130,"1,096"
伊豆諸島,"7,200","5,106","2,094","87,414","59,990","27,424",-,-,-,"4,344","3,173","1,171"
中部,"14,921","1,965","12,956","252,627","53,905","198,722","14,921","1,965","12,956","252,627","53,905","198,722"
近畿,"7,194","1,472","5,722","101,396","13,203","88,193","7,194","1,472","5,722","101,396","13,203","88,193"
中国,-,-,-,-,-,-,-,-,-,-,-,-
四国,-,-,-,-,-,-,-,-,-,-,-,-
九州,"1,273,852","699,980","573,872","16,463,505","8,956,009","7,507,496","387,617","256,285","131,332","5,728,705","3,389,499","2,339,206"
沖縄,"113,758","81,547","32,211","1,382,271","1,029,495","352,776","113,758","81,547","32,211","1,382,271","1,029,495","352,776"
内航不定期,"1,347,215","239,583","1,107,632","15,752,945","2,054,260","13,698,685","16,026","14,569","1,457","181,359","157,612","23,747"
,,,,,,,,,,,,
（注）オセアニアは豪州・ニュージーランド・南太平洋諸島,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
