（輸入）,, 5-(1)外貿貨物主要国別表（累計上位20位）,,,,(単位：トン）
,,当月,前年比,1月以降累計,前年比,構成比
総計,,"2,867,660",96.0%,"35,758,252",97.9%,100.0%
1,中国,"1,202,741",94.5%,"15,029,595",97.5%,42.0%
,(香港),"114,936",76.6%,"1,582,569",82.6%,4.4%
2,アメリカ,"292,016",85.2%,"3,948,094",91.3%,11.0%
3,タイ,"174,930",82.1%,"2,268,321",93.2%,6.3%
4,ベトナム,"199,971",112.0%,"2,203,235",109.4%,6.2%
5,台湾,"118,959",98.9%,"1,595,400",109.0%,4.5%
6,韓国,"110,041",92.0%,"1,392,924",98.4%,3.9%
7,カナダ,"98,024",89.5%,"1,357,693",90.4%,3.8%
8,シンガポール,"107,774",126.5%,"1,187,394",106.4%,3.3%
9,フィリピン,"96,575",87.4%,"1,121,321",94.3%,3.1%
10,マレーシア,"95,931",124.7%,"1,034,984",110.9%,2.9%
11,インドネシア,"73,805",99.6%,"889,959",101.4%,2.5%
12,ドイツ,"48,515",97.2%,"554,245",96.7%,1.5%
13,オランダ,"47,637",104.0%,"484,866",94.4%,1.4%
14,フランス,"26,623",104.0%,"327,399",101.5%,0.9%
15,ニュージーランド,"15,494",130.8%,"300,034",96.2%,0.8%
16,チリ,"18,235",67.1%,"287,177",77.2%,0.8%
17,イタリア,"17,915",161.6%,"182,567",107.6%,0.5%
18,イギリス,"15,953",99.9%,"164,508",98.5%,0.5%
19,メキシコ,"9,955",101.0%,"135,067",73.9%,0.4%
20,ブラジル,"10,619",103.4%,"131,014",127.0%,0.4%
,その他,"85,947",110.8%,"1,162,455",102.0%,3.3%
