 3-(3)海上出入貨物係留施設別表,,,,,,,,,,,,,,(単位：トン）
,合計,,外貿,,,,,,内貿,,,,,
係留施設,,,当月,,,1月以降累計,,,当月,,,1月以降累計,,
,当月,1月以降累計,計,輸出,輸入,計,輸出,輸入,計,移出,移入,計,移出,移入
合計,"6,867,500 ","36,261,318 ","3,814,020 ","904,827 ","2,909,193 ","19,655,885 ","5,018,659 ","14,637,226 ","3,053,480 ","1,158,488 ","1,894,992 ","16,605,433 ","6,173,693 ","10,431,740 "
公共計,"3,075,541 ","16,694,343 ","1,008,517 ","166,290 ","842,227 ","5,354,308 ","951,880 ","4,402,428 ","2,067,024 ","1,066,059 ","1,000,965 ","11,340,035 ","5,744,549 ","5,595,486 "
ドルフィン,"4,864 ","38,777 ",-,-,-,-,-,-,"4,864 ","4,264 ",600 ,"38,777 ","38,177 ",600 
芝浦ふ頭,"55,912 ","296,643 ",-,-,-,-,-,-,"55,912 ","1,748 ","54,164 ","296,643 ","7,813 ","288,830 "
芝浦物揚場,"5,696 ","35,814 ",-,-,-,-,-,-,"5,696 ","3,978 ","1,718 ","35,814 ","25,012 ","10,802 "
日の出ふ頭,"2,725 ","13,705 ",-,-,-,-,-,-,"2,725 ",-,"2,725 ","13,705 ",-,"13,705 "
竹芝ふ頭,"6,500 ","34,312 ",-,-,-,-,-,-,"6,500 ","4,067 ","2,433 ","34,312 ","22,570 ","11,742 "
品川岸壁,"578,370 ","3,097,365 ","315,756 ","52,430 ","263,326 ","1,689,043 ","324,516 ","1,364,527 ","262,614 ","156,534 ","106,080 ","1,408,322 ","847,376 ","560,946 "
　品川コンテナ,"310,876 ","1,649,552 ","310,876 ","51,831 ","259,045 ","1,648,172 ","321,016 ","1,327,156 ",-,-,-,"1,380 ",690 ,690 
　品川外貿,"4,880 ","40,871 ","4,880 ",599 ,"4,281 ","40,871 ","3,500 ","37,371 ",-,-,-,-,-,-
　品川内貿,"262,614 ","1,406,942 ",-,-,-,-,-,-,"262,614 ","156,534 ","106,080 ","1,406,942 ","846,686 ","560,256 "
月島ふ頭,"1,501 ","7,826 ",-,-,-,-,-,-,"1,501 ",563 ,938 ,"7,826 ","3,594 ","4,232 "
10号西岸壁,"499,068 ","2,682,203 ",-,-,-,-,-,-,"499,068 ","307,663 ","191,405 ","2,682,203 ","1,608,435 ","1,073,768 "
10号東岸壁,"28,274 ","154,766 ",-,-,-,-,-,-,"28,274 ",110 ,"28,164 ","154,766 ",596 ,"154,170 "
東京港フェリーふ頭,"775,525 ","4,436,850 ",-,-,-,-,-,-,"775,525 ","423,650 ","351,875 ","4,436,850 ","2,296,735 ","2,140,115 "
辰巳ふ頭,"36,230 ","161,353 ",-,-,-,-,-,-,"36,230 ","13,345 ","22,885 ","161,353 ","61,651 ","99,702 "
青海コンテナふ頭（公共）,"657,369 ","3,476,101 ","647,400 ","113,860 ","533,540 ","3,402,069 ","626,608 ","2,775,461 ","9,969 ","6,508 ","3,461 ","74,032 ","46,733 ","27,299 "
大井水産物ふ頭,-,50 ,-,-,-,50 ,50 ,-,-,-,-,-,-,-
大井食品ふ頭（OL）,"32,217 ","119,599 ","26,067 ",-,"26,067 ","92,122 ",-,"92,122 ","6,150 ",-,"6,150 ","27,477 ",-,"27,477 "
大井食品ふ頭（OM）,"8,757 ","37,117 ","8,757 ",-,"8,757 ","37,117 ",-,"37,117 ",-,-,-,-,-,-
若洲内貿ふ頭,"42,718 ","255,026 ",-,-,-,-,-,-,"42,718 ","29,620 ","13,098 ","255,026 ","188,880 ","66,146 "
15号地木材ふ頭,"4,440 ","27,977 ","2,844 ",-,"2,844 ","23,219 ",706 ,"22,513 ","1,596 ",-,"1,596 ","4,758 ","1,032 ","3,726 "
若洲建材ふ頭,"73,746 ","327,573 ",-,-,-,-,-,-,"73,746 ","6,956 ","66,790 ","327,573 ","39,295 ","288,278 "
大井建材ふ頭,"108,701 ","615,751 ",-,-,-,-,-,-,"108,701 ",-,"108,701 ","615,751 ",-,"615,751 "
城南島建設発生土ふ頭,"55,490 ","301,450 ",-,-,-,-,-,-,"55,490 ","55,490 ",-,"301,450 ","301,450 ",-
中央防波堤内側ばら物ふ頭,"10,199 ","128,768 ","7,693 ",-,"7,693 ","110,688 ",-,"110,688 ","2,506 ","1,263 ","1,243 ","18,080 ","7,954 ","10,126 "
中央防波堤内側建設発生土ふ頭,"12,431 ","39,172 ",-,-,-,-,-,-,"12,431 ","12,431 ",-,"39,172 ","39,172 ",-
中央防波堤内側内貿ふ頭,"74,808 ","406,145 ",-,-,-,-,-,-,"74,808 ","37,869 ","36,939 ","406,145 ","208,074 ","198,071 "
東京港埠頭㈱計,"2,689,809 ","13,741,640 ","2,571,461 ","704,476 ","1,866,985 ","13,179,404 ","3,882,428 ","9,296,976 ","118,348 ","54,005 ","64,343 ","562,236 ","213,426 ","348,810 "
青海コンテナふ頭(埠頭㈱),"571,585 ","2,720,058 ","555,813 ","112,226 ","443,587 ","2,652,713 ","568,940 ","2,083,773 ","15,772 ","12,565 ","3,207 ","67,345 ","54,150 ","13,195 "
お台場ライナーふ頭,"52,161 ","353,758 ","45,544 ","35,000 ","10,544 ","279,404 ","208,374 ","71,030 ","6,617 ","3,337 ","3,280 ","74,354 ","8,422 ","65,932 "
大井コンテナふ頭,"2,066,063 ","10,667,824 ","1,970,104 ","557,250 ","1,412,854 ","10,247,287 ","3,105,114 ","7,142,173 ","95,959 ","38,103 ","57,856 ","420,537 ","150,854 ","269,683 "
民間計,"1,102,150 ","5,825,335 ","234,042 ","34,061 ","199,981 ","1,122,173 ","184,351 ","937,822 ","868,108 ","38,424 ","829,684 ","4,703,162 ","215,718 ","4,487,444 "
(注) 実績の無い係留施設は表示なし,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
