 2-(4)入港船舶係留施設別表,,,,,,,,,,,,単位：隻、総トン
係留施設,合計,,,,外航船,,,,内航船,,,
,当月,,1月以降累計,,当月,,1月以降累計,,当月,,1月以降累計,
,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数
合計,"1,846 ","14,410,844 ","9,767 ","74,282,214 ",403 ,"10,728,467 ","2,144 ","55,363,051 ","1,443 ","3,682,377 ","7,623 ","18,919,163 "
公共計,925 ,"5,182,325 ","4,783 ","27,059,223 ",155 ,"2,425,326 ",854 ,"12,731,039 ",770 ,"2,756,999 ","3,929 ","14,328,184 "
ドルフィン,3 ,"1,488 ",23 ,"14,685 ",-,-,-,-,3 ,"1,488 ",23 ,"14,685 "
芝浦ふ頭,32 ,"97,928 ",154 ,"394,799 ",-,-,-,-,32 ,"97,928 ",154 ,"394,799 "
芝浦物揚場,21 ,"9,660 ",118 ,"54,343 ",-,-,-,-,21 ,"9,660 ",118 ,"54,343 "
日の出ふ頭,7 ,"5,381 ",33 ,"26,415 ",-,-,-,-,7 ,"5,381 ",33 ,"26,415 "
竹芝ふ頭,162 ,"331,194 ",777 ,"1,761,363 ",-,-,-,-,162 ,"331,194 ",777 ,"1,761,363 "
品川岸壁,127 ,"1,364,040 ",711 ,"7,606,479 ",62 ,"611,147 ",362 ,"3,626,279 ",65 ,"752,893 ",349 ,"3,980,200 "
　品川コンテナ,65 ,"590,615 ",379 ,"3,440,673 ",60 ,"585,645 ",346 ,"3,409,229 ",5 ,"4,970 ",33 ,"31,444 "
　品川外貿,2 ,"25,502 ",16 ,"217,050 ",2 ,"25,502 ",16 ,"217,050 ",-,-,-,-
　品川内貿,60 ,"747,923 ",316 ,"3,948,756 ",-,-,-,-,60 ,"747,923 ",316 ,"3,948,756 "
晴海ふ頭,9 ,"254,963 ",32 ,"676,841 ",6 ,"248,491 ",18 ,"631,012 ",3 ,"6,472 ",14 ,"45,829 "
月島ふ頭,4 ,"1,644 ",14 ,"5,066 ",-,-,-,-,4 ,"1,644 ",14 ,"5,066 "
漁業基地,1 ,"1,886 ",8 ,"11,488 ",-,-,-,-,1 ,"1,886 ",8 ,"11,488 "
10号西岸壁,65 ,"723,642 ",336 ,"3,599,146 ",-,-,-,-,65 ,"723,642 ",336 ,"3,599,146 "
10号東岸壁,28 ,"12,426 ",157 ,"69,676 ",-,-,-,-,28 ,"12,426 ",157 ,"69,676 "
東京港フェリーふ頭,26 ,"328,536 ",141 ,"1,781,676 ",-,-,-,-,26 ,"328,536 ",141 ,"1,781,676 "
多目的ふ頭,1 ,"5,747 ",6 ,"19,956 ",-,-,-,-,1 ,"5,747 ",6 ,"19,956 "
辰巳ふ頭,90 ,"32,254 ",410 ,"146,082 ",-,-,-,-,90 ,"32,254 ",410 ,"146,082 "
青海コンテナふ頭（公共）,114 ,"1,223,744 ",640 ,"7,356,038 ",72 ,"1,191,597 ",412 ,"7,153,071 ",42 ,"32,147 ",228 ,"202,967 "
有明ふ頭,4 ,"3,230 ",29 ,"26,141 ",-,-,-,-,4 ,"3,230 ",29 ,"26,141 "
大井水産物ふ頭,2 ,"191,994 ",5 ,"418,561 ",2 ,"191,994 ",5 ,"418,561 ",-,-,-,-
大井食品ふ頭（OL）,19 ,"111,599 ",91 ,"410,919 ",5 ,"109,333 ",18 ,"398,894 ",14 ,"2,266 ",73 ,"12,025 "
大井食品ふ頭（OM）,4 ,"35,870 ",23 ,"206,216 ",4 ,"35,870 ",23 ,"206,216 ",-,-,-,-
若洲内貿ふ頭,10 ,"100,340 ",58 ,"581,972 ",-,-,-,-,10 ,"100,340 ",58 ,"581,972 "
15号地木材ふ頭,11 ,"29,625 ",23 ,"162,715 ",1 ,"27,192 ",5 ,"158,634 ",10 ,"2,433 ",18 ,"4,081 "
若洲建材ふ頭,46 ,"26,145 ",206 ,"117,944 ",-,-,-,-,46 ,"26,145 ",206 ,"117,944 "
大井建材ふ頭,71 ,"41,038 ",419 ,"240,494 ",-,-,-,-,71 ,"41,038 ",419 ,"240,494 "
城南島建設発生土ふ頭,32 ,"24,128 ",196 ,"126,274 ",-,-,-,-,32 ,"24,128 ",196 ,"126,274 "
中央防波堤内側ばら物ふ頭,5 ,"10,946 ",23 ,"144,988 ",3 ,"9,702 ",11 ,"138,372 ",2 ,"1,244 ",12 ,"6,616 "
中央防波堤内側建設発生土ふ頭,4 ,"5,704 ",13 ,"17,917 ",-,-,-,-,4 ,"5,704 ",13 ,"17,917 "
中央防波堤内側内貿ふ頭,19 ,"200,991 ",99 ,"1,047,975 ",-,-,-,-,19 ,"200,991 ",99 ,"1,047,975 "
官公庁（晴海）,-,-,7 ,"15,579 ",-,-,-,-,-,-,7 ,"15,579 "
官公庁（月島）,6 ,"1,188 ",26 ,"4,990 ",-,-,-,-,6 ,"1,188 ",26 ,"4,990 "
官公庁（有明）,2 ,"4,994 ",5 ,"12,485 ",-,-,-,-,2 ,"4,994 ",5 ,"12,485 "
東京港埠頭㈱計,364 ,"8,254,451 ","1,826 ","42,381,649 ",222 ,"7,994,829 ","1,167 ","41,215,428 ",142 ,"259,622 ",659 ,"1,166,221 "
青海コンテナふ頭(埠頭㈱),72 ,"1,823,702 ",361 ,"9,026,439 ",58 ,"1,810,765 ",301 ,"8,966,385 ",14 ,"12,937 ",60 ,"60,054 "
お台場ライナーふ頭,41 ,"236,503 ",179 ,"1,205,250 ",9 ,"128,762 ",57 ,"795,830 ",32 ,"107,741 ",122 ,"409,420 "
大井コンテナふ頭,251 ,"6,194,246 ","1,286 ","32,149,960 ",155 ,"6,055,302 ",809 ,"31,453,213 ",96 ,"138,944 ",477 ,"696,747 "
民間計,557 ,"974,068 ","3,158 ","4,841,342 ",26 ,"308,312 ",123 ,"1,416,584 ",531 ,"665,756 ","3,035 ","3,424,758 "
,,,,,,,,,,,,
(注) 実績の無い係留施設は表示なし,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
