 4-(3)コンテナ取扱個数航路別表,,,,,,,,,,,,(単位：ＴＥＵ）
航路名,合計,,,,出貨,,,,入貨,,,
,当月,,1月以降累計,,当月,,1月以降累計,,当月,,1月以降累計,
,実入,空,実入,空,実入,空,実入,空,実入,空,実入,空
合計,"275,850","95,037","1,443,494","560,006","74,630","91,962","416,052","546,021","201,220","3,075","1,027,442","13,985"
,90.5%,78.4%,95.2%,98.2%,83.6%,77.4%,90.1%,98.1%,93.3%,127.2%,97.5%,100.4%
外航計,"253,685","81,330","1,333,716","468,281","64,476","80,758","364,598","464,809","189,209",572,"969,118","3,472"
,89.4%,80.1%,95.6%,101.5%,83.1%,80.2%,92.6%,101.8%,91.8%,69.8%,96.8%,70.2%
外航定期計,"253,685","81,330","1,333,716","468,281","64,476","80,758","364,598","464,809","189,209",572,"969,118","3,472"
,89.4%,80.1%,95.6%,101.5%,83.1%,80.2%,92.6%,101.8%,91.8%,69.8%,96.8%,70.2%
世界一周,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
北米西岸(メキシコ含む),"27,976","13,714","181,673","63,692","6,156","13,546","61,533","62,499","21,820",168,"120,140","1,193"
,75.7%,86.4%,92.9%,90.1%,52.3%,85.9%,88.0%,90.0%,86.6%,143.6%,95.6%,94.2%
北米東岸(カリビア海含む),"9,965","2,015","47,005","12,864","4,616","2,009","20,336","12,808","5,349",6,"26,669",56
,81.2%,69.7%,80.7%,112.7%,93.6%,70.2%,82.6%,114.3%,72.8%,20.0%,79.3%,27.1%
北欧・地中海,"27,920","1,748","104,287","11,465","12,942","1,731","51,048","11,317","14,978",17,"53,239",148
,138.2%,73.2%,111.7%,98.9%,153.3%,73.0%,121.2%,99.7%,127.4%,106.3%,104.0%,61.2%
南米西岸,"1,668","1,838","14,018","10,481",150,"1,838","1,847","10,186","1,518",-,"12,171",295
,57.7%,249.1%,67.5%,303.6%,625.0%,249.1%,352.5%,313.8%,53.0%,-,60.1%,143.2%
南米東岸,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
