 4-(4)コンテナ取扱個数係留施設別表,,,,,,,,,,,,,,(単位：ＴＥＵ）
係留施設,合計,,外貿,,,,,,内貿,,,,,
,,,計,,輸出,,輸入,,計,,移出,,移入,
,実入,空,実入,空,実入,空,実入,空,実入,空,実入,空,実入,空
合計,"275,851","95,037","253,685","81,330","64,476","80,758","189,209",572,"22,166","13,707","10,154","11,204","12,012","2,503"
,90.5%,78.4%,89.4%,80.1%,83.1%,80.2%,91.8%,69.8%,103.9%,69.7%,86.6%,62.0%,125.2%,156.6%
,"1,443,494","560,008","1,333,716","468,281","364,598","464,809","969,118","3,472","109,778","91,727","51,454","81,212","58,324","10,515"
,95.2%,98.2%,95.6%,101.5%,92.6%,101.8%,96.8%,70.2%,90.5%,84.3%,75.3%,81.3%,110.1%,117.0%
品川岸壁,"22,203","13,887","22,203","12,209","4,216","12,121","17,987",88,-,"1,678",-,"1,678",-,-
,91.0%,92.9%,91.0%,100.6%,72.6%,101.1%,96.7%,62.0%,-,59.7%,-,60.5%,-,-
,"118,398","78,337","118,074","66,971","25,063","66,499","93,011",472,324,"11,366",-,"11,150",324,216
,96.0%,113.8%,95.7%,116.7%,85.1%,117.7%,99.0%,53.2%,-,99.1%,-,98.8%,-,120.0%
10号西岸壁,"3,550","1,220",-,-,-,-,-,-,"3,550","1,220","2,140",-,"1,410","1,220"
,111.4%,250.5%,-,-,-,-,-,-,111.4%,250.5%,105.2%,-,122.4%,250.5%
,"18,927","4,249",-,-,-,-,-,-,"18,927","4,249","11,508",39,"7,419","4,210"
,101.1%,225.4%,-,-,-,-,-,-,101.1%,225.4%,99.0%,-,104.6%,223.3%
青海コンテナふ頭（公共）,"46,640","20,197","45,322","17,132","8,405","17,030","36,917",102,"1,318","3,065",759,"2,957",559,108
,76.5%,59.9%,75.8%,61.8%,68.0%,62.1%,77.8%,34.3%,110.8%,51.4%,103.0%,51.6%,123.4%,45.4%
,"251,580","128,725","242,958","103,294","48,203","102,420","194,755",874,"8,622","25,431","5,064","25,239","3,558",192
,93.4%,90.2%,92.8%,85.5%,88.6%,85.5%,93.8%,86.6%,115.1%,116.5%,97.3%,120.2%,155.6%,23.3%
青海コンテナふ頭(埠頭㈱),"39,740","16,844","38,997","15,997","8,651","15,873","30,346",124,743,847,478,847,265,-
,92.0%,73.8%,91.7%,75.3%,87.6%,74.9%,93.0%,253.1%,108.2%,53.2%,69.6%,53.2%,-,-
,"189,180","94,188","186,181","89,103","42,918","88,886","143,263",217,"2,999","5,085","2,164","5,085",835,-
,90.7%,88.5%,90.2%,97.8%,88.6%,98.4%,90.7%,29.8%,146.4%,33.2%,112.0%,33.6%,719.8%,-
お台場ライナーふ頭,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,569,140,569,140,-,-,569,140,-,-,-,-,-,-
,62.5%,341.5%,62.5%,341.5%,-,-,62.5%,341.5%,-,-,-,-,-,-
大井コンテナふ頭,"148,054","38,858","138,090","33,041","40,798","32,784","97,292",257,"9,964","5,817","2,923","5,722","7,041",95
,96.8%,98.2%,96.2%,101.3%,87.6%,101.5%,100.3%,82.4%,106.6%,83.4%,69.7%,84.3%,136.7%,51.4%
,"768,565","213,066","725,439","176,727","234,619","174,961","490,820","1,766","43,126","36,339","12,010","36,045","31,116",294
,95.3%,100.2%,96.8%,110.2%,93.6%,110.6%,98.4%,82.8%,76.0%,69.6%,42.3%,72.7%,109.8%,11.0%
その他,"15,664","4,031","9,073","2,951","2,406","2,950","6,667",1,"6,591","1,080","3,854",-,"2,737","1,080"
,78.2%,41.9%,69.2%,37.8%,81.1%,37.9%,65.7%,5.3%,95.3%,59.2%,94.5%,-,96.4%,166.7%
,"96,275","41,303","60,495","32,046","13,795","32,043","46,700",3,"35,780","9,257","20,708","3,654","15,072","5,603"
,108.9%,108.9%,116.0%,100.8%,130.4%,101.3%,112.4%,2.0%,98.6%,151.0%,97.9%,127.9%,99.7%,171.1%
,,,,,,,,,,,,,,
(注) 上段： 当月，　下段： １月以降累計，　各下段： 対前年比％,,,,,,,,,,,,,,
