（輸入）,, 5-(1)外貿貨物主要国別表（累計上位20位）,,,,(単位：トン）
,,当月,前年比,1月以降累計,前年比,構成比
総計,,"2,909,193",93.9%,"14,637,226",98.4%,100.0%
1,中国,"1,214,935",93.0%,"6,016,460",97.3%,41.1%
,(香港),"145,857",83.5%,"676,523",81.9%,4.6%
2,アメリカ,"357,658",95.2%,"1,741,302",92.6%,11.9%
3,タイ,"169,984",89.9%,"951,186",99.0%,6.5%
4,ベトナム,"172,217",119.1%,"864,350",113.6%,5.9%
5,台湾,"148,715",112.3%,"665,504",114.8%,4.5%
6,カナダ,"139,816",93.8%,"601,858",92.8%,4.1%
7,韓国,"110,931",94.4%,"559,962",99.1%,3.8%
8,フィリピン,"85,772",88.4%,"464,099",95.7%,3.2%
9,シンガポール,"81,404",84.5%,"462,755",105.2%,3.2%
10,マレーシア,"74,145",90.3%,"409,678",105.3%,2.8%
11,インドネシア,"65,181",89.9%,"367,553",104.0%,2.5%
12,ドイツ,"46,216",88.6%,"230,866",97.7%,1.6%
13,オランダ,"39,628",81.1%,"196,623",85.8%,1.3%
14,フランス,"26,891",85.6%,"131,389",98.3%,0.9%
15,チリ,"13,451",65.5%,"131,163",65.4%,0.9%
16,ニュージーランド,"42,846",87.9%,"130,929",93.5%,0.9%
17,イギリス,"13,200",81.7%,"66,387",97.5%,0.5%
18,イタリア,"13,112",83.7%,"64,607",106.0%,0.4%
19,オーストラリア,"4,221",631.9%,"63,223",138.0%,0.4%
20,メキシコ,"9,054",68.7%,"54,940",64.5%,0.4%
,その他,"79,816",90.5%,"462,392",108.5%,3.2%
