"年度[西暦]","款","予算現額[千円]","収入済額[千円]"
"2017","国民健康保険料",,"7976180"
"2017","一部負担金",,"0"
"2017","使用料及び手数料",,"116"
"2017","国庫支出金",,"5554948"
"2017","療養給付費等交付金",,"167181"
"2017","前期高齢者交付金",,"2017843"
"2017","都支出金",,"1524198"
"2017","共同事業交付金",,"7043598"
"2017","財産収入",,"1"
"2017","繰入金",,"2363511"
"2017","繰越金",,"1190281"
"2017","諸収入",,"32797"
"2017","歳入合計",,"27870654"
"2018","国民健康保険料",,"7959087"
"2018","一部負担金",,"0"
"2018","使用料及び手数料",,"113"
"2018","国庫支出金",,"180"
"2018","療養給付費等交付金",,
"2018","前期高齢者交付金",,
"2018","都支出金",,"13543207"
"2018","共同事業交付金",,
"2018","財産収入",,"1"
"2018","繰入金",,"2031823"
"2018","繰越金",,"1576736"
"2018","諸収入",,"33307"
"2018","歳入合計",,"25144453"
"2019","国民健康保険料",,"7809892"
"2019","一部負担金",,"0"
"2019","使用料及び手数料",,"117"
"2019","国庫支出金",,"26294"
"2019","療養給付費等交付金",,
"2019","前期高齢者交付金",,
"2019","都支出金",,"13585429"
"2019","共同事業交付金",,
"2019","財産収入",,
"2019","繰入金",,"2099747"
"2019","繰越金",,"1363275"
"2019","諸収入",,"22844"
"2019","歳入合計",,"24907598"
"2020","国民健康保険料","7414609","7432250"
"2020","一部負担金","4","0"
"2020","使用料及び手数料","122","86"
"2020","国庫支出金","222699","250697"
"2020","療養給付費等交付金",,
"2020","前期高齢者交付金",,
"2020","都支出金","13008618","12881773"
"2020","共同事業交付金",,
"2020","財産収入",,
"2020","繰入金","1850079","1850079"
"2020","繰越金","1347178","1347178"
"2020","諸収入","12647","29940"
"2020","歳入合計","23855956","23792003"
"2021","国民健康保険料","7142334","7205289"
"2021","一部負担金","4","0"
"2021","使用料及び手数料","6","17"
"2021","国庫支出金","70583","70603"
"2021","療養給付費等交付金",,
"2021","前期高齢者交付金",,
"2021","都支出金","14016879","13878258"
"2021","共同事業交付金",,
"2021","財産収入",,
"2021","繰入金","1777924","1777924"
"2021","繰越金","1109841","1109841"
"2021","諸収入","13887","40935"
"2021","歳入合計","24131458","24082867"

"令和4年度港区行政資料集　 国民健康保険事業会計歳入決算","Ver202203",,
