"年月[西暦]","調査項目","設問","調査回答者の属性種別","調査回答者の属性","調査数[人]","選択肢A","選択肢B","選択肢C","選択肢D","選択肢E","選択肢F","選択肢G","選択肢H","選択肢I","選択肢J","選択肢K","選択肢L","選択肢M","選択肢N","選択肢O"
"202203","区政全般","Q5. あなたは区の行政サービスや手続きの方法を知りたいとき、どのように情報を入手しますか。（複数選択可）","全体",,"558","111","154","324","286","174","27","128","20","31","45","6","0","7","3","4"
"202203","区政全般","Q5. あなたは区の行政サービスや手続きの方法を知りたいとき、どのように情報を入手しますか。（複数選択可）","性・年代別","男性（計）","231","48","65","154","96","64","9","43","11","12","9","1","0","3","2","3"
"202203","区政全般","Q5. あなたは区の行政サービスや手続きの方法を知りたいとき、どのように情報を入手しますか。（複数選択可）","性・年代別","男性 18～29歳","13","3","3","7","10","1","0","0","0","1","1","0","0","0","0","0"
"202203","区政全般","Q5. あなたは区の行政サービスや手続きの方法を知りたいとき、どのように情報を入手しますか。（複数選択可）","性・年代別","男性 30～39歳","38","7","7","23","20","9","1","1","1","1","2","0","0","0","1","2"
"202203","区政全般","Q5. あなたは区の行政サービスや手続きの方法を知りたいとき、どのように情報を入手しますか。（複数選択可）","性・年代別","男性 40～49歳","50","9","9","35","32","9","1","4","0","1","2","0","0","1","0","1"
"202203","区政全般","Q5. あなたは区の行政サービスや手続きの方法を知りたいとき、どのように情報を入手しますか。（複数選択可）","性・年代別","男性 50～59歳","47","6","16","37","18","10","2","11","3","2","1","0","0","1","0","0"
"202203","区政全般","Q5. あなたは区の行政サービスや手続きの方法を知りたいとき、どのように情報を入手しますか。（複数選択可）","性・年代別","男性 60～69歳","42","9","12","33","13","16","2","13","3","3","1","0","0","0","1","0"
"202203","区政全般","Q5. あなたは区の行政サービスや手続きの方法を知りたいとき、どのように情報を入手しますか。（複数選択可）","性・年代別","男性 70歳以上","40","13","17","19","3","18","3","14","4","4","2","1","0","1","0","0"
"202203","区政全般","Q5. あなたは区の行政サービスや手続きの方法を知りたいとき、どのように情報を入手しますか。（複数選択可）","性・年代別","男性 無回答","1","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0"
"202203","区政全般","Q5. あなたは区の行政サービスや手続きの方法を知りたいとき、どのように情報を入手しますか。（複数選択可）","性・年代別","女性（計）","313","59","86","161","182","103","16","83","9","18","33","5","0","4","1","1"
"202203","区政全般","Q5. あなたは区の行政サービスや手続きの方法を知りたいとき、どのように情報を入手しますか。（複数選択可）","性・年代別","女性 18～29歳","26","8","3","12","20","5","0","2","0","1","6","0","0","0","0","0"
"202203","区政全般","Q5. あなたは区の行政サービスや手続きの方法を知りたいとき、どのように情報を入手しますか。（複数選択可）","性・年代別","女性 30～39歳","49","13","17","28","37","12","1","7","0","1","2","1","0","3","0","0"
"202203","区政全般","Q5. あなたは区の行政サービスや手続きの方法を知りたいとき、どのように情報を入手しますか。（複数選択可）","性・年代別","女性 40～49歳","78","11","17","55","54","20","4","17","0","0","8","2","0","0","0","1"
"202203","区政全般","Q5. あなたは区の行政サービスや手続きの方法を知りたいとき、どのように情報を入手しますか。（複数選択可）","性・年代別","女性 50～59歳","62","7","15","36","39","21","4","15","1","6","2","0","0","1","1","0"
"202203","区政全般","Q5. あなたは区の行政サービスや手続きの方法を知りたいとき、どのように情報を入手しますか。（複数選択可）","性・年代別","女性 60～69歳","56","4","14","24","25","22","3","21","3","5","6","1","0","0","0","0"
"202203","区政全般","Q5. あなたは区の行政サービスや手続きの方法を知りたいとき、どのように情報を入手しますか。（複数選択可）","性・年代別","女性 70歳以上","42","16","20","6","7","23","4","21","5","5","9","1","0","0","0","0"
"202203","区政全般","Q5. あなたは区の行政サービスや手続きの方法を知りたいとき、どのように情報を入手しますか。（複数選択可）","性・年代別","女性 無回答","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"202203","区政全般","Q5. あなたは区の行政サービスや手続きの方法を知りたいとき、どのように情報を入手しますか。（複数選択可）","性・年代別","無回答","14","4","3","9","8","7","2","2","0","1","3","0","0","0","0","0"
"202203","区政全般","Q5. あなたは区の行政サービスや手続きの方法を知りたいとき、どのように情報を入手しますか。（複数選択可）","職業別","自営業主・家族従業","86","18","15","44","35","26","3","18","1","1","8","1","0","1","1","0"
"202203","区政全般","Q5. あなたは区の行政サービスや手続きの方法を知りたいとき、どのように情報を入手しますか。（複数選択可）","職業別","会社員・団体職員・公務員","243","47","69","162","145","56","8","43","7","12","9","2","0","3","1","3"
