"年月[西暦]","調査項目","設問","考え","調査回答者の属性種別","調査回答者の属性","調査数[人]","そう思う[人]","ややそう思う[人]","どちらともいえない[人]","あまり思わない[人]","思わない[人]","無回答[人]"
"202203","自殺対策","Q30. あなたはストレスを感じたとき に、 どう考えますか 。（○はそれぞれ１つずつ）","１　誰かに助けを求めたり、相談したいと思う","全体",,"558","163","143","74","82","68","28"
"202203","自殺対策","Q30. あなたはストレスを感じたとき に、 どう考えますか 。（○はそれぞれ１つずつ）","１　誰かに助けを求めたり、相談したいと思う","性・年代別","男性（計）","231","50","55","33","43","44","6"
"202203","自殺対策","Q30. あなたはストレスを感じたとき に、 どう考えますか 。（○はそれぞれ１つずつ）","１　誰かに助けを求めたり、相談したいと思う","性・年代別","男性 18～29歳","13","6","5","0","1","1","0"
"202203","自殺対策","Q30. あなたはストレスを感じたとき に、 どう考えますか 。（○はそれぞれ１つずつ）","１　誰かに助けを求めたり、相談したいと思う","性・年代別","男性 30～39歳","38","9","8","7","5","8","1"
"202203","自殺対策","Q30. あなたはストレスを感じたとき に、 どう考えますか 。（○はそれぞれ１つずつ）","１　誰かに助けを求めたり、相談したいと思う","性・年代別","男性 40～49歳","50","14","11","8","11","6","0"
"202203","自殺対策","Q30. あなたはストレスを感じたとき に、 どう考えますか 。（○はそれぞれ１つずつ）","１　誰かに助けを求めたり、相談したいと思う","性・年代別","男性 50～59歳","47","9","16","6","8","7","1"
"202203","自殺対策","Q30. あなたはストレスを感じたとき に、 どう考えますか 。（○はそれぞれ１つずつ）","１　誰かに助けを求めたり、相談したいと思う","性・年代別","男性 60～69歳","42","7","10","8","7","9","1"
"202203","自殺対策","Q30. あなたはストレスを感じたとき に、 どう考えますか 。（○はそれぞれ１つずつ）","１　誰かに助けを求めたり、相談したいと思う","性・年代別","男性 70歳以上","40","5","5","4","11","12","3"
"202203","自殺対策","Q30. あなたはストレスを感じたとき に、 どう考えますか 。（○はそれぞれ１つずつ）","１　誰かに助けを求めたり、相談したいと思う","性・年代別","男性 無回答","1","0","0","0","0","1","0"
"202203","自殺対策","Q30. あなたはストレスを感じたとき に、 どう考えますか 。（○はそれぞれ１つずつ）","１　誰かに助けを求めたり、相談したいと思う","性・年代別","女性（計）","313","112","88","41","38","24","10"
