"所得段階","説明","2016年度 保険料額[円]","2016年度 被保険者数[人]","2017年度 保険料額[円]","2017年度 被保険者数[人]"
"第1段階","本人が生活保護受給者、中国残留邦人等支援給付受給者又は老齢福祉年金受給者で、世帯全員が住民税非課税の人　本人の合計所得金額と公的年金収入金額を合わせて、80万円以下の人で、世帯全員が住民税非課税の人※第1段階には保険料軽減者も含む","29976","8068","29976","8022"
"第2段階","世帯全員が住民税非課税で、本人の合計所得金額と公的年金収入金額を合わせて、80万円を超え、120万円以下の人","41217","2571","41217","2627"
"第3段階","世帯全員が住民税非課税で、本人の合計所得金額と公的年金収入金額を合わせて、120万円を超える人","48711","2462","48711","2545"
"第4段階","本人が住民税非課税かつ世帯員が住民税課税で、本人の合計所得金額と公的年金収入金額を合わせて、80万円以下の人","59952","4648","59952","4594"
"第5段階","本人が住民税非課税かつ世帯員が住民税課税で、本人の合計所得金額と公的年金収入金額を合わせて、80万円を超える人","74940","2947","74940","2980"
"第6段階","本人が住民税課税で、合計所得金額125万円未満の人","78687","4567","78687","4789"
"第7段階","本人が住民税課税で、合計所得金額125万円以上190万円未満の人","82434","3886","82434","4067"
"第8段階","本人が住民税課税で、合計所得金額190万円以上250万円未満の人","89928","2601","89928","2669"
"第9段階","本人が住民税課税で、合計所得金額250万円以上350万円未満の人","104916","2649","104916","2701"
"第10段階","本人が住民税課税で、合計所得金額350万円以上500万円未満の人","119904","2404","119904","2386"
"第11段階","本人が住民税課税で、合計所得金額500万円以上750万円未満の人","142386","2043","142386","2034"
"第12段階","本人が住民税課税で、合計所得金額750万円以上1,000万円未満の人","172362","1100","172362","1069"
"第13段階","本人が住民税課税で、合計所得金額1,000万円以上2,000万円未満の人","206085","1928","206085","1831"
"第14段階","本人が住民税課税で、合計所得金額2,000万円以上3,000万円未満の人","239808","662","239808","667"
"第15段階","本人が住民税課税で、合計所得金額3,000万円以上の人","273531","1322","273531","1295"
"合計",,,"43858",,"44276"

"令和3年度港区行政資料集　介護保険 所得段階別被保険者数（65歳以上）-1","Ver202103",,,,
