男女・年平均,西暦(年),建設業（千人）,製造業（千人）,情報通信業（千人）,"運輸業,郵便業（千人）","卸売業,小売業（千人）","金融業,保険業（千人）","不動産業,物品賃貸業（千人）","学術研究,専門･技術ｻｰﾋﾞｽ業（千人）","宿泊業,飲食ｻｰﾋﾞｽ業（千人）","生活関連ｻｰﾋﾞｽ業,娯楽業（千人）","教育,学習支援業（千人）","医療,福祉（千人）",ｻｰﾋﾞｽ業（他に分類されないもの）（千人）,その他（左記以外のもの）（千人）
実数／男女計／平成31年・令和元年,2019,457,728,795,355,1292,301,260,542,540,298,408,819,703,564
実数／男女計／令和２年,2020,429,711,830,374,1273,343,305,547,481,273,455,839,711,533
実数／男女計／令和３年,2021,421,685,902,402,1294,354,297,570,480,272,458,883,671,541
実数／男女計／令和４年,2022,430,667,973,383,1302,352,295,587,506,302,420,919,675,520
実数／男女計／令和５年,2023,454,711,972,371,1254,332,300,616,534,297,422,913,703,501
実数／男／平成31年・令和元年,2019,365,509,544,278,644,152,152,340,251,122,169,212,405,330
実数／男／令和２年,2020,346,489,567,284,629,168,172,341,221,125,193,214,419,318
実数／男／令和３年,2021,335,482,616,304,642,170,174,342,214,117,196,223,382,317
実数／男／令和４年,2022,351,469,670,293,648,179,171,346,216,124,181,230,379,301
実数／男／令和５年,2023,365,485,668,277,619,158,167,370,231,123,181,232,405,296
実数／女／平成31年・令和元年,2019,93,220,251,77,648,149,109,202,289,176,239,607,298,234
実数／女／令和２年,2020,83,221,263,91,644,176,133,206,260,148,263,625,292,215
実数／女／令和３年,2021,86,203,286,99,652,183,123,228,266,155,262,660,289,224
実数／女／令和４年,2022,79,198,304,91,654,173,124,241,290,178,238,689,296,219
実数／女／令和５年,2023,89,226,304,94,636,174,132,246,302,174,241,681,298,205
対前年増減数／男女計／令和２年,2020,-28,-17,35,19,-19,42,45,5,-59,-25,47,20,8,-31
対前年増減数／男女計／令和３年,2021,-8,-26,72,28,21,11,-8,23,-1,-1,3,44,-40,8
対前年増減数／男女計／令和４年,2022,9,-18,71,-19,8,-2,-2,17,26,30,-38,36,4,-21
対前年増減数／男女計／令和５年,2023,24,44,-1,-12,-48,-20,5,29,28,-5,2,-6,28,-19
対前年増減数／男／令和２年,2020,-19,-20,23,6,-15,16,20,1,-30,3,24,2,14,-12
対前年増減数／男／令和３年,2021,-11,-7,49,20,13,2,2,1,-7,-8,3,9,-37,-1
対前年増減数／男／令和４年,2022,16,-13,54,-11,6,9,-3,4,2,7,-15,7,-3,-16
対前年増減数／男／令和５年,2023,14,16,-2,-16,-29,-21,-4,24,15,-1,0,2,26,-5
対前年増減数／女／令和２年,2020,-10,1,12,14,-4,27,24,4,-29,-28,24,18,-6,-19
対前年増減数／女／令和３年,2021,3,-18,23,8,8,7,-10,22,6,7,-1,35,-3,9
対前年増減数／女／令和４年,2022,-7,-5,18,-8,2,-10,1,13,24,23,-24,29,7,-5
対前年増減数／女／令和５年,2023,10,28,0,3,-18,1,8,5,12,-4,3,-8,2,-14
,,,,,,,,,,,,,,,
東京の労働力統計データ（令和５年平均）,,,,,,,,,,,,,,,
第４表　主な産業別就業者数,,,,,,,,,,,,,,,
