区分,男女計／実数（千人、％）,男女計／前年同期（千人、％）,男女計／対前年同期／増減数（千人、ポイント）,男女計／対前年同期／増減率（％）,男／実数（千人、％）,男／前年同期（千人、％）,男／対前年同期／増減数（千人、ポイント）,男／対前年同期／増減率（％）,女／実数（千人、％）,女／前年同期（千人、％）,女／対前年同期／増減数（千人、ポイント）,女／対前年同期／増減率（％）
15歳以上人口,12497,12457,40,0.3,6098,6080,18,0.3,6398,6377,21,0.3
〔就業状態〕／労働力人口,8503,8452,51,0.6,4634,4635,-1,0,3869,3817,52,1.4
〔就業状態〕／労働力人口／就業者数,8281,8212,69,0.8,4497,4494,3,0.1,3784,3718,66,1.8
〔就業状態〕／労働力人口／就業者数／自営業主数,586,598,-12,-2,388,390,-2,-0.5,197,208,-11,-5.3
〔就業状態〕／労働力人口／就業者数／家族従業者数,67,86,-19,-22.1,18,27,-9,-33.3,48,59,-11,-18.6
〔就業状態〕／労働力人口／就業者数／雇用者数,7578,7475,103,1.4,4063,4052,11,0.3,3515,3423,92,2.7
〔就業状態〕／労働力人口／就業者数／雇用者数／うち正規の職員・従業員,4569,4579,-10,-0.2,2772,2789,-17,-0.6,1798,1789,9,0.5
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員,2445,2253,192,8.5,871,777,94,12.1,1574,1475,99,6.7
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員／うちパート・アルバイト,1547,1475,72,4.9,438,399,39,9.8,1109,1077,32,3
〔就業状態〕／労働力人口／完全失業者数,222,240,-18,-7.5,136,140,-4,-2.9,85,99,-14,-14.1
〔就業状態〕／非労働力人口,3985,3994,-9,-0.2,1458,1443,15,1,2527,2551,-24,-0.9
〔就業者の活動状況別内訳〕／就業者数（再掲）,8281,8212,69,0.8,4497,4494,3,0.1,3784,3718,66,1.8
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数,8000,7849,151,1.9,4393,4368,25,0.6,3607,3481,126,3.6
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／主に仕事,6844,6778,66,1,4165,4152,13,0.3,2679,2626,53,2
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／通学のかたわらに仕事,298,244,54,22.1,137,108,29,26.9,161,136,25,18.4
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／家事などのかたわらに仕事,857,827,30,3.6,91,108,-17,-15.7,767,719,48,6.7
〔就業者の活動状況別内訳〕／就業者数（再掲）／休業者数,281,364,-83,-22.8,104,126,-22,-17.5,177,237,-60,-25.3
〔就業者の主な産業別内訳〕／建設業,483,476,7,1.5,387,387,0,0,95,90,5,5.6
〔就業者の主な産業別内訳〕／製造業,699,708,-9,-1.3,462,495,-33,-6.7,237,212,25,11.8
〔就業者の主な産業別内訳〕／情報通信業,954,922,32,3.5,644,632,12,1.9,310,290,20,6.9
〔就業者の主な産業別内訳〕／運輸業，郵便業,402,409,-7,-1.7,281,314,-33,-10.5,121,95,26,27.4
〔就業者の主な産業別内訳〕／卸売業，小売業,1233,1340,-107,-8,645,633,12,1.9,588,707,-119,-16.8
〔就業者の主な産業別内訳〕／金融業，保険業,321,295,26,8.8,138,146,-8,-5.5,183,149,34,22.8
〔就業者の主な産業別内訳〕／不動産業，物品賃貸業,311,297,14,4.7,180,184,-4,-2.2,131,112,19,17
〔就業者の主な産業別内訳〕／学術研究，専門・技術サービス業,590,626,-36,-5.8,351,343,8,2.3,240,283,-43,-15.2
