区分,男女計／実数（千人、％）,男女計／前年同期（千人、％）,男女計／対前年同期／増減数（千人、ポイント）,男女計／対前年同期／増減率（％）,男／実数（千人、％）,男／前年同期（千人、％）,男／対前年同期／増減数（千人、ポイント）,男／対前年同期／増減率（％）,女／実数（千人、％）,女／前年同期（千人、％）,女／対前年同期／増減数（千人、ポイント）,女／対前年同期／増減率（％）
15歳以上人口,12573,12453,120,1,6138,6074,64,1.1,6435,6379,56,0.9
〔就業状態〕／労働力人口,8646,8604,42,0.5,4728,4712,16,0.3,3918,3892,26,0.7
〔就業状態〕／労働力人口／就業者数,8418,8365,53,0.6,4612,4577,35,0.8,3807,3787,20,0.5
〔就業状態〕／労働力人口／就業者数／自営業主数,606,607,-1,-0.2,430,409,21,5.1,176,198,-22,-11.1
〔就業状態〕／労働力人口／就業者数／家族従業者数,97,88,9,10.2,19,15,4,26.7,78,73,5,6.8
〔就業状態〕／労働力人口／就業者数／雇用者数,7687,7636,51,0.7,4147,4131,16,0.4,3540,3506,34,1
〔就業状態〕／労働力人口／就業者数／雇用者数／うち正規の職員・従業員,4741,4742,-1,0,2912,2858,54,1.9,1829,1884,-55,-2.9
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員,2372,2361,11,0.5,800,851,-51,-6,1571,1510,61,4
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員／うちパート・アルバイト,1563,1565,-2,-0.1,421,445,-24,-5.4,1141,1120,21,1.9
〔就業状態〕／労働力人口／完全失業者数,228,239,-11,-4.6,116,134,-18,-13.4,111,105,6,5.7
〔就業状態〕／非労働力人口,3917,3841,76,2,1403,1359,44,3.2,2514,2482,32,1.3
〔就業者の活動状況別内訳〕／就業者数（再掲）,8418,8365,53,0.6,4612,4577,35,0.8,3807,3787,20,0.5
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数,8198,8141,57,0.7,4520,4506,14,0.3,3678,3635,43,1.2
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／主に仕事,7002,6979,23,0.3,4272,4262,10,0.2,2730,2718,12,0.4
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／通学のかたわらに仕事,294,289,5,1.7,134,137,-3,-2.2,160,152,8,5.3
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／家事などのかたわらに仕事,901,872,29,3.3,113,107,6,5.6,788,765,23,3
〔就業者の活動状況別内訳〕／就業者数（再掲）／休業者数,220,224,-4,-1.8,92,72,20,27.8,129,152,-23,-15.1
〔就業者の主な産業別内訳〕／建設業,444,405,39,9.6,356,323,33,10.2,88,82,6,7.3
〔就業者の主な産業別内訳〕／製造業,744,649,95,14.6,513,458,55,12,231,190,41,21.6
〔就業者の主な産業別内訳〕／情報通信業,1000,1020,-20,-2,692,716,-24,-3.4,308,305,3,1
〔就業者の主な産業別内訳〕／運輸業，郵便業,374,385,-11,-2.9,278,287,-9,-3.1,96,98,-2,-2
〔就業者の主な産業別内訳〕／卸売業，小売業,1226,1320,-94,-7.1,599,649,-50,-7.7,627,672,-45,-6.7
〔就業者の主な産業別内訳〕／金融業，保険業,324,337,-13,-3.9,167,170,-3,-1.8,157,166,-9,-5.4
〔就業者の主な産業別内訳〕／不動産業，物品賃貸業,328,317,11,3.5,191,196,-5,-2.6,137,121,16,13.2
〔就業者の主な産業別内訳〕／学術研究，専門・技術サービス業,634,589,45,7.6,385,363,22,6.1,249,225,24,10.7
〔就業者の主な産業別内訳〕／宿泊業，飲食サービス業,522,500,22,4.4,200,207,-7,-3.4,321,294,27,9.2
〔就業者の主な産業別内訳〕／生活関連サービス業，娯楽業,303,291,12,4.1,131,123,8,6.5,172,168,4,2.4
〔就業者の主な産業別内訳〕／教育，学習支援業,411,414,-3,-0.7,180,182,-2,-1.1,231,232,-1,-0.4
〔就業者の主な産業別内訳〕／医療，福祉,929,957,-28,-2.9,226,240,-14,-5.8,703,717,-14,-2
〔就業者の主な産業別内訳〕／サービス業（他に分類されないもの）,692,685,7,1,402,386,16,4.1,290,299,-9,-3
〔雇用者の主な産業別内訳〕／建設業,376,350,26,7.4,293,274,19,6.9,83,77,6,7.8
〔雇用者の主な産業別内訳〕／製造業,708,626,82,13.1,488,443,45,10.2,220,183,37,20.2
〔雇用者の主な産業別内訳〕／情報通信業,956,974,-18,-1.8,658,680,-22,-3.2,298,293,5,1.7
〔雇用者の主な産業別内訳〕／運輸業，郵便業,343,359,-16,-4.5,248,262,-14,-5.3,95,97,-2,-2.1
〔雇用者の主な産業別内訳〕／卸売業，小売業,1161,1239,-78,-6.3,562,604,-42,-7,600,635,-35,-5.5
〔雇用者の主な産業別内訳〕／金融業，保険業,323,333,-10,-3,167,169,-2,-1.2,156,165,-9,-5.5
〔雇用者の主な産業別内訳〕／不動産業，物品賃貸業,293,270,23,8.5,172,169,3,1.8,121,101,20,19.8
〔雇用者の主な産業別内訳〕／学術研究，専門・技術サービス業,505,434,71,16.4,298,273,25,9.2,207,161,46,28.6
〔雇用者の主な産業別内訳〕／宿泊業，飲食サービス業,470,461,9,2,172,188,-16,-8.5,298,273,25,9.2
〔雇用者の主な産業別内訳〕／生活関連サービス業，娯楽業,228,232,-4,-1.7,90,94,-4,-4.3,138,138,0,0
〔雇用者の主な産業別内訳〕／教育，学習支援業,370,379,-9,-2.4,168,175,-7,-4,202,204,-2,-1
〔雇用者の主な産業別内訳〕／医療，福祉,884,906,-22,-2.4,203,211,-8,-3.8,681,695,-14,-2
〔雇用者の主な産業別内訳〕／サービス業（他に分類されないもの）,638,642,-4,-0.6,369,356,13,3.7,269,286,-17,-5.9
〔非農林業雇用者の従業者規模別内訳〕／総数,7678,7632,46,0.6,4140,4128,12,0.3,3538,3504,34,1
〔非農林業雇用者の従業者規模別内訳〕／総数／１～29人規模,1717,1692,25,1.5,893,854,39,4.6,824,837,-13,-1.6
〔非農林業雇用者の従業者規模別内訳〕／総数／30～499人規模,2348,2291,57,2.5,1248,1265,-17,-1.3,1101,1027,74,7.2
〔非農林業雇用者の従業者規模別内訳〕／総数／500人以上規模,3063,3129,-66,-2.1,1704,1746,-42,-2.4,1359,1383,-24,-1.7
〔完全失業率（年齢階級別）(%)〕／総数,2.6,2.8,-0.2,…,2.5,2.8,-0.3,…,2.8,2.7,0.1,…
〔完全失業率（年齢階級別）(%)〕／総数／15～24歳,3.1,3.8,-0.7,…,4.1,5.9,-1.8,…,2.2,1.6,0.6,…
〔完全失業率（年齢階級別）(%)〕／総数／25～34歳,3.7,3.6,0.1,…,3,3.8,-0.8,…,4.4,3.4,1,…
〔完全失業率（年齢階級別）(%)〕／総数／35～44歳,2.3,2.3,0,…,2.2,1.6,0.6,…,2.4,3,-0.6,…
〔完全失業率（年齢階級別）(%)〕／総数／45～54歳,2.2,2.7,-0.5,…,2.1,3.2,-1.1,…,2.3,2.1,0.2,…
〔完全失業率（年齢階級別）(%)〕／総数／55～64歳,2.9,2.2,0.7,…,2.6,1.7,0.9,…,3.4,2.9,0.5,…
〔完全失業率（年齢階級別）(%)〕／総数／65歳以上,1.3,2.6,-1.3,…,1.4,2.7,-1.3,…,1.1,2.4,-1.3,…
〔就業率（%）〕／総数,67,67.2,-0.2,…,75.1,75.4,-0.3,…,59.2,59.4,-0.2,…
〔労働力人口比率(%)〕／総数,68.8,69.1,-0.3,…,77,77.6,-0.6,…,60.9,61,-0.1,…
,,,,,,,,,,,,
東京の労働力統計データ（令和５年４～６月期平均）,,,,,,,,,,,,
第１表　就業状態別15歳以上人口、産業別就業者数及び完全失業者数　　,,,,,,,,,,,,
令和５年(2023年)４～６月期平均,,,,,,,,,,,,
注)非農林業雇用者の従業者規模別内訳の総数には官公・従業者規模不詳を含んでいるため、内訳の合計とは一致しない。,,,,,,,,,,,,
