区分,男女計／実数（千人、％）,男女計／前年（千人、％）,男女計／対前年／増減数（千人、ポイント）,男女計／対前年／増減率（％）,男／実数（千人、％）,男／前年（千人、％）,男／対前年／増減数（千人、ポイント）,男／対前年／増減率（％）,女／実数（千人、％）,女／前年（千人、％）,女／対前年／増減数（千人、ポイント）,女／対前年／増減率（％）
15歳以上人口,12558,12462,96,0.8,6131,6080,51,0.8,6427,6382,45,0.7
〔就業状態〕／労働力人口,8593,8558,35,0.4,4697,4689,8,0.2,3896,3869,27,0.7
〔就業状態〕／労働力人口／就業者数,8379,8332,47,0.6,4576,4559,17,0.4,3802,3773,29,0.8
〔就業状態〕／労働力人口／就業者数／自営業主数,617,604,13,2.2,421,406,15,3.7,196,198,-2,-1
〔就業状態〕／労働力人口／就業者数／家族従業者数,85,86,-1,-1.2,17,17,0,0,68,68,0,0
〔就業状態〕／労働力人口／就業者数／雇用者数,7643,7600,43,0.6,4118,4111,7,0.2,3525,3489,36,1
〔就業状態〕／労働力人口／就業者数／雇用者数／うち正規の職員・従業員,4661,4656,5,0.1,2846,2849,-3,-0.1,1814,1806,8,0.4
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員,2428,2394,34,1.4,851,840,11,1.3,1577,1554,23,1.5
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員／うちパート・アルバイト,1606,1580,26,1.6,455,444,11,2.5,1151,1136,15,1.3
〔就業状態〕／労働力人口／完全失業者数,214,226,-12,-5.3,120,130,-10,-7.7,94,96,-2,-2.1
〔就業状態〕／非労働力人口,3956,3895,61,1.6,1429,1387,42,3,2528,2508,20,0.8
〔就業者の活動状況別内訳〕／就業者数（再掲）,8379,8332,47,0.6,4576,4559,17,0.4,3802,3773,29,0.8
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数,8111,8026,85,1.1,4471,4450,21,0.5,3640,3575,65,1.8
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／主に仕事,6935,6875,60,0.9,4225,4208,17,0.4,2710,2667,43,1.6
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／通学のかたわらに仕事,322,294,28,9.5,153,140,13,9.3,168,155,13,8.4
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／家事などのかたわらに仕事,855,856,-1,-0.1,93,103,-10,-9.7,761,753,8,1.1
