年平均,西暦(年),東京都／男女計(％、ポイント）,東京都／男(％、ポイント）,東京都／女(％、ポイント）,南関東／男女計(％、ポイント）,南関東／男(％、ポイント）,南関東／女(％、ポイント）,全国／男女計(％、ポイント）,全国／男(％、ポイント）,全国／女(％、ポイント）
実数／平成25年,2013,4.2,4.3,4,4.1,4.2,3.9,4,4.3,3.7
実数／平成26年,2014,3.8,3.9,3.6,3.5,3.6,3.4,3.6,3.7,3.4
実数／平成27年,2015,3.6,3.8,3.2,3.3,3.5,3.1,3.4,3.6,3.1
実数／平成28年,2016,3.2,3.2,3.3,3.2,3.3,3.1,3.1,3.3,2.8
実数／平成29年,2017,2.9,3,2.7,2.9,3,2.8,2.8,3,2.7
実数／平成30年,2018,2.6,2.7,2.4,2.5,2.6,2.3,2.4,2.6,2.2
実数／平成31年・令和元年,2019,2.3,2.5,2.2,2.3,2.4,2.1,2.4,2.5,2.2
実数／令和２年,2020,3.1,3.3,2.8,3,3.2,2.7,2.8,3,2.5
実数／令和３年,2021,3,3.4,2.5,3,3.3,2.6,2.8,3.1,2.5
実数／令和４年,2022,2.6,2.8,2.5,2.7,2.8,2.5,2.6,2.8,2.4
実数／令和５年,2023,2.5,2.6,2.4,2.7,2.8,2.6,2.6,2.8,2.3
対前年増減数／平成26年,2014,-0.4,-0.4,-0.4,-0.6,-0.6,-0.5,-0.4,-0.6,-0.3
対前年増減数／平成27年,2015,-0.2,-0.1,-0.4,-0.2,-0.1,-0.3,-0.2,-0.1,-0.3
対前年増減数／平成28年,2016,-0.4,-0.6,0.1,-0.1,-0.2,0,-0.3,-0.3,-0.3
対前年増減数／平成29年,2017,-0.3,-0.2,-0.6,-0.3,-0.3,-0.3,-0.3,-0.3,-0.1
対前年増減数／平成30年,2018,-0.3,-0.3,-0.3,-0.4,-0.4,-0.5,-0.4,-0.4,-0.5
対前年増減数／平成31年・令和元年,2019,-0.3,-0.2,-0.2,-0.2,-0.2,-0.2,0,-0.1,0
対前年増減数／令和２年,2020,0.8,0.8,0.6,0.7,0.8,0.6,0.4,0.5,0.3
対前年増減数／令和３年,2021,-0.1,0.1,-0.3,0,0.1,-0.1,0,0.1,0
対前年増減数／令和４年,2022,-0.4,-0.6,0,-0.3,-0.5,-0.1,-0.2,-0.3,-0.1
対前年増減数／令和５年,2023,-0.1,-0.2,-0.1,0,0,0.1,0,0,-0.1
,,,,,,,,,,
東京の労働力統計データ（令和５年平均）,,,,,,,,,,
参考表　東京都、南関東及び全国の完全失業率,,,,,,,,,,
注）南関東：埼玉県、千葉県、東京都、神奈川県,,,,,,,,,,
