年・期平均,西暦(年),四半期,建設業（千人）,製造業（千人）,情報通信業（千人）,"運輸業,郵便業（千人）","卸売業,小売業（千人）","金融業,保険業（千人）","不動産業,物品賃貸業（千人）","学術研究,専門･技術ｻｰﾋﾞｽ業（千人）","宿泊業,飲食ｻｰﾋﾞｽ業（千人）","生活関連ｻｰﾋﾞｽ業,娯楽業（千人）","教育,学習支援業（千人）","医療,福祉（千人）",ｻｰﾋﾞｽ業（他に分類されないもの）（千人）
実数／男女計／令和２年,2020,,429,711,830,374,1273,343,305,547,481,273,455,839,711
実数／男女計／令和３年,2021,,421,685,902,402,1294,354,297,570,480,272,458,883,671
実数／男女計／令和４年,2022,,430,667,973,383,1302,352,295,587,506,302,420,919,675
実数／男女計／令和３年４～６月,2021,04～06,430,666,878,346,1281,360,267,533,432,264,466,905,697
実数／男女計／令和３年７～９月,2021,07～09,387,696,893,385,1281,380,306,611,483,231,478,874,678
実数／男女計／令和３年10～12月,2021,10～12,423,678,965,457,1285,375,326,585,531,276,438,865,702
実数／男女計／令和４年１～３月,2022,01～03,476,708,922,409,1340,295,297,626,474,328,373,883,603
実数／男女計／令和４年４～６月,2022,04～06,405,649,1020,385,1320,337,317,589,500,291,414,957,685
実数／男女計／令和４年７～９月,2022,07～09,430,663,999,338,1274,379,309,569,526,277,460,886,686
実数／男女計／令和４年10～12月,2022,10～12,409,649,952,402,1271,397,258,565,524,310,431,949,726
実数／男女計／令和５年１～３月,2023,01～03,483,699,954,402,1233,321,311,590,510,301,411,906,671
実数／男女計／令和５年４～６月,2023,04～06,444,744,1000,374,1226,324,328,634,522,303,411,929,692
実数／男女計／令和５年７～９月,2023,07～09,446,709,922,359,1258,334,283,604,583,292,432,922,743
実数／男／令和２年,2020,,346,489,567,284,629,168,172,341,221,125,193,214,419
実数／男／令和３年,2021,,335,482,616,304,642,170,174,342,214,117,196,223,382
実数／男／令和４年,2022,,351,469,670,293,648,179,171,346,216,124,181,230,379
実数／男／令和３年４～６月,2021,04～06,335,474,603,262,648,176,154,325,193,126,175,234,390
実数／男／令和３年７～９月,2021,07～09,314,489,621,293,645,173,172,361,202,100,214,208,376
実数／男／令和３年10～12月,2021,10～12,340,478,648,354,640,177,187,352,243,109,190,199,413
実数／男／令和４年１～３月,2022,01～03,387,495,632,314,633,146,184,343,205,131,161,227,343
実数／男／令和４年４～６月,2022,04～06,323,458,716,287,649,170,196,363,207,123,182,240,386
実数／男／令和４年７～９月,2022,07～09,346,478,665,252,672,179,165,344,221,120,199,218,402
実数／男／令和４年10～12月,2022,10～12,347,446,666,317,637,219,140,335,231,123,183,234,387
実数／男／令和５年１～３月,2023,01～03,387,462,644,281,645,138,180,351,231,140,171,216,366
実数／男／令和５年４～６月,2023,04～06,356,513,692,278,599,167,191,385,200,131,180,226,402
実数／男／令和５年７～９月,2023,07～09,358,477,643,272,627,152,151,366,273,109,179,249,426
実数／女／令和２年,2020,,83,221,263,91,644,176,133,206,260,148,263,625,292
実数／女／令和３年,2021,,86,203,286,99,652,183,123,228,266,155,262,660,289
実数／女／令和４年,2022,,79,198,304,91,654,173,124,241,290,178,238,689,296
実数／女／令和３年４～６月,2021,04～06,96,192,275,85,633,183,114,208,239,138,291,672,307
実数／女／令和３年７～９月,2021,07～09,73,207,272,93,636,207,134,250,281,132,264,666,302
実数／女／令和３年10～12月,2021,10～12,83,201,317,103,645,198,139,233,289,166,248,666,289
実数／女／令和４年１～３月,2022,01～03,90,212,290,95,707,149,112,283,268,198,212,656,260
実数／女／令和４年４～６月,2022,04～06,82,190,305,98,672,166,121,225,294,168,232,717,299
実数／女／令和４年７～９月,2022,07～09,84,185,334,86,602,201,143,226,305,158,261,669,284
実数／女／令和４年10～12月,2022,10～12,62,203,286,85,635,178,118,229,292,187,248,715,339
実数／女／令和５年１～３月,2023,01～03,95,237,310,121,588,183,131,240,279,161,241,690,306
実数／女／令和５年４～６月,2023,04～06,88,231,308,96,627,157,137,249,321,172,231,703,290
実数／女／令和５年７～９月,2023,07～09,89,232,280,87,631,182,132,238,310,183,253,673,317
対前年・対前年同期増減数／男女計／令和２年,2020,,-28,-17,35,19,-19,42,45,5,-59,-25,47,20,8
対前年・対前年同期増減数／男女計／令和３年,2021,,-8,-26,72,28,21,11,-8,23,-1,-1,3,44,-40
対前年・対前年同期増減数／男女計／令和４年,2022,,9,-18,71,-19,8,-2,-2,17,26,30,-38,36,4
対前年・対前年同期増減数／男女計／令和３年４～６月,2021,04～06,10,-42,105,-25,-8,-32,-19,-44,11,27,-22,57,-57
対前年・対前年同期増減数／男女計／令和３年７～９月,2021,07～09,-34,-6,39,23,57,11,-17,92,-7,-33,8,76,-19
対前年・対前年同期増減数／男女計／令和３年10～12月,2021,10～12,-40,-80,93,87,-25,34,12,12,11,-11,-19,37,0
対前年・対前年同期増減数／男女計／令和４年１～３月,2022,01～03,32,7,51,-12,12,-5,8,77,1,10,-78,-4,-3
対前年・対前年同期増減数／男女計／令和４年４～６月,2022,04～06,-25,-17,142,39,39,-23,50,56,68,27,-52,52,-12
対前年・対前年同期増減数／男女計／令和４年７～９月,2022,07～09,43,-33,106,-47,-7,-1,3,-42,43,46,-18,12,8
対前年・対前年同期増減数／男女計／令和４年10～12月,2022,10～12,-14,-29,-13,-55,-14,22,-68,-20,-7,34,-7,84,24
対前年・対前年同期増減数／男女計／令和５年１～３月,2023,01～03,7,-9,32,-7,-107,26,14,-36,36,-27,38,23,68
対前年・対前年同期増減数／男女計／令和５年４～６月,2023,04～06,39,95,-20,-11,-94,-13,11,45,22,12,-3,-28,7
対前年・対前年同期増減数／男女計／令和５年７～９月,2023,07～09,16,46,-77,21,-16,-45,-26,35,57,15,-28,36,57
対前年・対前年同期増減数／男／令和２年,2020,,-19,-20,23,6,-15,16,20,1,-30,3,24,2,14
対前年・対前年同期増減数／男／令和３年,2021,,-11,-7,49,20,13,2,2,1,-7,-8,3,9,-37
対前年・対前年同期増減数／男／令和４年,2022,,16,-13,54,-11,6,9,-3,4,2,7,-15,7,-3
対前年・対前年同期増減数／男／令和３年４～６月,2021,04～06,2,-16,91,-27,10,-21,6,-30,-2,0,-19,22,-63
対前年・対前年同期増減数／男／令和３年７～９月,2021,07～09,-34,-8,22,22,27,-3,-12,35,-16,-24,22,13,-41
対前年・対前年同期増減数／男／令和３年10～12月,2021,10～12,-41,-32,57,71,5,11,9,-11,3,-24,1,-13,19
対前年・対前年同期増減数／男／令和４年１～３月,2022,01～03,36,9,40,7,-2,-9,2,13,-11,-3,-44,-23,-6
対前年・対前年同期増減数／男／令和４年４～６月,2022,04～06,-12,-16,113,25,1,-6,42,38,14,-3,7,6,-4
対前年・対前年同期増減数／男／令和４年７～９月,2022,07～09,32,-11,44,-41,27,6,-7,-17,19,20,-15,10,26
対前年・対前年同期増減数／男／令和４年10～12月,2022,10～12,7,-32,18,-37,-3,42,-47,-17,-12,14,-7,35,-26
対前年・対前年同期増減数／男／令和５年１～３月,2023,01～03,0,-33,12,-33,12,-8,-4,8,26,9,10,-11,23
対前年・対前年同期増減数／男／令和５年４～６月,2023,04～06,33,55,-24,-9,-50,-3,-5,22,-7,8,-2,-14,16
対前年・対前年同期増減数／男／令和５年７～９月,2023,07～09,12,-1,-22,20,-45,-27,-14,22,52,-11,-20,31,24
対前年・対前年同期増減数／女／令和２年,2020,,-10,1,12,14,-4,27,24,4,-29,-28,24,18,-6
対前年・対前年同期増減数／女／令和３年,2021,,3,-18,23,8,8,7,-10,22,6,7,-1,35,-3
対前年・対前年同期増減数／女／令和４年,2022,,-7,-5,18,-8,2,-10,1,13,24,23,-24,29,7
対前年・対前年同期増減数／女／令和３年４～６月,2021,04～06,9,-26,14,4,-18,-12,-24,-14,12,26,-3,37,7
対前年・対前年同期増減数／女／令和３年７～９月,2021,07～09,-1,2,17,2,30,14,-6,58,10,-8,-14,63,22
対前年・対前年同期増減数／女／令和３年10～12月,2021,10～12,1,-47,36,15,-29,24,4,22,9,13,-20,50,-19
対前年・対前年同期増減数／女／令和４年１～３月,2022,01～03,-3,-2,11,-19,15,4,5,64,11,14,-34,19,3
対前年・対前年同期増減数／女／令和４年４～６月,2022,04～06,-14,-2,30,13,39,-17,7,17,55,30,-59,45,-8
対前年・対前年同期増減数／女／令和４年７～９月,2022,07～09,11,-22,62,-7,-34,-6,9,-24,24,26,-3,3,-18
対前年・対前年同期増減数／女／令和４年10～12月,2022,10～12,-21,2,-31,-18,-10,-20,-21,-4,3,21,0,49,50
対前年・対前年同期増減数／女／令和５年１～３月,2023,01～03,5,25,20,26,-119,34,19,-43,11,-37,29,34,46
対前年・対前年同期増減数／女／令和５年４～６月,2023,04～06,6,41,3,-2,-45,-9,16,24,27,4,-1,-14,-9
対前年・対前年同期増減数／女／令和５年７～９月,2023,07～09,5,47,-54,1,29,-19,-11,12,5,25,-8,4,33
,,,,,,,,,,,,,,,
東京の労働力統計データ（令和５年７～９月期平均）,,,,,,,,,,,,,,,
第４表　主な産業別就業者数  ,,,,,,,,,,,,,,,
