年・期平均,建設業（千人）,製造業（千人）,情報通信業（千人）,"運輸業,郵便業（千人）","卸売業,小売業（千人）","金融業,保険業（千人）","不動産業,物品賃貸業（千人）","学術研究,専門･技術ｻｰﾋﾞｽ業（千人）","宿泊業,飲食ｻｰﾋﾞｽ業（千人）","生活関連ｻｰﾋﾞｽ業,娯楽業（千人）","教育,学習支援業（千人）","医療,福祉（千人）",ｻｰﾋﾞｽ業（他に分類されないもの）（千人）
実数／男女計／令和２年(2020年),429,711,830,374,1273,343,305,547,481,273,455,839,711
実数／男女計／令和３年(2021年),421,685,902,402,1294,354,297,570,480,272,458,883,671
実数／男女計／令和４年(2022年),430,667,973,383,1302,352,295,587,506,302,420,919,675
実数／男女計／令和２年(2020年)10～12月,463,758,872,370,1310,341,314,573,520,287,457,828,702
実数／男女計／令和３年(2021年)１～３月,444,701,871,421,1328,300,289,549,473,318,451,887,606
実数／男女計／令和３年(2021年)４～６月,430,666,878,346,1281,360,267,533,432,264,466,905,697
実数／男女計／令和３年(2021年)７～９月,387,696,893,385,1281,380,306,611,483,231,478,874,678
実数／男女計／令和３年(2021年)10～12月,423,678,965,457,1285,375,326,585,531,276,438,865,702
実数／男女計／令和４年(2022年)１～３月,476,708,922,409,1340,295,297,626,474,328,373,883,603
実数／男女計／令和４年(2022年)４～６月,405,649,1020,385,1320,337,317,589,500,291,414,957,685
実数／男女計／令和４年(2022年)７～９月,430,663,999,338,1274,379,309,569,526,277,460,886,686
実数／男女計／令和４年(2022年)10～12月,409,649,952,402,1271,397,258,565,524,310,431,949,726
実数／男女計／令和５年(2023年)１～３月,483,699,954,402,1233,321,311,590,510,301,411,906,671
実数／男／令和２年(2020年),346,489,567,284,629,168,172,341,221,125,193,214,419
実数／男／令和３年(2021年),335,482,616,304,642,170,174,342,214,117,196,223,382
実数／男／令和４年(2022年),351,469,670,293,648,179,171,346,216,124,181,230,379
実数／男／令和２年(2020年)10～12月,381,510,591,283,635,166,178,363,240,133,189,212,394
実数／男／令和３年(2021年)１～３月,351,486,592,307,635,155,182,330,216,134,205,250,349
実数／男／令和３年(2021年)４～６月,335,474,603,262,648,176,154,325,193,126,175,234,390
実数／男／令和３年(2021年)７～９月,314,489,621,293,645,173,172,361,202,100,214,208,376
実数／男／令和３年(2021年)10～12月,340,478,648,354,640,177,187,352,243,109,190,199,413
実数／男／令和４年(2022年)１～３月,387,495,632,314,633,146,184,343,205,131,161,227,343
実数／男／令和４年(2022年)４～６月,323,458,716,287,649,170,196,363,207,123,182,240,386
実数／男／令和４年(2022年)７～９月,346,478,665,252,672,179,165,344,221,120,199,218,402
実数／男／令和４年(2022年)10～12月,347,446,666,317,637,219,140,335,231,123,183,234,387
実数／男／令和５年(2023年)１～３月,387,462,644,281,645,138,180,351,231,140,171,216,366
実数／女／令和２年(2020年),83,221,263,91,644,176,133,206,260,148,263,625,292
実数／女／令和３年(2021年),86,203,286,99,652,183,123,228,266,155,262,660,289
実数／女／令和４年(2022年),79,198,304,91,654,173,124,241,290,178,238,689,296
実数／女／令和２年(2020年)10～12月,82,248,281,88,674,174,135,211,280,153,268,616,308
実数／女／令和３年(2021年)１～３月,93,214,279,114,692,145,107,219,257,184,246,637,257
実数／女／令和３年(2021年)４～６月,96,192,275,85,633,183,114,208,239,138,291,672,307
実数／女／令和３年(2021年)７～９月,73,207,272,93,636,207,134,250,281,132,264,666,302
実数／女／令和３年(2021年)10～12月,83,201,317,103,645,198,139,233,289,166,248,666,289
実数／女／令和４年(2022年)１～３月,90,212,290,95,707,149,112,283,268,198,212,656,260
実数／女／令和４年(2022年)４～６月,82,190,305,98,672,166,121,225,294,168,232,717,299
実数／女／令和４年(2022年)７～９月,84,185,334,86,602,201,143,226,305,158,261,669,284
実数／女／令和４年(2022年)10～12月,62,203,286,85,635,178,118,229,292,187,248,715,339
実数／女／令和５年(2023年)１～３月,95,237,310,121,588,183,131,240,279,161,241,690,306
対前年・対前年同期増減数／男女計／令和２年(2020年),-28,-17,35,19,-19,42,45,5,-59,-25,47,20,8
対前年・対前年同期増減数／男女計／令和３年(2021年),-8,-26,72,28,21,11,-8,23,-1,-1,3,44,-40
