年平均,西暦(年),男女計／１～29人（千人）,男女計／30～499人（千人）,男女計／500人以上（千人）,男／１～29人（千人）,男／30～499人（千人）,男／500人以上（千人）,女／１～29人（千人）,女／30～499人（千人）,女／500人以上（千人）
実数／平成25年,2013,1717,2001,2167,967,1121,1296,750,881,872
実数／平成26年,2014,1726,2022,2296,959,1131,1370,767,891,926
実数／平成27年,2015,1717,2062,2379,961,1131,1405,756,931,974
実数／平成28年,2016,1704,2108,2474,953,1144,1444,750,964,1030
実数／平成29年,2017,1720,2111,2573,949,1139,1498,772,972,1075
実数／平成30年,2018,1737,2164,2699,960,1163,1532,777,1001,1167
実数／平成31年・令和元年,2019,1744,2201,2767,929,1197,1553,815,1004,1214
実数／令和２年,2020,1681,2234,2836,909,1195,1594,772,1039,1242
実数／令和３年,2021,1681,2256,2954,884,1208,1657,797,1048,1296
実数／令和４年,2022,1723,2246,3054,893,1213,1702,830,1032,1352
実数／令和５年,2023,1717,2316,3025,895,1237,1680,821,1078,1345
対前年増減数／平成26年,2014,9,21,129,-8,10,74,17,10,54
対前年増減数／平成27年,2015,-9,40,83,2,0,35,-11,40,48
対前年増減数／平成28年,2016,-13,46,95,-8,13,39,-6,33,56
対前年増減数／平成29年,2017,16,3,99,-4,-5,54,22,8,45
対前年増減数／平成30年,2018,17,53,126,11,24,34,5,29,92
対前年増減数／平成31年・令和元年,2019,7,37,68,-31,34,21,38,3,47
対前年増減数／令和２年,2020,-63,33,69,-20,-2,41,-43,35,28
対前年増減数／令和３年,2021,0,22,118,-25,13,63,25,9,54
対前年増減数／令和４年,2022,42,-10,100,9,5,45,33,-16,56
対前年増減数／令和５年,2023,-6,70,-29,2,24,-22,-9,46,-7
,,,,,,,,,,
東京の労働力統計データ（令和５年平均）,,,,,,,,,,
第7表　企業の従業者規模別非農林業雇用者数,,,,,,,,,,
