男女・年平均,西暦(年),専門的・技術的職業従事者（千人）,事務従事者（千人）,販売従事者（千人）,サービス職業従事者（千人）,生産工程従事者（千人）,運搬・清掃・包装等従事者（千人）,その他（左記以外のもの）（千人）
実数／男女計／令和３年,2021,2058,2261,1169,896,469,457,920
実数／男女計／令和４年,2022,2099,2326,1150,946,466,442,902
実数／男女計／令和５年,2023,2137,2288,1137,956,495,463,903
実数／男／令和３年,2021,1188,920,695,331,318,280,780
実数／男／令和４年,2022,1236,952,685,343,306,264,773
実数／男／令和５年,2023,1250,931,674,357,317,277,769
実数／女／令和３年,2021,870,1340,474,566,151,177,140
実数／女／令和４年,2022,863,1374,466,604,160,177,130
実数／女／令和５年,2023,886,1357,463,599,178,187,132
対前年増減数／男女計／令和４年,2022,41,65,-19,50,-3,-15,-18
対前年増減数／男女計／令和５年,2023,38,-38,-13,10,29,21,1
対前年増減数／男／令和４年,2022,48,32,-10,12,-12,-16,-7
対前年増減数／男／令和５年,2023,14,-21,-11,14,11,13,-4
対前年増減数／女／令和４年,2022,-7,34,-8,38,9,0,-10
対前年増減数／女／令和５年,2023,23,-17,-3,-5,18,10,2
,,,,,,,,
東京の労働力統計データ（令和５年平均）,,,,,,,,
第 ６ 表　主な職業別就業者数,,,,,,,,
注)日本標準職業分類（平成21年12月改定）に基づく職業別で、結果表章を行っている。その他（左記以外のもの）には、「管理的職業従事者」、「保安職業従事者」、「農林漁業従事者」、「輸送・機械運転従事者」、「建設・採掘従事者」及び「分類不能の職業」が含まれている。,,,,,,,,
