区分・年平均,西暦(年),実数／総数（千人、％）,実数／15～24歳（千人、％）,実数／25～34歳（千人、％）,実数／35～44歳（千人、％）,実数／45～54歳（千人、％）,実数／55～64歳（千人、％）,実数／65歳以上（千人、％）,対前年増減数／総数（千人、ポイント）,対前年増減数／15～24歳（千人、ポイント）,対前年増減数／25～34歳（千人、ポイント）,対前年増減数／35～44歳（千人、ポイント）,対前年増減数／45～54歳（千人、ポイント）,対前年増減数／55～64歳（千人、ポイント）,対前年増減数／65歳以上（千人、ポイント）,対前年増減率／総数（％）,対前年増減率／15～24歳（％）,対前年増減率／25～34歳（％）,対前年増減率／35～44歳（％）,対前年増減率／45～54歳（％）,対前年増減率／55～64歳（％）,対前年増減率／65歳以上（％）
15歳以上人口／平成25年,2013,5989,636,944,1106,881,773,1648,27,-8,-10,-5,34,-38,53,0.5,-1.2,-1,-0.5,4,-4.7,3.3
15歳以上人口／平成26年,2014,6026,630,937,1100,916,744,1699,37,-6,-7,-6,35,-29,51,0.6,-0.9,-0.7,-0.5,4,-3.8,3.1
15歳以上人口／平成27年,2015,6072,627,933,1093,951,727,1741,46,-3,-4,-7,35,-17,42,0.8,-0.5,-0.4,-0.6,3.8,-2.3,2.5
15歳以上人口／平成28年,2016,6144,672,921,1082,985,719,1766,72,45,-12,-11,34,-8,25,1.2,7.2,-1.3,-1,3.6,-1.1,1.4
15歳以上人口／平成29年,2017,6197,685,919,1063,1021,720,1789,53,13,-2,-19,36,1,23,0.9,1.9,-0.2,-1.8,3.7,0.1,1.3
15歳以上人口／平成30年,2018,6250,699,919,1042,1055,730,1805,53,14,0,-21,34,10,16,0.9,2,0,-2,3.3,1.4,0.9
15歳以上人口／平成31年・令和元年,2019,6303,705,927,1024,1082,748,1817,53,6,8,-18,27,18,12,0.8,0.9,0.9,-1.7,2.6,2.5,0.7
15歳以上人口／令和２年,2020,6342,695,942,1008,1096,773,1829,39,-10,15,-16,14,25,12,0.6,-1.4,1.6,-1.6,1.3,3.3,0.7
15歳以上人口／令和３年,2021,6387,694,963,1000,1120,792,1818,45,-1,21,-8,24,19,-11,0.7,-0.1,2.2,-0.8,2.2,2.5,-0.6
15歳以上人口／令和４年,2022,6382,682,959,980,1122,819,1820,-5,-12,-4,-20,2,27,2,-0.1,-1.7,-0.4,-2,0.2,3.4,0.1
15歳以上人口／令和５年,2023,6427,693,976,965,1119,854,1820,45,11,17,-15,-3,35,0,0.7,1.6,1.8,-1.5,-0.3,4.3,0
労働力人口／平成25年,2013,3160,296,730,775,639,441,278,82,8,8,25,39,-15,15,2.7,2.8,1.1,3.3,6.5,-3.3,5.7
労働力人口／平成26年,2014,3247,292,747,794,676,434,303,87,-4,17,19,37,-7,25,2.8,-1.4,2.3,2.5,5.8,-1.6,9
労働力人口／平成27年,2015,3274,286,734,791,720,438,306,27,-6,-13,-3,44,4,3,0.8,-2.1,-1.7,-0.4,6.5,0.9,1
労働力人口／平成28年,2016,3338,327,752,777,753,444,286,64,41,18,-14,33,6,-20,2,14.3,2.5,-1.8,4.6,1.4,-6.5
労働力人口／平成29年,2017,3442,339,758,780,784,464,316,104,12,6,3,31,20,30,3.1,3.7,0.8,0.4,4.1,4.5,10.5
労働力人口／平成30年,2018,3591,374,765,792,823,485,351,149,35,7,12,39,21,35,4.3,10.3,0.9,1.5,5,4.5,11.1
労働力人口／平成31年・令和元年,2019,3670,389,773,797,869,501,342,79,15,8,5,46,16,-9,2.2,4,1,0.6,5.6,3.3,-2.6
労働力人口／令和２年,2020,3724,386,806,782,874,527,350,54,-3,33,-15,5,26,8,1.5,-0.8,4.3,-1.9,0.6,5.2,2.3
労働力人口／令和３年,2021,3813,388,837,797,876,544,371,89,2,31,15,2,17,21,2.4,0.5,3.8,1.9,0.2,3.2,6
労働力人口／令和４年,2022,3869,378,852,787,898,580,374,56,-10,15,-10,22,36,3,1.5,-2.6,1.8,-1.3,2.5,6.6,0.8
労働力人口／令和５年,2023,3896,380,865,777,900,609,365,27,2,13,-10,2,29,-9,0.7,0.5,1.5,-1.3,0.2,5,-2.4
就業者数／平成25年,2013,3033,281,698,744,614,425,272,93,13,9,28,41,-12,14,3.2,4.9,1.3,3.9,7.2,-2.7,5.4
就業者数／平成26年,2014,3129,278,717,764,652,422,296,96,-3,19,20,38,-3,24,3.2,-1.1,2.7,2.7,6.2,-0.7,8.8
就業者数／平成27年,2015,3168,274,707,765,695,427,301,39,-4,-10,1,43,5,5,1.2,-1.4,-1.4,0.1,6.6,1.2,1.7
就業者数／平成28年,2016,3229,312,727,751,728,430,280,61,38,20,-14,33,3,-21,1.9,13.9,2.8,-1.8,4.7,0.7,-7
就業者数／平成29年,2017,3349,326,736,756,767,454,310,120,14,9,5,39,24,30,3.7,4.5,1.2,0.7,5.4,5.6,10.7
就業者数／平成30年,2018,3504,364,739,776,805,474,347,155,38,3,20,38,20,37,4.6,11.7,0.4,2.6,5,4.4,11.9
就業者数／平成31年・令和元年,2019,3590,375,751,781,852,494,338,86,11,12,5,47,20,-9,2.5,3,1.6,0.6,5.8,4.2,-2.6
就業者数／令和２年,2020,3619,373,776,765,849,513,344,29,-2,25,-16,-3,19,6,0.8,-0.5,3.3,-2,-0.4,3.8,1.8
就業者数／令和３年,2021,3718,376,816,780,856,526,364,99,3,40,15,7,13,20,2.7,0.8,5.2,2,0.8,2.5,5.8
就業者数／令和４年,2022,3773,368,824,767,881,565,368,55,-8,8,-13,25,39,4,1.5,-2.1,1,-1.7,2.9,7.4,1.1
就業者数／令和５年,2023,3802,370,833,761,886,593,359,29,2,9,-6,5,28,-9,0.8,0.5,1.1,-0.8,0.6,5,-2.4
完全失業者数／平成25年,2013,127,15,32,32,25,16,6,-11,-5,-1,-2,-2,-2,1,-8,-25,-3,-5.9,-7.4,-11.1,20
完全失業者数／平成26年,2014,117,14,30,30,24,12,7,-10,-1,-2,-2,-1,-4,1,-7.9,-6.7,-6.3,-6.3,-4,-25,16.7
完全失業者数／平成27年,2015,106,12,27,26,25,11,4,-11,-2,-3,-4,1,-1,-3,-9.4,-14.3,-10,-13.3,4.2,-8.3,-42.9
完全失業者数／平成28年,2016,110,15,25,26,24,14,6,4,3,-2,0,-1,3,2,3.8,25,-7.4,0,-4,27.3,50
完全失業者数／平成29年,2017,92,13,22,23,17,10,6,-18,-2,-3,-3,-7,-4,0,-16.4,-13.3,-12,-11.5,-29.2,-28.6,0
完全失業者数／平成30年,2018,87,11,26,16,19,11,5,-5,-2,4,-7,2,1,-1,-5.4,-15.4,18.2,-30.4,11.8,10,-16.7
完全失業者数／平成31年・令和元年,2019,80,14,21,16,17,7,5,-7,3,-5,0,-2,-4,0,-8,27.3,-19.2,0,-10.5,-36.4,0
完全失業者数／令和２年,2020,105,14,30,17,25,14,5,25,0,9,1,8,7,0,31.3,0,42.9,6.3,47.1,100,0
完全失業者数／令和３年,2021,96,12,21,17,21,18,7,-9,-2,-9,0,-4,4,2,-8.6,-14.3,-30,0,-16,28.6,40
完全失業者数／令和４年,2022,96,9,28,20,17,15,6,0,-3,7,3,-4,-3,-1,0,-25,33.3,17.6,-19,-16.7,-14.3
完全失業者数／令和５年,2023,94,11,31,16,14,16,5,-2,2,3,-4,-3,1,-1,-2.1,22.2,10.7,-20,-17.6,6.7,-16.7
非労働力人口／平成25年,2013,2826,340,213,329,242,332,1370,-57,-16,-20,-32,-5,-23,38,-2,-4.5,-8.6,-8.9,-2,-6.5,2.9
非労働力人口／平成26年,2014,2776,337,189,305,239,310,1395,-50,-3,-24,-24,-3,-22,25,-1.8,-0.9,-11.3,-7.3,-1.2,-6.6,1.8
非労働力人口／平成27年,2015,2796,341,199,301,231,288,1435,20,4,10,-4,-8,-22,40,0.7,1.2,5.3,-1.3,-3.3,-7.1,2.9
非労働力人口／平成28年,2016,2804,345,168,305,231,275,1480,8,4,-31,4,0,-13,45,0.3,1.2,-15.6,1.3,0,-4.5,3.1
非労働力人口／平成29年,2017,2750,346,160,282,236,255,1472,-54,1,-8,-23,5,-20,-8,-1.9,0.3,-4.8,-7.5,2.2,-7.3,-0.5
