区分・年平均,西暦(年),実数／総数／（千人、％）,実数／15～24歳／（千人、％）,実数／25～34歳／（千人、％）,実数／35～44歳／（千人、％）,実数／45～54歳／（千人、％）,実数／55～64歳／（千人、％）,実数／65歳以上／（千人、％）,対前年増減数／総数／（千人、ポイント）,対前年増減数／15～24歳／（千人、ポイント）,対前年増減数／25～34歳／（千人、ポイント）,対前年増減数／35～44歳／（千人、ポイント）,対前年増減数／45～54歳／（千人、ポイント）,対前年増減数／55～64歳／（千人、ポイント）,対前年増減数／65歳以上／（千人、ポイント）,対前年増減率／総数／（％）,対前年増減率／15～24歳／（％）,対前年増減率／25～34歳／（％）,対前年増減率／35～44歳／（％）,対前年増減率／45～54歳／（％）,対前年増減率／55～64歳／（％）,対前年増減率／65歳以上／（％）
15歳以上人口／平成25年,2013,5787,661,995,1160,938,789,1245,19,-9,-13,-7,35,-35,49,0.3,-1.3,-1.3,-0.6,3.9,-4.2,4.1
15歳以上人口／平成26年,2014,5815,654,987,1150,971,763,1290,28,-7,-8,-10,33,-26,45,0.5,-1.1,-0.8,-0.9,3.5,-3.3,3.6
15歳以上人口／平成27年,2015,5853,650,983,1139,1005,748,1329,38,-4,-4,-11,34,-15,39,0.7,-0.6,-0.4,-1,3.5,-2,3
15歳以上人口／平成28年,2016,5920,700,959,1129,1043,744,1345,67,50,-24,-10,38,-4,16,1.1,7.7,-2.4,-0.9,3.8,-0.5,1.2
15歳以上人口／平成29年,2017,5962,711,955,1109,1074,748,1365,42,11,-4,-20,31,4,20,0.7,1.6,-0.4,-1.8,3,0.5,1.5
15歳以上人口／平成30年,2018,6000,720,953,1087,1102,760,1378,38,9,-2,-22,28,12,13,0.6,1.3,-0.2,-2,2.6,1.6,1
15歳以上人口／平成31年・令和元年,2019,6040,718,962,1067,1124,781,1388,40,-2,9,-20,22,21,10,0.7,-0.3,0.9,-1.8,2,2.8,0.7
15歳以上人口／令和２年,2020,6067,705,978,1048,1132,808,1396,27,-13,16,-19,8,27,8,0.4,-1.8,1.7,-1.8,0.7,3.5,0.6
15歳以上人口／令和３年,2021,6089,700,981,1039,1154,832,1384,22,-5,3,-9,22,24,-12,0.4,-0.7,0.3,-0.9,1.9,3,-0.9
15歳以上人口／令和４年,2022,6080,690,976,1015,1153,862,1384,-9,-10,-5,-24,-1,30,0,-0.1,-1.4,-0.5,-2.3,-0.1,3.6,0
15歳以上人口／令和５年,2023,6131,708,998,999,1146,897,1384,51,18,22,-16,-7,35,0,0.8,2.6,2.3,-1.6,-0.6,4.1,0
労働力人口／平成25年,2013,4315,262,917,1121,902,666,447,-13,4,-25,-11,31,-36,24,-0.3,1.6,-2.7,-1,3.6,-5.1,5.7
労働力人口／平成26年,2014,4353,265,924,1107,930,651,475,38,3,7,-14,28,-15,28,0.9,1.1,0.8,-1.2,3.1,-2.3,6.3
労働力人口／平成27年,2015,4401,277,921,1098,967,660,479,48,12,-3,-9,37,9,4,1.1,4.5,-0.3,-0.8,4,1.4,0.8
