男女・年平均,西暦(年),正規／総数（千人）,正規／15～24歳（千人）,正規／25～34歳（千人）,正規／35～44歳（千人）,正規／45～54歳（千人）,正規／55～64歳（千人）,正規／65歳以上（千人）,非正規／総数（千人）,非正規／15～24歳（千人）,非正規／25～34歳（千人）,非正規／35～44歳（千人）,非正規／45～54歳（千人）,非正規／55～64歳（千人）,非正規／65歳以上（千人）
実数／男女計／平成31年・令和元年,2019,4397,298,1221,1170,1103,500,106,2417,410,323,406,493,405,380
実数／男女計／令和２年,2020,4513,292,1268,1175,1116,536,127,2352,394,306,363,504,404,380
実数／男女計／令和３年,2021,4625,306,1314,1188,1119,573,125,2340,374,294,361,503,409,400
実数／男女計／令和４年,2022,4656,278,1320,1165,1166,608,117,2394,381,294,352,505,444,418
実数／男女計／令和５年,2023,4661,282,1321,1140,1172,626,120,2428,406,309,347,488,468,409
実数／男／平成31年・令和元年,2019,2784,145,694,766,750,360,68,839,194,130,99,89,134,193
実数／男／令和２年,2020,2817,130,705,752,766,383,81,817,190,122,91,93,128,192
実数／男／令和３年,2021,2850,139,710,746,773,403,79,795,172,117,93,84,134,196
実数／男／令和４年,2022,2849,125,709,733,789,422,71,840,172,125,91,93,148,211
実数／男／令和５年,2023,2846,135,709,719,781,428,73,851,189,128,83,81,155,213
実数／女／平成31年・令和元年,2019,1614,153,527,404,352,140,38,1579,216,193,307,404,271,187
実数／女／令和２年,2020,1697,162,563,423,350,152,46,1535,203,184,272,411,275,189
実数／女／令和３年,2021,1775,167,604,442,347,169,46,1544,201,176,268,419,275,204
実数／女／令和４年,2022,1806,153,612,432,377,186,46,1554,209,169,261,412,296,207
実数／女／令和５年,2023,1814,147,611,421,391,198,47,1577,217,181,263,407,312,196
対前年増減数／男女計／令和２年,2020,116,-6,47,5,13,36,21,-65,-16,-17,-43,11,-1,0
対前年増減数／男女計／令和３年,2021,112,14,46,13,3,37,-2,-12,-20,-12,-2,-1,5,20
対前年増減数／男女計／令和４年,2022,31,-28,6,-23,47,35,-8,54,7,0,-9,2,35,18
対前年増減数／男女計／令和５年,2023,5,4,1,-25,6,18,3,34,25,15,-5,-17,24,-9
対前年増減数／男／令和２年,2020,33,-15,11,-14,16,23,13,-22,-4,-8,-8,4,-6,-1
対前年増減数／男／令和３年,2021,33,9,5,-6,7,20,-2,-22,-18,-5,2,-9,6,4
対前年増減数／男／令和４年,2022,-1,-14,-1,-13,16,19,-8,45,0,8,-2,9,14,15
対前年増減数／男／令和５年,2023,-3,10,0,-14,-8,6,2,11,17,3,-8,-12,7,2
対前年増減数／女／令和２年,2020,83,9,36,19,-2,12,8,-44,-13,-9,-35,7,4,2
対前年増減数／女／令和３年,2021,78,5,41,19,-3,17,0,9,-2,-8,-4,8,0,15
対前年増減数／女／令和４年,2022,31,-14,8,-10,30,17,0,10,8,-7,-7,-7,21,3
対前年増減数／女／令和５年,2023,8,-6,-1,-11,14,12,1,23,8,12,2,-5,16,-11
,,,,,,,,,,,,,,,
東京の労働力統計データ（令和５年平均）,,,,,,,,,,,,,,,
第８表　年齢階級、雇用形態別の役員を除く雇用者数,,,,,,,,,,,,,,,
注）正規：正規の職員･従業員,,,,,,,,,,,,,,,
注）非正規：非正規の職員･従業員,,,,,,,,,,,,,,,
