区分,男女計／実数（千人、％）,男女計／前年同期（千人、％）,男女計／対前年同期／増減数（千人、ポイント）,男女計／対前年同期／増減率（％）,男／実数（千人、％）,男／前年同期（千人、％）,男／対前年同期／増減数（千人、ポイント）,男／対前年同期／増減率（％）,女／実数（千人、％）,女／前年同期（千人、％）,女／対前年同期／増減数（千人、ポイント）,女／対前年同期／増減率（％）
15歳以上人口,12581,12486,95,0.8,6143,6091,52,0.9,6438,6395,43,0.7
〔就業状態〕／労働力人口,8611,8638,-27,-0.3,4711,4718,-7,-0.1,3899,3920,-21,-0.5
〔就業状態〕／労働力人口／就業者数,8425,8431,-6,-0.1,4610,4599,11,0.2,3816,3832,-16,-0.4
〔就業状態〕／労働力人口／就業者数／自営業主数,621,610,11,1.8,420,410,10,2.4,201,199,2,1
〔就業状態〕／労働力人口／就業者数／家族従業者数,76,85,-9,-10.6,14,14,0,0,62,70,-8,-11.4
〔就業状態〕／労働力人口／就業者数／雇用者数,7700,7694,6,0.1,4156,4152,4,0.1,3544,3542,2,0.1
〔就業状態〕／労働力人口／就業者数／雇用者数／うち正規の職員・従業員,4714,4666,48,1,2908,2910,-2,-0.1,1806,1756,50,2.8
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員,2477,2516,-39,-1.6,857,855,2,0.2,1620,1662,-42,-2.5
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員／うちパート・アルバイト,1659,1655,4,0.2,444,460,-16,-3.5,1215,1196,19,1.6
〔就業状態〕／労働力人口／完全失業者数,185,206,-21,-10.2,102,118,-16,-13.6,84,88,-4,-4.5
〔就業状態〕／非労働力人口,3965,3839,126,3.3,1428,1369,59,4.3,2537,2470,67,2.7
〔就業者の活動状況別内訳〕／就業者数（再掲）,8425,8431,-6,-0.1,4610,4599,11,0.2,3816,3832,-16,-0.4
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数,8167,8157,10,0.1,4516,4501,15,0.3,3651,3656,-5,-0.1
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／主に仕事,6978,6938,40,0.6,4279,4235,44,1,2699,2704,-5,-0.2
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／通学のかたわらに仕事,351,346,5,1.4,162,170,-8,-4.7,190,177,13,7.3
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／家事などのかたわらに仕事,838,872,-34,-3.9,75,97,-22,-22.7,763,775,-12,-1.5
〔就業者の活動状況別内訳〕／就業者数（再掲）／休業者数,258,274,-16,-5.8,94,98,-4,-4.1,164,176,-12,-6.8
〔就業者の主な産業別内訳〕／建設業,442,409,33,8.1,360,347,13,3.7,82,62,20,32.3
〔就業者の主な産業別内訳〕／製造業,693,649,44,6.8,489,446,43,9.6,205,203,2,1
〔就業者の主な産業別内訳〕／情報通信業,1011,952,59,6.2,692,666,26,3.9,319,286,33,11.5
〔就業者の主な産業別内訳〕／運輸業，郵便業,349,402,-53,-13.2,278,317,-39,-12.3,71,85,-14,-16.5
〔就業者の主な産業別内訳〕／卸売業，小売業,1300,1271,29,2.3,603,637,-34,-5.3,697,635,62,9.8
〔就業者の主な産業別内訳〕／金融業，保険業,348,397,-49,-12.3,174,219,-45,-20.5,174,178,-4,-2.2
〔就業者の主な産業別内訳〕／不動産業，物品賃貸業,277,258,19,7.4,148,140,8,5.7,129,118,11,9.3
〔就業者の主な産業別内訳〕／学術研究，専門・技術サービス業,636,565,71,12.6,378,335,43,12.8,257,229,28,12.2
〔就業者の主な産業別内訳〕／宿泊業，飲食サービス業,519,524,-5,-1,220,231,-11,-4.8,299,292,7,2.4
〔就業者の主な産業別内訳〕／生活関連サービス業，娯楽業,290,310,-20,-6.5,110,123,-13,-10.6,180,187,-7,-3.7
〔就業者の主な産業別内訳〕／教育，学習支援業,432,431,1,0.2,192,183,9,4.9,240,248,-8,-3.2
〔就業者の主な産業別内訳〕／医療，福祉,895,949,-54,-5.7,236,234,2,0.9,658,715,-57,-8
〔就業者の主な産業別内訳〕／サービス業（他に分類されないもの）,707,726,-19,-2.6,427,387,40,10.3,280,339,-59,-17.4
〔雇用者の主な産業別内訳〕／建設業,362,354,8,2.3,292,298,-6,-2,70,56,14,25
〔雇用者の主な産業別内訳〕／製造業,651,612,39,6.4,464,423,41,9.7,187,189,-2,-1.1
