区分,男女計／実数（千人、％）,男女計／前年同期（千人、％）,男女計／対前年同期／増減数（千人、ポイント）,男女計／対前年同期／増減率（％）,男／実数（千人、％）,男／前年同期（千人、％）,男／対前年同期／増減数（千人、ポイント）,男／対前年同期／増減率（％）,女／実数（千人、％）,女／前年同期（千人、％）,女／対前年同期／増減数（千人、ポイント）,女／対前年同期／増減率（％）
15歳以上人口,12582,12453,129,1,6145,6074,71,1.2,6437,6379,58,0.9
〔就業状態〕／労働力人口,8612,8536,76,0.9,4714,4690,24,0.5,3899,3846,53,1.4
〔就業状態〕／労働力人口／就業者数,8391,8319,72,0.9,4587,4563,24,0.5,3804,3756,48,1.3
〔就業状態〕／労働力人口／就業者数／自営業主数,656,601,55,9.2,445,414,31,7.5,211,186,25,13.4
〔就業状態〕／労働力人口／就業者数／家族従業者数,101,84,17,20.2,17,13,4,30.8,85,71,14,19.7
〔就業状態〕／労働力人口／就業者数／雇用者数,7610,7593,17,0.2,4107,4108,-1,0,3502,3485,17,0.5
〔就業状態〕／労働力人口／就業者数／雇用者数／うち正規の職員・従業員,4619,4636,-17,-0.4,2794,2839,-45,-1.6,1825,1797,28,1.6
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員,2417,2446,-29,-1.2,875,877,-2,-0.2,1541,1569,-28,-1.8
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員／うちパート・アルバイト,1657,1625,32,2,517,474,43,9.1,1140,1151,-11,-1
〔就業状態〕／労働力人口／完全失業者数,222,217,5,2.3,127,127,0,0,94,90,4,4.4
〔就業状態〕／非労働力人口,3959,3908,51,1.3,1426,1377,49,3.6,2533,2530,3,0.1
〔就業者の活動状況別内訳〕／就業者数（再掲）,8391,8319,72,0.9,4587,4563,24,0.5,3804,3756,48,1.3
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数,8079,7957,122,1.5,4455,4427,28,0.6,3624,3530,94,2.7
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／主に仕事,6915,6806,109,1.6,4181,4184,-3,-0.1,2734,2622,112,4.3
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／通学のかたわらに仕事,342,298,44,14.8,180,144,36,25,163,154,9,5.8
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／家事などのかたわらに仕事,822,853,-31,-3.6,94,99,-5,-5.1,727,754,-27,-3.6
〔就業者の活動状況別内訳〕／就業者数（再掲）／休業者数,312,362,-50,-13.8,131,137,-6,-4.4,180,226,-46,-20.4
〔就業者の主な産業別内訳〕／建設業,446,430,16,3.7,358,346,12,3.5,89,84,5,6
