No,事業所名,業種,住所,説明,交通,電話,営業開始時間,営業終了時間,定休日,修学旅行受入,見学,体験,事前予約の目安,URL,緯度,経度,備考
1,田中べっ甲,江戸べっ甲,東京都台東区谷中3-22-8,100年継承の江戸べっ甲師。希少価値の高いべっ甲を、三代目がメガネフレームを中心に、製造･販売･修理を致しております。ウミガメの甲羅を材料とし、ひとつひとつ手作りで仕上げます。「ものづくり日本｣の発展を目指し、修学旅行生や一般の方々にも見学、体験教室を開催しております。,JR西日暮里駅　徒歩４分,03-3828-9870,10:00,17:00,土曜日・日曜日・祝日,可,"要予約
10名まで","要予約6名まで
簡単なアクセサリー作り
120分程度
学生￥2,000一般￥3,000～
※汚れてもよい服装でお越しください。",ー,http://tanakabekko.jp,35.730778,139.764343,
2,指人形笑吉工房,指人形,東京都台東区谷中3-2-6,"工房内で指人形劇（11パターンのショートコント集、約30分）を観ることができます。3名以上、一人600円。また、指人形が描く似顔絵（1,000円）も好評です。",東京メトロ千代田線千駄木駅　徒歩１分,03-3821-1837,10:00,18:00,月曜日・火曜日,可,"要予約　
20 名まで
指人形頭部と手の製作
着色
着物の縫い付け","要予約
（中学生以上）","特になし
(10名以上の場合はお早めに)",http://shokichi.main.jp/,35.72477,139.764236,祝日は営業、臨時休業あり
3,DEN-WORKS,木工品製造業,東京都谷中2-15-13　1F,オーダー家具や建具、木製小物、建築造作材等を製造しているデンワークスの工房です。,東京メトロ千代田線千駄木駅　徒歩5分,03-5834-8977,9:00,17:00,日曜日,可,"要予約　
1 回に3 名まで
木工製品の製造工程の見学
60 分程度",ー,2週間前まで(家具製作、小物製作なで、その時によって作るものが違うため),https://den-works.com,35.774731,139.832336,
4,利他庵 RETURN,教室・アトリエ,東京都台東区谷中2-2-10,"生まれも育ちも台東区谷中のクバミエの手作り工房です。
江戸情緒を残す路地裏に真島稲荷を拝し、谷中の新しい名所(キッテ通り)に面した和風の一軒家です。
現在のへび道は、その昔　藍染川が流れ、染物が栄えた藍染町と呼ばれていました。伝統の藍染から手軽なタイダイ染まで、また、箱三味線の教室など、芸術と文化の町に相応しい""お稽古場""を展開しています。
古き良き谷根千に戻ろう！という願いを込めて
""利他庵 RETURN""と名付けました。
",東京メトロ千代田線根津駅　徒歩5分,ー,13:00,ー,不定休,可,ー,"要予約　
平日13:00/土日祝11:00～
1 回に3 名、１日に３組まで体験可能
染色タイダイTシャツ作り
120分程度
3,000円（材料費込み）
オリジナルTシャツを１枚お持ち帰りになれます",ー,ー,35.720577,139.765457,日没まで営業、土曜日・日曜日・祝日は11:00から営業
5,相澤鼈甲,べっ甲製作,東京都台東区谷中5-3-3,若い人にはなじみのないべっ甲ですがオシャレで可愛いそんな買いやすい品物を作っています。（革とべっ甲のブレス・ガラスとべっ甲のペンダント・地元芸大生デザインのピアスなど）またアクセサリーパーツも多数そろえています。毎年５月（ゴールデンウィーク）と10月（1日～31日）新作展示会を自宅和室にて友人と行っています。,"東京メトロ千代田線千駄木駅１番出口　徒歩8分
JR日暮里駅　徒歩８分",03-3821-0020,11:00,17:00,不定休,不可,"要予約　
4～5 名まで
材料から製品まで
※相談に応じます",ー,1ヶ月前まで,―,35.724312,139.767426,
6,招き猫　谷中堂,招き猫,東京都台東区谷中5-4-3,オリジナルの招き猫を作っています。「運勢上向きの招き猫」「西にきいろの金運招き猫」どの子もみんな違う幸せ顔の猫達です。,"JR日暮里駅　徒歩７分
東京メトロ千代田線千駄木駅　徒歩6分",03-3822-2297,10:30,17:30,月曜日,不可,ー,"要予約13名まで
招き猫の絵付け体験
営業時間内（予約は10:30～）
中￥1,620（税込）大￥2,160（税込）
※両方ともお茶とお菓子付き
※体験は隣接する「カフェ猫衛門」で行っております。（月定休）",10日前まで(少人数であれば席次第でいつでも可),http://www.yanakado.com/,35.723763,139.767471,年末年始休業あり
7,赤塚べっ甲製作所,江戸べっ甲,東京都台東区谷中7-6-7,東京都伝統工芸指定「江戸べっ甲」の専門店です。店舗から仕事場をみることができます。各種べっ甲製品の製造、販売、修理をしています。職人と話をしてあなただけのオリジナル商品が作れます。教室もやっていますので、自分の手で製品を作ることもできます。軽く肌になじむメガネフレーム、美しい輝きのアクセサリーなど各種べっ甲製品がございます。,JR日暮里駅　徒歩6分,03-3828-7957,9:00,19:00,不定休,可,"要予約　
6 名まで","要予約4名まで
簡単なアクセサリー作り
120分程度
￥3,000～",1ヶ月前から2週間前まで,―,35.724556,139.768906,年に2～3日休日あり
8,直,木版画・骨董品,東京都台東区谷中 5-4-3,明治から続く、長尾版画匠を母体とした「木版画と生活骨董」のお店です。店主が木版画彫師であり、店内で彫りの実演をしながら作品を販売しています。普段あまり知られていない、木版画が作られる工程を見る事ができます。日常の生活の中に、もっと木版画や骨董工芸品を気軽に取り入れて頂ければと思います。,"東京メトロ千代田線千駄木駅 徒歩 5 分 
JR 日暮里駅 徒歩 9 分",03-3822-9428,12:00,18:00,月曜日・金曜日,不可,"要予約（neneruru0515@gmail.com）
木版画の彫り
※詳しくはメールにてお問い合わせください",ー,―,―,35.723763,139.767471,
9,江戸指物　木村,江戸指物,東京都台東区下谷3-1-1,江戸指物はわが国が世界に誇りうる伝統工芸の一つで、金釘を一切使わず、ほぞや組手などの伝統技法を駆使して、桑材を主に、桐ダンス、飾棚、文机、宝石箱、姿見など堅牢で美しい家具、調度品を製作しています。お客様に愛して喜んで頂ける物作りに精進致しております。なお、修学旅行生(中学生以上)の体験学習についても相談に応じます。お問合せ下さい。(季節により催事がありますので事前にご相談下さい。),東京メトロ日比谷線入谷駅　徒歩２分,03-3874-7926,9:00,17:00,祝日,可,要予約  3 名まで,"要予約3名まで
桑の箸作り(少なくなった本場伊豆七島御蔵島産桑の箸を持って帰れます)
120分程度\3,500
※3名以上でお申し込みください。修学旅行での申込みは各学校よりFAXでお申込みください。",2ヶ月前まで,―,35.722736,139.785736,
10,東京竜泉窯,陶芸,東京都台東区竜泉1-31-7,日本工芸会正会員の陶芸家、小山耕一が主宰する陶芸工房です。丁寧な指導でご希望の器作りをお手伝いします。,東京メトロ日比谷線入谷駅　徒歩７分,03-3873-6501,13:00,22:00,月曜日・金曜日,不可,予約不要  開講時随時  (HPでご確認下さい),"要予約数名程度(15:00~17:00)
内容は3種類の中から選択
(詳細は予約時にお問合せ下さい)
120分程度
\3,000(1回)
※焼きあがった作品は着払いでお送りします。",―,http://www.ryusen.jp,35.72456,139.788681,毎月第4週は全て休み
