規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,445238,527222,322831,423806,500431,309400,393452,30354,21432,26791,13431
100～499人,378974,432868,289628,364152,417674,275424,341772,22380,14822,15194,14204
100人以上,412381,479477,306898,394227,458554,293096,367827,26400,18154,20923,13802
30～99人,306476,372147,220331,290679,352593,209463,272135,18544,15797,19554,10868
５～29人,260012,330186,186897,252913,319773,183252,241430,11483,7099,10413,3645
30人以上,377978,446337,276713,360589,425837,263934,336741,23848,17389,20500,12779
５人以上,343224,415783,246476,328867,397936,236772,308662,20205,14357,17847,9704
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和２年９月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
