規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,17.8,18.5,16.8,145.4,154.5,131.8,132.8,139.6,122.7,12.6,14.9,9.1
100～499人,18.3,18.9,17.4,144.7,153,131.3,133.9,140.2,123.6,10.8,12.8,7.7
100人以上,18.1,18.7,17.1,145,153.7,131.5,133.3,139.9,123.1,11.7,13.8,8.4
30～99人,17.7,18.7,16.4,136.2,151.3,115.8,127.4,139.5,111.1,8.8,11.8,4.7
５～29人,16.6,18,15.1,124.4,141.9,106,118.9,134.1,102.9,5.5,7.8,3.1
30人以上,17.9,18.7,16.8,142.2,153,126.1,131.4,139.8,119,10.8,13.2,7.1
５人以上,17.6,18.5,16.3,137,150.1,119.4,127.8,138.3,113.6,9.2,11.8,5.8
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和２年６月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
