規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,17.9,18.6,16.9,147.1,156.2,133.6,132.9,139.4,123.3,14.2,16.8,10.3
100～499人,18.3,18.8,17.5,147.3,155.6,133.8,134.4,140.4,124.8,12.9,15.2,9
100人以上,18.1,18.7,17.2,147.2,155.9,133.7,133.7,139.9,124,13.5,16,9.7
30～99人,17.1,18,15.9,134.7,148.9,115,124.1,134.8,109.3,10.6,14.1,5.7
５～29人,16.7,18,15.4,126.4,143.8,108.1,119.4,133.7,104.4,7,10.1,3.7
30人以上,17.8,18.4,16.8,143.2,153.7,127.4,130.6,138.3,119,12.6,15.4,8.4
５人以上,17.5,18.3,16.3,138.2,151.1,120.9,127.3,137.1,114.1,10.9,14,6.8
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和２年１１月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
