規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,17.8,149.3,134.8,14.5,12.6,83.8,80.2,3.6
100～499人,18.5,152.4,139.3,13.1,14.1,87,82.6,4.4
100人以上,18.2,150.8,137,13.8,13.5,85.7,81.6,4.1
30～99人,18.6,155.8,142.9,12.9,12.6,75.1,72.6,2.5
５～29人,19.5,159.3,149.6,9.7,12,69.3,67.7,1.6
30人以上,18.3,152.2,138.6,13.6,13.1,80.4,77.1,3.3
５人以上,18.6,153.9,141.3,12.6,12.6,75.4,72.9,2.5
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和２年９月分,,,,,,,,
第11表  規模、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
