産業,１人平均支給額（円）,前年比（％）,支給事業所数割合（％）,支給労働者数割合（％）,平均支給月数（か月）,前年支給月数差（か月）
調査産業計,653359,1.5,80.9,83.9,1.35,-0.01
鉱業，採石業，砂利採取業,1505958,3.4,100,100,3.11,0.37
建設業,1027537,3.5,92.7,93.4,2.38,0.02
製造業,793452,3.1,84.1,92.4,1.4,-0.09
電気・ガス・熱供給・水道業,920590,-2.4,57.1,81.8,2.32,0.26
情報通信業,786667,0.8,78.9,83.5,1.44,-0.04
運輸業，郵便業,433584,-12,64.5,68.3,1.17,-0.17
卸売業，小売業,706108,2.1,87.6,91.4,1.37,0.09
"金融業,保険業",1034909,1.3,84,87.8,2.32,0.07
不動産業，物品賃貸業,667542,-13.9,85.2,91,1.6,-0.14
学術研究，専門・技術サービス業,763695,-9.7,84.9,68.2,1.52,-0.2
宿泊業，飲食サービス業,68490,-33.3,83,82.4,0.36,0
生活関連サービス業，娯楽業,324941,18.5,77.7,80.7,0.93,0.19
教育，学習支援業,601990,19.3,96.7,93.6,1.71,0.24
医療，福祉,434047,-2.2,73.1,79.9,1.25,-0.07
複合サービス事業,518001,-3.9,100,100,1.52,0.03
サービス業（他に分類されないもの）,347505,-18.7,70.9,75.6,1.14,-0.11
,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和２年夏季,,,,,,
第21表  賞与の産業別及び規模別支給状況,,,,,,
注１）「１人平均支給額」は、賞与を支給した事業所における常用労働者１人当たりの平均賞与支給額です。,,,,,,
　２）「支給事業所数割合」は、賞与を支給した事業所数を全事業所数で除した値です。,,,,,,
　３）「支給労働者数割合」は、賞与を支給した事業所の全常用労働者数を全事業所の全常用労働者数で除した値です。,,,,,,
　４）「平均支給月数」は、賞与を支給した各事業所における賞与の所定内給与に対する割合を単純平均したものです。,,,,,,
