規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,18.3,19,17.2,150.1,158.3,137.5,136.4,142.3,127.3,13.7,16,10.2
100～499人,18.1,18.7,17.3,143.7,152.4,129.3,132.5,139.2,121.3,11.2,13.2,8
100人以上,18.2,18.8,17.3,147,155.3,133.5,134.5,140.7,124.4,12.5,14.6,9.1
30～99人,16.9,18,15.4,131.9,147.4,110.9,122.7,134.9,106.1,9.2,12.5,4.8
５～29人,15.8,17.3,14.2,119.6,137.7,100.5,113.8,129.5,97.2,5.8,8.2,3.3
30人以上,17.8,18.6,16.6,142,152.8,125.6,130.6,138.9,118,11.4,13.9,7.6
５人以上,17.2,18.2,15.8,135.4,148.8,117,125.6,136.4,110.9,9.8,12.4,6.1
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和２年４月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
