規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,526945,464707,425647,39060,62238,131130,128193,121526,6667,2937
100～499人,507481,416539,387183,29356,90942,125305,122106,117317,4789,3199
100人以上,517578,441525,407135,34390,76053,127643,124549,119007,5542,3094
30～99人,406479,374137,347739,26398,32342,106795,99222,95264,3958,7573
５～29人,379863,358416,338252,20164,21447,92267,91277,88519,2758,990
30人以上,485531,422087,390002,32085,63444,117690,112458,107672,4786,5232
５人以上,459530,406420,377269,29151,53110,106107,102808,98946,3862,3299
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和２年３月分,,,,,,,,,,
第10表  規模、就業形態別常用労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
