規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,967666,1189965,631381,414869,488836,302976,386562,28307,552797,701129,328405
100～499人,687645,822413,470749,354271,408600,266834,335227,19044,333374,413813,203915
100人以上,828940,1005652,553316,384848,448601,285411,361130,23718,444092,557051,267905
30～99人,515886,633731,356240,293633,353919,211962,276391,17242,222253,279812,144278
５～29人,356678,465716,241497,255100,324457,181836,246182,8918,101578,141259,59661
30人以上,727691,889990,485926,355347,419156,260295,333723,21624,372344,470834,225631
５人以上,618970,778633,404249,325971,394301,234078,308071,17900,292999,384332,170171
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和２年６月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
