規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,1081031,453797,422392,31405,627234,144082,132065,126265,5800,12017
100～499人,801352,401744,379728,22016,399608,139969,125616,120889,4727,14353
100人以上,946644,428785,401891,26894,517859,141686,128309,123134,5175,13377
30～99人,670861,366997,344050,22947,303864,112439,102644,100254,2390,9795
５～29人,511040,351643,338492,13151,159397,95768,91919,90155,1764,3849
30人以上,867216,410990,385233,25757,456226,127773,116100,112250,3850,11673
５人以上,780667,396569,373875,22694,384098,113386,105230,102317,2913,8156
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和２年６月分,,,,,,,,,,
第10表  規模、就業形態別常用労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
