事業所規模,産業,和暦年,西暦年,年平均・月,前月末労働者数／計(人),前月末労働者数／男(人),前月末労働者数／女(人),本月中の増加労働者数／計(人),本月中の増加労働者数／男(人),本月中の増加労働者数／女(人),本月中の減少労働者数／計(人),本月中の減少労働者数／男(人),本月中の減少労働者数／女(人),本月末労働者数／計(人),本月末労働者数／男(人),本月末労働者数／女(人),パートタイム労働者比率／計(％),パートタイム労働者比率／男(％),パートタイム労働者比率／女(％)
30人以上,TL 調査産業計,平成27,2015,年平均,5039024,3097411,1941613,104235,55782,48453,101392,54982,46410,5041867,3098211,1943656,18.7,10.2,32.3
30人以上,TL 調査産業計,平成28,2016,年平均,5083165,3106100,1977064,107253,56371,50882,103105,54982,48123,5087313,3107489,1979823,19.3,10.4,33.4
30人以上,TL 調査産業計,平成29,2017,年平均,5148390,3126096,2022294,110612,58174,52438,102837,55057,47779,5156165,3129213,2026953,19.3,10.4,33.1
30人以上,TL 調査産業計,平成30,2018,年平均,5538582,3312961,2225621,112995,59322,53673,111153,59920,51233,5540424,3312363,2228061,20,11,33.4
30人以上,TL 調査産業計,平成31・令和元,2019,年平均,5652820,3374907,2277913,129406,68685,60721,118853,64053,54800,5663373,3379539,2283834,20,11.4,32.7
30人以上,TL 調査産業計,令和２,2020,年平均,5677271,3408264,2269007,113370,60470,52900,117706,64399,53307,5672935,3404335,2268600,19.4,11.6,30.9
30人以上,TL 調査産業計,令和２,2020,1月,5698073,3425211,2272862,92858,46195,46663,95212,51341,43871,5695719,3420065,2275654,20.4,12.4,32.3
30人以上,TL 調査産業計,令和２,2020,2月,5690360,3429457,2260903,85753,44931,40822,91415,46219,45196,5684698,3428169,2256529,20.5,12.6,32.4
30人以上,TL 調査産業計,令和２,2020,3月,5692558,3432650,2259908,94732,50604,44128,149029,75717,73312,5638261,3407537,2230724,20.4,12.4,32.5
30人以上,TL 調査産業計,令和２,2020,4月,5640412,3411020,2229392,381207,221355,159852,290688,176338,114350,5730931,3456037,2274894,18.8,11.2,30.4
30人以上,TL 調査産業計,令和２,2020,5月,5731301,3459572,2271729,82555,42503,40052,128246,69963,58283,5685610,3432112,2253498,18.5,11.1,29.7
30人以上,TL 調査産業計,令和２,2020,6月,5680670,3402247,2278423,89573,43401,46172,89693,50100,39593,5680550,3395548,2285002,19,11.1,30.7
30人以上,TL 調査産業計,令和２,2020,7月,5680551,3413068,2267483,113614,62497,51117,105066,61415,43651,5689099,3414150,2274949,19.1,11.4,30.7
30人以上,TL 調査産業計,令和２,2020,8月,5688624,3391817,2296807,73703,36366,37337,99381,47281,52100,5662946,3380902,2282044,19,11.4,30.3
30人以上,TL 調査産業計,令和２,2020,9月,5662742,3383675,2279067,84285,39935,44350,94309,52049,42260,5652718,3371561,2281157,19.1,11.3,30.7
30人以上,TL 調査産業計,令和２,2020,10月,5658394,3393344,2265050,106506,60110,46396,114154,64064,50090,5650746,3389390,2261356,19,11.4,30.3
30人以上,TL 調査産業計,令和２,2020,11月,5648482,3378925,2269557,89248,44725,44523,80933,41703,39230,5656797,3381947,2274850,19.5,11.9,30.7
30人以上,TL 調査産業計,令和２,2020,12月,5655083,3378186,2276897,66407,33015,33392,74340,36597,37743,5647150,3374604,2272546,19,11.3,30.4
30人以上,"C 鉱業,採石業,砂利採取業",平成27,2015,年平均,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
30人以上,"C 鉱業,採石業,砂利採取業",平成28,2016,年平均,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
30人以上,"C 鉱業,採石業,砂利採取業",平成29,2017,年平均,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
30人以上,"C 鉱業,採石業,砂利採取業",平成30,2018,年平均,1393,1032,360,31,24,7,35,27,8,1389,1029,359,0.1,－,0.3
30人以上,"C 鉱業,採石業,砂利採取業",平成31・令和元,2019,年平均,1381,1073,309,26,21,5,29,25,4,1378,1069,310,0.9,1.1,－
30人以上,"C 鉱業,採石業,砂利採取業",令和２,2020,年平均,1460,1129,331,30,25,6,22,18,4,1468,1136,333,0.9,1.2,0.2
30人以上,"C 鉱業,採石業,砂利採取業",令和２,2020,1月,1399,1072,327,63,58,5,58,55,3,1404,1075,329,1,1.3,－
30人以上,"C 鉱業,採石業,砂利採取業",令和２,2020,2月,1344,1021,323,21,18,3,9,5,4,1356,1034,322,0.5,0.7,－
30人以上,"C 鉱業,採石業,砂利採取業",令和２,2020,3月,1416,1087,329,16,15,1,26,24,2,1406,1078,328,1.2,1.6,－
30人以上,"C 鉱業,採石業,砂利採取業",令和２,2020,4月,1406,1078,328,111,77,34,44,33,11,1473,1122,351,1.2,1.5,－
30人以上,"C 鉱業,採石業,砂利採取業",令和２,2020,5月,1473,1153,320,26,25,1,7,5,2,1492,1173,319,0.7,0.9,－
30人以上,"C 鉱業,採石業,砂利採取業",令和２,2020,6月,1492,1141,351,10,8,2,8,7,1,1494,1142,352,1.2,1.4,0.6
30人以上,"C 鉱業,採石業,砂利採取業",令和２,2020,7月,1494,1142,352,20,14,6,22,16,6,1492,1140,352,1.2,1.4,0.6
30人以上,"C 鉱業,採石業,砂利採取業",令和２,2020,8月,1492,1172,320,18,15,3,13,13,0,1497,1174,323,0.7,0.9,－
30人以上,"C 鉱業,採石業,砂利採取業",令和２,2020,9月,1497,1174,323,18,14,4,10,4,6,1505,1184,321,0.7,0.9,－
30人以上,"C 鉱業,採石業,砂利採取業",令和２,2020,10月,1505,1184,321,23,19,4,33,31,2,1495,1172,323,0.7,0.9,－
30人以上,"C 鉱業,採石業,砂利採取業",令和２,2020,11月,1495,1172,323,20,18,2,12,8,4,1503,1182,321,0.7,0.9,－
30人以上,"C 鉱業,採石業,砂利採取業",令和２,2020,12月,1503,1151,352,18,15,3,24,20,4,1497,1146,351,1.2,1.4,0.6
30人以上,D 建設業,平成27,2015,年平均,213193,184305,28888,2374,1966,408,2061,1681,380,213506,184590,28916,0.8,0.5,2.4
30人以上,D 建設業,平成28,2016,年平均,216002,187206,28796,2024,1694,330,2085,1830,255,215941,187070,28871,0.7,0.4,2.2
30人以上,D 建設業,平成29,2017,年平均,215859,185080,30780,2086,1733,354,1733,1483,251,216212,185330,30883,0.5,0.3,1.6
30人以上,D 建設業,平成30,2018,年平均,221120,185202,35918,2412,1866,546,2327,1955,372,221205,185113,36092,3.1,1.9,8.9
30人以上,D 建設業,平成31・令和元,2019,年平均,234149,197576,36573,4565,3750,815,2505,2045,460,236209,199281,36928,2.6,1.8,6.7
30人以上,D 建設業,令和２,2020,年平均,253824,217480,36344,3274,2566,707,2698,2132,566,254400,217914,36485,1.3,0.8,4.3
30人以上,D 建設業,令和２,2020,1月,248177,215893,32284,2051,1896,155,2038,1756,282,248190,216033,32157,1.5,0.9,5.2
30人以上,D 建設業,令和２,2020,2月,248190,214759,33431,1410,1125,285,1127,890,237,248473,214994,33479,1.4,1,4.4
30人以上,D 建設業,令和２,2020,3月,248473,213454,35019,2053,1332,721,2477,2015,462,248049,212771,35278,1.4,0.9,4.5
30人以上,D 建設業,令和２,2020,4月,248049,213825,34224,17430,14030,3400,6499,5430,1069,258980,222425,36555,1.2,0.8,3.7
30人以上,D 建設業,令和２,2020,5月,258980,221020,37960,1613,1297,316,2686,2199,487,257907,220118,37789,1.2,0.8,3.6
30人以上,D 建設業,令和２,2020,6月,257907,218641,39266,1886,1220,666,2091,1793,298,257702,218068,39634,1.3,0.7,4.5
30人以上,D 建設業,令和２,2020,7月,257702,220228,37474,3413,2521,892,3455,2741,714,257660,220008,37652,1.3,0.8,4.5
30人以上,D 建設業,令和２,2020,8月,257660,218575,39085,2999,2374,625,5724,3593,2131,254935,217356,37579,1.1,0.7,3.4
30人以上,D 建設業,令和２,2020,9月,254935,219035,35900,1625,1495,130,1284,1047,237,255276,219483,35793,1.2,0.8,3.8
30人以上,D 建設業,令和２,2020,10月,255276,216993,38283,2844,2145,699,2943,2431,512,255177,216707,38470,1.2,0.8,3.8
30人以上,D 建設業,令和２,2020,11月,255177,218360,36817,1231,866,365,1047,898,149,255361,218328,37033,1.5,0.9,5.4
30人以上,D 建設業,令和２,2020,12月,255361,218973,36388,727,495,232,999,791,208,255089,218677,36412,1.4,0.9,4.3
