規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,18.1,151.2,136,15.2,12.5,82.1,78.4,3.7
100～499人,18,149.3,134.5,14.8,13.6,84.9,81.1,3.8
100人以上,18,150.3,135.3,15,13.1,83.7,79.9,3.8
30～99人,18.1,153.1,138.8,14.3,12.2,73.5,70.2,3.3
５～29人,18.1,149.9,139.5,10.4,11.3,69.2,66.8,2.4
30人以上,18.1,151.1,136.3,14.8,12.7,78.9,75.4,3.5
５人以上,18.1,150.8,137.1,13.7,12.1,74.4,71.4,3
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和２年１月分,,,,,,,,
第11表  規模、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
