規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,17.2,17.7,16.5,141.7,149.2,130.4,128.5,133.5,120.9,13.2,15.7,9.5
100～499人,17.8,18.3,17,141.3,149.1,128.6,129.7,135.3,120.5,11.6,13.8,8.1
100人以上,17.5,18,16.7,141.5,149.1,129.5,129.1,134.4,120.7,12.4,14.7,8.8
30～99人,16.8,17.6,15.8,132.2,145.8,114.4,122.3,132.4,109.1,9.9,13.4,5.3
５～29人,16.7,17.9,15.5,125.4,142.5,107.6,118.8,132.9,104.1,6.6,9.6,3.5
30人以上,17.3,17.9,16.4,138.5,148.1,124.3,126.9,133.8,116.7,11.6,14.3,7.6
５人以上,17.1,17.9,16.1,134.6,146.7,118.6,124.5,133.6,112.4,10.1,13.1,6.2
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和２年９月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
